Plass.,Spiller-Id,Navn,Klasse,Poeng
1,100010,"Jim Ronny Andersen, Kristiansand",E,1160
2,105827,"Kenneth Larsen, Askøy",E,696
3,101992,"Sturla Flåten Jørgensen, Haugerud",E,588
3,101103,"Fredrik Kristensen, Moss",E,588
5,102012,"Kato Lambrecths, Stavanger",E,536
5,101270,"Jonas Christensen, Frogner",E,536
7,101472,"Eirik Paulsen, Stavanger",E,508
8,102291,"Anders Leirud, Frogner",E,504
9,102611,"Vegard Rikheim, Frogner",A,436
10,106508,"Christian Rose Thode, Moss",A,432
11,101688,"Andre Høidebraaten, Moss",A,424
12,101075,"Jesper Kristensen, Moss",A,400
13,100570,"Erik Rundle, Bygdø",A,384
14,100729,"Jørgen Rosenlund, Moss",A,376
15,102905,"Carl Christian Mork, Asker",A,364
16,101754,"Sondre Flåten Jørgensen, Karmøy",A,350
17,104643,"Simen Lexander, Askøy",A,300
17,101187,"Carl Christian Hem, Sandefjord",A,300
19,100390,"Øystein Larsen, Kristiansand",A,284
20,100773,"Karl Ødegård, Bergen",A,280
21,102819,"Carl Christian Møller Jacobsen, Sandefjord",A,276
22,102521,"Joel Collard, Vestre Aker",A,272
23,101106,"Thomas Berge, Bergen",A,268
24,103109,"Rolf Ove Karlsen, Verdal",A,256
25,107533,"Patrik Semelius, Vestre Aker",A,252
26,101299,"Anders Aasheim, Sandefjord",A,248
27,100194,"Bjørn Hamang, Bærum",A,238
28,101915,"Håkon Haukebøe, Haugerud",A,236
29,102642,"Torjus Flåtten, Frogner",A,224
30,100664,"Geir Storvik, Bærum",A,202
31,100540,"Pål Endre Pedersen, Haugerud",A,200
32,100029,"Sverre Bergland sr, Bygdø",A,196
33,103665,"Sigbjørn Honve, Bergen",A,184
34,102711,"Gjermund Hagen, Stavanger",A,182
35,100084,"Rune Oterhals, Trondheim",A,176
36,104162,"Håkon Synnes Ytreland, Karmøy",A,170
37,100411,"Magnus Christensen, Frogner",A,168
37,100322,"Arnt-Helge Karlsen, Stavanger",A,168
39,103542,"Trond Mære, Verdal",A,158
