Plass.,Spiller-Id,Navn,Klasse,Poeng
1,101075,"Jesper Kristensen, Moss",E,1056
2,100343,"Steinar Klausen, Moss",E,960
3,101992,"Sturla Flåten Jørgensen, Haugerud",E,952
4,102905,"Carl Christian Mork, Asker",E,928
5,101187,"Carl Christian Hem, Sandefjord",E,912
6,106508,"Christian Rose Thode, Moss",E,832
7,101103,"Fredrik Kristensen, Moss",E,824
8,100036,"Marius Myhre, Haugerud",E,745
9,108305,"Gergin Nedyalkov Angelov, Vestre Aker",E,736
10,100115,"Nikolai Svensson, Frogner",E,704
11,100411,"Magnus Christensen, Frogner",E,616
12,100570,"Erik Rundle, Bygdø",E,589
13,105827,"Kenneth Larsen, Askøy",E,584
14,107588,"Karel Eriksson, Sandefjord",E,560
15,100729,"Jørgen Rosenlund, Moss",E,532
16,101754,"Sondre Flåten Jørgensen, Karmøy",A,492
17,102291,"Anders Leirud, Frogner",A,466
18,101270,"Jonas Christensen, Frogner",A,464
19,102819,"Carl Christian Møller Jacobsen, Sandefjord",A,444
20,100029,"Sverre Bergland sr, Bygdø",A,436
21,102611,"Vegard Rikheim, Frogner",A,432
21,102438,"Peter Rønn Stensæth, Vestre Aker",A,432
23,102521,"Joel Collard, Vestre Aker",A,404
24,101060,"Edvard Rosenberg, Sandefjord",A,396
25,102642,"Torjus Flåtten, Frogner",A,348
25,100010,"Jim Ronny Andersen, Kristiansand",A,348
25,103915,"Hans Andreas Karlsen, Hammerfest",A,348
28,100664,"Geir Storvik, Bærum",A,344
29,101688,"Andre Høidebraaten, Moss",A,333
30,106139,"Eivind Lund, Kristiansand",A,329
31,102709,"Arild Mevatne, Bergen",A,307
32,109155,"Tobias Rolf, Vestre Aker",A,290
33,109000,"Alex Bass, Israel",A,288
34,103665,"Sigbjørn Honve, Bergen",A,278
35,100663,"Bård Storvik, Bærum",A,276
36,104162,"Håkon Synnes Ytreland, Karmøy",A,275
37,100397,"Erik Lia, Kristiansand",A,273
38,102711,"Gjermund Hagen, Stavanger",A,270
39,100546,"Johannes Arnhoff Hagen, Frogner",A,260
40,102012,"Kato Lambrecths, Stavanger",A,258
41,101649,"Åsmund Oma, NTNUI",A,256
42,105519,"Petter Polden, Sotra",A,252
43,102822,"Robin Thorstensen, Moss",A,244
44,103510,"Jan Jacobsen, Bygdø",A,242
45,101358,"Petter Svendsen, Trondheim",A,232
46,105465,"Benjamin Falck, Verdal",A,229
47,100194,"Bjørn Hamang, Bærum",A,228
48,102161,"Tommy Helander, Askim",A,226
49,103542,"Trond Mære, Verdal",A,220
50,100247,"Kristian Gården, Pillarguri",A,216
51,101031,"Tormod Thorp, Moss",A,214
52,102646,"Tobias Krømke, Sandefjord",A,213
53,107404,"Trond Kalhagen, Askim",A,208
54,104312,"Geir Omdal, Bergen",A,204
55,105079,"Christoffer Hamnes, Sandefjord",A,202
55,106304,"Pål Joachim Eide, Bærum",A,202
57,100471,"Nauman Majid, Haugerud",A,198
57,101091,"Lars Valentin, Ålesund",A,198
57,101914,"Thomas Pedersen, Ålesund",A,198
60,103917,"Ole Herman Imset, Sandefjord",A,196
61,105224,"Benjamin Sixten Nordén, Moss",A,194
62,104306,"Dimiter Ivanov, Asker",A,192
62,102488,"Lasse Nyheim, Tromsø",A,192
62,103109,"Rolf Ove Karlsen, Verdal",A,192
65,102165,"Torstein Moe , Grong",A,188
66,103599,"Kasper Lyfjell, Frogner",A,186
67,102821,"Leif Are Hovden Eimind, Sandefjord",A,173
68,101472,"Eirik Paulsen, Stavanger",A,172
68,100773,"Karl Ødegård, Bergen",A,172
70,106301,"Roar Natvig, Verdal",A,170
71,105891,"Carlo Alonzo Agustin, Mandal",A,168
72,101369,"Marius Røed, Vestre Aker",A,166
72,100084,"Rune Oterhals, Trondheim",A,166
74,108843,"Petur Hemmingsen, NTNUI",A,164
75,100534,"Robin Kruksve Krux, Rissa",A,156
75,100552,"Jan Rasmussen, Grimstad",A,156
75,100476,"Jan Frode Neverdal, Grimstad",A,156
75,103158,"Matius Wijaya, Moss",A,156
75,100310,"Fredrik Lian, Norborg",A,156
80,101915,"Håkon Haukebøe, Haugerud",A,155
81,102860,"Toheed Ahmed Saeed, Frogner",A,152
82,101194,"Ole Andreas Hansen, Vestre Aker",A,150
83,109154,"Christoph Lindner, Vestre Aker",B,149
84,100189,"Sigve Hallager, Grong",B,148
85,100740,"Tommy Ulveraker, Ålesund",B,144
86,100677,"Robert Sulebakk, Ålesund",B,140
86,108725,"Beda Büchel, NTNUI",B,140
86,107454,"Kristoffer Robin Olsen, Sandefjord",B,140
89,106514,"Dusan Nikolic, Djerv",B,136
89,100683,"Trond Atle Syvertsen, Mandal",B,136
89,104420,"Jon Inge Tilset, Vestre Aker",B,136
92,100243,"Christian Hervard, Bærum",B,134
93,103971,"Nikolay Magnus Avenstroup, Kristiansand",B,132
93,104600,"Christoffer Ripegutu, NTNUI",B,132
93,106065,"Ram Kumar, Haugerud",B,132
93,101803,"Tore Nymoen, NTNUI",B,132
97,101566,"Henrik Smittil Høksnes, Sandefjord",B,130
98,101583,"Anders Skar, Nøtterøy",B,128
99,101851,"Egil Johansen, NTNUI",B,126
99,103175,"Lars Erik Karlsen, Verdal",B,126
99,104510,"Markus Barth, Bergen",B,126
102,102897,"Erlend Kruksve, Bergen",B,124
102,101203,"Marius Sørby, Sandefjord",B,124
104,101255,"Fredrik Stanghov, NTNUI",B,122
105,104361,"Henrik Skjønhaug, Frogner",B,118
106,104683,"Man Nguyen, Haugerud",B,116
106,105802,"Jiawen Shi, Bærum",B,116
108,102332,"Sverre Andreas Helland, Grong",B,114
109,100139,"Per Ivar Furholm, Norborg",B,110
109,102775,"Ernst Georg Olsen, Hammerfest",B,110
109,105509,"Keveen Kumar Balasingam, Sotra",B,110
112,105722,"Vinoth Kumar Balasingam, Bergen",B,108
112,100143,"Noralf Gamlem, Norborg",B,108
112,102448,"Jørgen Wold, Grong",B,108
115,104643,"Simen Lexander, Askøy",B,106
116,106504,"Johannes Orri Olafsson, Sandefjord",B,102
117,100540,"Pål Endre Pedersen, Haugerud",B,101
118,105065,"Dennis Andersen Moe, Sotra",B,100
118,102261,"Petter Karlsen Wåltorp, Djerv",B,100
118,101106,"Thomas Berge, Bergen",B,100
121,102060,"Kumaran Dhakshan Moorthy, Djerv",B,99
122,101280,"Mats Lervåg, Bergen",B,98
122,105119,"Steinar Fornes, Verdal",B,98
122,106035,"Chandra Kumar Parasmothy, Bergen",B,98
125,100322,"Arnt-Helge Karlsen, Stavanger",B,97
126,102932,"Mads Marum, Kristiansand",B,96
126,108285,"Hendrik Rytberg, Kvinnherad",B,96
126,104751,"Ole Salomonsen, Hammerfest",B,96
129,100390,"Øystein Larsen, Kristiansand",B,93
130,100911,"Vegard Tømmerås, Grong",B,92
130,109050,"Torstein Heggstad , Ålesund",B,92
132,105918,"Joseph Martin Malaiamaan, Bergen",B,91
133,100650,"Odd Helge Gåsbakk, Grong",B,90
133,107503,"Aleksej Roman Kustrin Iversen , Rubbestadneset",B,90
135,104903,"Ke Xie, Vestre Aker",B,88
135,104809,"Vebjørn Rønne, Leksvik",B,88
137,108779,"Anders Balle-Petersen, Kristiansand",B,86
138,104479,"Kjetil Ragde, Stord",B,85
139,108084,"Mansoor Hasan, Vestre Aker",B,84
139,103429,"Markus Haukebøe, Oppegård IL",B,84
141,102773,"Tom Brovold, Hammerfest",B,82
141,108724,"Xiaodong Chen, NTNUI",B,82
143,105721,"Bharath Kumar Balasingam, Bergen",B,81
143,102612,"Mattias Xu, Frogner",B,81
143,103876,"Jone Sætenes, Djerv",B,81
146,103016,"André Vinnem Fosse, Sotra",B,80
146,107686,"Thomas Larsen, Fredrikstad BK",B,80
146,100903,"Jarle Grefslie, Horten",B,80
146,106731,"Sindre Fritzner, Fredrikstad BK",B,80
150,100804,"Helge Økland, Askøy",B,78
150,100661,"Tor Stenvaag, Ålesund",B,78
152,104952,"Erlend Engesæter Bognøy, Sotra",B,77
153,105794,"Jan Malamant, Vestre Aker",B,76
153,100923,"Bjørn Rakstang, Hamar",B,76
155,100956,"Roger Sandbakk, Sotra",B,75
156,100948,"Kim Christensen, Frogner",B,74
156,105710,"Roman Malamant, Vestre Aker",B,74
158,107317,"Dirk Olivie, Vestre Aker",B,72
159,101192,"Sebastian Bøe, Trondheim",B,70
159,103085,"Eskil Ljungquist, NTNUI",B,70
159,103819,"Espen Ditmansen, Ullevål",B,70
159,105227,"Daniel Bjørklund, Bærum",B,70
159,109156,"Stig Arve H. Abrahamsen, Imås IL",B,70
164,106952,"Oleg Tsynkalovskiy, Djerv",B,68
165,104504,"Ferenc Macsali, Djerv",B,65
165,103508,"Taro Mukae, Bygdø",B,65
167,102774,"Tore Nilsen, Hammerfest",B,64
167,101347,"Thomas Holdbakk, Kristiansand",B,64
167,107482,"Swadesh Patra, Vestre Aker",B,64
167,104467,"Ørjan Emil Strand, Ålesund",B,64
167,106363,"Yusman Kamaleri, Ullevål",B,64
167,101533,"Jens Asmund Solheim, Rissa",B,64
173,100951,"Jack Oterhals, Bergen",B,63
174,101867,"Ola Gunnes, Frogner",B,62
174,102526,"Øystein Telle, Sotra",B,62
174,104519,"Olve Nes Kløvning, Bergen",B,62
174,105620,"Vegar Næss, Hammerfest",B,62
178,101866,"Darren Michael Aron White, Bergen",B,61
179,108660,"Muhammad Shahid, Haugerud",B,60
179,104257,"Dag Storli, Vestre Aker",B,60
179,102651,"Morten Thorp, Moss",B,60
182,107097,"Haydar-Ali Newrosi, Djerv",B,59
183,107471,"Shamoun Zahid, Haugerud",B,58
183,107901,"Frode Kristoffersen, Askøy",B,58
183,100016,"Stian Askerød, Frogner",B,58
183,105440,"Sander Espeseth, Norborg",B,58
183,103201,"Dan Frøyd, Haugesund",B,58
183,100014,"Geir Arnevik, Grimstad",B,58
189,105161,"Martin Grøtterød, Sandefjord",B,56
189,104742,"Harald Søvik, Stord",B,56
189,103833,"Andreas Halle, BSI",B,56
189,101997,"Henning Skaug, Horten",B,56
189,101143,"Rune Fartum, Haugerud",B,56
194,106779,"Gert Buhl, Stord",B,55
194,109126,"Egert Vasar, Kvinnherad",B,55
196,100447,"Kim-Andre Moen, Fredrikstad BK",B,54
196,108292,"Anders Eimstad, Askøy",B,54
196,100233,"Knut Hellum, Horten",B,54
199,107069,"Tore A. Arntzen, Kvinnherad",B,53
199,105138,"Paul Witt, Asker",B,53
201,106241,"Sondre Sefland, OSI",B,52
201,101299,"Anders Aasheim, Sandefjord",B,52
201,108047,"Kjell Oscar Stokka, Rubbestadneset",B,52
201,102480,"Tony Yang, NTNUI",B,52
201,103622,"Kjetill Gunnarson, Vestre Aker",B,52
201,102264,"Andreas Bunes Evensen, Moss",B,52
207,101769,"Anders Langeland, Stord",B,50
207,105740,"Øyvind Støylen, Ålesund",B,50
209,104165,"Glenn Fylling, Ålesund",C,49
209,107348,"Jørn Grane, Askøy",C,49
211,108185,"Siby Abraham, Stavanger",C,48
211,103482,"Kent Nyheim, Tromsø",C,48
211,103533,"Filip Grøholt, Moss",C,48
211,100227,"Arne Kristian Helgestad, Frogner",C,48
211,105234,"Robert Sieler, Haugerud",C,48
211,105422,"Geir Arne Andersen, Hammerfest",C,48
211,105495,"Christian Blaurock, Porsgrunn",C,48
211,108559,"Afiz Arif, Sandefjord",C,48
211,108743,"Eric Isupradipto, Stavanger",C,48
211,101009,"Ling Zhuang Zeng, Pillarguri",C,48
211,101415,"Olav Vatna Selvåg, Stord",C,48
