Plass.,Spiller-Id,Navn,Klasse,Poeng
1,102635,"Marie Christensen, Frogner",E,1520
2,105826,"Aimee Hong, Haugerud",E,1392
3,105408,"Julie Marie Andersen Abusdal, Kristiansand",E,752
4,102275,"Natalie Kristensen, Moss",E,748
5,102422,"Solvår S Flåten Jørgensen, Moss",E,720
6,102463,"Vilde Espeseth, Kristiansand",E,656
7,107513,"Kristine  Grande Ødegårdstuen, Moss",E,572
8,107130,"Marie  Mørk, Kristiansand",E,568
9,107206,"Katja Botcharova Ellingsen, Bergen",E,516
10,103102,"Emilie Sotnes Hamang, Frogner",E,504
11,105206,"Ingvild Håland, NTNUI",A,476
12,107127,"Delia Murtazalieva, Haugerud",A,408
13,107134,"June  Bøhn, Kristiansand",A,368
14,108760,"Karianne Zhang, Haugerud",A,358
15,109878,"Sofie Jin Reistadbakk, Haugerud",A,344
16,109656,"Maja Morvik Kragholm, Kristiansand",A,332
17,100193,"Monica Halvorsen, Frogner",A,326
18,106696,"Ane Hofstad Lycke, NTNUI",A,294
19,100003,"Helene Abusdal, Kristiansand",A,272
20,107439,"Selma Kvarenes Bjørnestøl, Kristiansand",A,268
21,101285,"Randi Selle, Stavanger",A,264
21,104278,"Live Hov Grønbech, Frogner",A,264
23,109545,"Nicoline Wærsten, Kristiansand",A,262
24,109857,"Vilma Aasheim-Engen, Frogner",A,242
25,102732,"Iris Hagen, Stavanger",A,238
25,100681,"Jeanette Svendsen, Vestre Aker",A,238
27,104421,"Malin Andersson, Haugerud",A,232
28,107735,"Nora  Omdal, Kristiansand",A,226
29,107054,"Julie Grande Ødegårdstuen, Oppegård IL",A,212
30,109058,"Ronja Hartmann, Norborg",A,208
31,112454,"Dianne Christine Geronimo, Trondheim",A,192
31,113193,"Maaike Weerdesteyn, Vestre Aker",A,192
33,110648,"Marie Gade Brask, Kristiansand",A,186
33,106632,"Elise Lærkerød Jelsness, Bygdø",A,186
35,109464,"Emma Yasmin Ruud, Moss",A,184
36,109212,"Heidi Hartmann, Norborg",A,176
36,104509,"Vera Botcharova Ellingsen, Bergen",A,176
38,100717,"Berit Thyness, Haugerud",A,174
39,104091,"Anne-Margrethe Ulla Staurset, Norborg",A,172
40,108076,"Sara Buvik, NTNUI",A,170
41,105886,"Stine Skjævesland Pedersen, Kristiansand",A,158
42,103574,"Kristin Thømt, Askim",A,156
43,105436,"Moana Vadseth Furholm, NTNUI",A,154
44,107946,"Yngvild Buraas, NTNUI",A,152
44,113442,"Kamonthip Charoenphanit, OSI",A,152
46,108927,"Celina Nha-Mi-Thanh, OSI",B,146
47,107566,"Viktoria Humlen, Ålesund",B,144
47,104436,"Emma Søvik, NTNUI",B,144
49,113435,"Dowon Kwak, OSI",B,142
50,104857,"Lisa Olsen Berg, Bærum",B,138
50,111955,"Kristine Bayona Dela Cruz, OSI",B,138
52,102606,"Helle Sofie Sagøy, Kristiansand",B,136
53,111470,"Cecilie Welle Bay , Ålesund",B,128
53,109421,"Astrid Lovise Pallesen , Stavanger",B,128
55,106220,"Camilla Stokkaune, Orkanger",B,126
56,109594,"Nikol Hermansen, Bergen",B,124
57,100550,"Minh Nhu Thai, Klemetsrud",B,122
58,109064,"Frida Bjørvik Løvheim, Sandefjord",B,120
59,110335,"Anita Bui, OSI",B,118
59,100643,"Bente Sotnes, Bærum",B,118
61,101948,"Helene Håkonsen Søgaard, Bærum",B,116
61,108761,"Victoria Zhang, Haugerud",B,116
63,113168,"Mikaela Stordal, Moss",B,114
64,107438,"Emilie Haukebøe, Oppegård IL",B,112
64,113945,"Annika Liungman, Trondheim",B,112
66,103873,"Margarita Wcislo, Kolvereid",B,106
66,109550,"Kaisa Isabell Sandboe, Oppegård IL",B,106
68,104270,"Sofia Louis Macsali, Bergen",B,104
68,103494,"Rikke Østhassel, Kristiansand",B,104
70,100628,"Sissel W. Schmidt, Ålesund",B,100
70,109705,"Akarija Anton Reginold, Sotra",B,100
72,104998,"Ingrid Stene Olsen, Norborg",B,98
73,102928,"Marlene Wåland, Kristiansand",B,96
73,103012,"Anne Berit Bergsmo, Verdal",B,96
73,100899,"Randi Ulla Nogva, Norborg",B,96
73,100113,"Gunn Fiskergaard, Ålesund",B,96
73,112605,"Elisabeth Hjellegjerde Skog, Sykkylven",B,96
73,114164,"Gülser Selin Kilinc, Klemetsrud",B,96
73,104884,"Rikke Karlsen, Kristiansand",B,96
73,108930,"Hedda Berg Angell, Kristiansand",B,96
81,107917,"Line Klæbo, BSI",B,94
82,102163,"Anja Olsen, Bærum",B,92
82,103445,"Lovise Krogsæter, Karmøy",B,92
84,109789,"Trishna Shyam Chand, Trondheim",B,88
84,100862,"Anne Klyve, Asker",B,88
84,101306,"Caroline Elisabeth Hem, Sandefjord",B,88
87,109706,"Arathija Anton Reginold, Sotra",B,86
87,104490,"Dina Høl Bugge, Bergen",B,86
87,101148,"Svenja Hodne, Karmøy",B,86
90,105188,"Tyra Friisenfeldt, NTNUI",B,84
90,102451,"Marie Fiskum, Grong",B,84
90,103531,"Cecilie Li, Haugerud",B,84
93,107950,"Eli Bente Just, Orkanger",B,82
94,101065,"Marie Wåland, Kristiansand",B,80
94,101896,"Hildegunn Måøy, Kolvereid",B,80
96,108350,"Linnea Cecilie Sørlie, Frogner",B,78
97,110297,"Shuwen Yang, Trondheim",B,74
97,110178,"Anne Lie Foldnes, Sotra",B,74
99,111250,"Nora Lindanger, Sola",B,72
99,111007,"Dorthe Lorvik, Herøy",B,72
101,115686,"Marte Vorum, Trondheim",B,70
102,106451,"Linnea Alvilde Espeseth, Ålesund",B,68
102,104925,"Anne Marthe Svensen, NTNUI",B,68
