Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Dusan Nikolic,,Petter Polden,"21/17,21/9",Dusan Nikolic,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Dusan Nikolic,,Kato Lambrecths,"23/25,21/17,21/19",Dusan Nikolic,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Polden,,Mats Lervåg,"21/19,21/15",Petter Polden,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Rune Oterhals,,Martin Brekke Hjellestad,"21/9,21/15",Rune Oterhals,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Mats Lervåg,,Rune Oterhals,"21/13,21/7",Mats Lervåg,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Polden,,Martin Brekke Hjellestad,"21/12,21/18",Petter Polden,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Mats Lervåg,,Martin Brekke Hjellestad,"21/17,21/14",Mats Lervåg,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Polden,,Rune Oterhals,"21/16,20/22,21/10",Petter Polden,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Dusan Nikolic,,Sigbjørn Honve,"21/12,21/11",Dusan Nikolic,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Kato Lambrecths,,Olve Nes Kløvning,"21/15,21/8",Kato Lambrecths,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Karlsen Wåltorp,,Olve Nes Kløvning,"21/8,18/21,21/10",Petter Karlsen Wåltorp,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Kato Lambrecths,,Petter Karlsen Wåltorp,"21/12,21/18",Kato Lambrecths,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Dusan Nikolic,,Petter Polden,"21/17,21/9",Dusan Nikolic,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Dusan Nikolic,,Kato Lambrecths,"23/25,21/17,21/19",Dusan Nikolic,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Polden,,Mats Lervåg,"21/19,21/15",Petter Polden,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Rune Oterhals,,Martin Brekke Hjellestad,"21/9,21/15",Rune Oterhals,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Mats Lervåg,,Rune Oterhals,"21/13,21/7",Mats Lervåg,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Polden,,Martin Brekke Hjellestad,"21/12,21/18",Petter Polden,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Mats Lervåg,,Martin Brekke Hjellestad,"21/17,21/14",Mats Lervåg,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Polden,,Rune Oterhals,"21/16,20/22,21/10",Petter Polden,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Dusan Nikolic,,Sigbjørn Honve,"21/12,21/11",Dusan Nikolic,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Kato Lambrecths,,Olve Nes Kløvning,"21/15,21/8",Kato Lambrecths,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Petter Karlsen Wåltorp,,Olve Nes Kløvning,"21/8,18/21,21/10",Petter Karlsen Wåltorp,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,,Kato Lambrecths,,Petter Karlsen Wåltorp,"21/12,21/18",Kato Lambrecths,
2015/2016,Bergen Julecupen,02.01.2016,SEN E,Jack Oterhals,Rune Oterhals,Olve Nes Kløvning,Martin Brekke Hjellestad,"21/16,21/19",Jack Oterhals,Rune Oterhals
2015/2016,Bergen Julecupen,02.01.2016,SEN E,Geir Omdal,Kenneth Larsen,Dusan Nikolic,Keveen Kumar Balasingam,"21/10,21/9",Geir Omdal,Kenneth Larsen
2015/2016,Bergen Julecupen,02.01.2016,SEN E,Dusan Nikolic,Keveen Kumar Balasingam,Jack Oterhals,Rune Oterhals,"21/11,21/19",Dusan Nikolic,Keveen Kumar Balasingam
2015/2016,Bergen Julecupen,02.01.2016,SEN E,Sigbjørn Honve,Petter Polden,Olve Nes Kløvning,Martin Brekke Hjellestad,"21/14,21/14",Sigbjørn Honve,Petter Polden
2015/2016,Bergen Julecupen,02.01.2016,SEN E,Sigbjørn Honve,Petter Polden,Jack Oterhals,Rune Oterhals,"21/15,21/11",Sigbjørn Honve,Petter Polden
2015/2016,Bergen Julecupen,02.01.2016,SEN E,Geir Omdal,Kenneth Larsen,Olve Nes Kløvning,Martin Brekke Hjellestad,"21/3,21/9",Geir Omdal,Kenneth Larsen
2015/2016,Bergen Julecupen,02.01.2016,SEN E,Geir Omdal,Kenneth Larsen,Jack Oterhals,Rune Oterhals,"21/4,21/4",Geir Omdal,Kenneth Larsen
