Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Markus Barth,"14/21,26/24,22/20",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Danila Gataullin,"21/14,21/9",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Torjus Flåtten,"21/14,21/13",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Petter Tryland Laheld,"21/11,21/9",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Danila Gataullin,,Ludvig Smith-Meyer,"21/17,21/18",Danila Gataullin,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Torjus Flåtten,,Jim Ronny Andersen,"21/17,21/17",Torjus Flåtten,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Thomas Barth,"21/12,18/21,21/13",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Carl Christian Møller Jacobsen,"21/7,21/10",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Petter Tryland Laheld,,Sigbjørn Honve,"16/21,21/19,21/19",Petter Tryland Laheld,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Danila Gataullin,,Mattias Xu,"21/12,24/22",Danila Gataullin,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Ludvig Smith-Meyer,,Bharath Kumar Balasingam,"21/11,21/8",Ludvig Smith-Meyer,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Jim Ronny Andersen,,Jørgen Rosenlund,"21/13,21/11",Jim Ronny Andersen,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Torjus Flåtten,,Mads Marum,"21/15,21/15",Torjus Flåtten,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Thomas Barth,,Hermod Holte Haugland,"21/18,21/4",Thomas Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Fredrik Skånøy,"21/6,21/5",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Petter Karlsen Wåltorp,"21/5,21/5",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Torjus Flåtten,,Jiawen Shi,"21/8,21/12",Torjus Flåtten,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Fredrik Skånøy,,Stian Ekroll Glenne,"21/19,11/21,21/15",Fredrik Skånøy,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Jonas Østhassel,"19/21,21/7,21/7",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Jørgen Rosenlund,,Erlend Kruksve,"21/9,21/6",Jørgen Rosenlund,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Hermod Holte Haugland,,Andreas Andersen,"18/21,21/19,21/9",Hermod Holte Haugland,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Thomas Barth,,Keveen Kumar Balasingam,"21/18,21/19",Thomas Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Ludvig Smith-Meyer,,Andreas Andersen Roksvåg,"21/10,21/14",Ludvig Smith-Meyer,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Carl Christian Møller Jacobsen,,Sebastian Reijnen,"21/7,19/21,21/14",Carl Christian Møller Jacobsen,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Petter Tryland Laheld,,Mattias Mørk,"21/16,21/16",Petter Tryland Laheld,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Sigbjørn Honve,,Sander Bunes Kristensen,"21/14,21/11",Sigbjørn Honve,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Danila Gataullin,,Andreas Holmedal,"21/18,21/16",Danila Gataullin,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Mattias Xu,,Karl Ødegård,"21/12,21/15",Mattias Xu,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Bharath Kumar Balasingam,,Advait Mital,"21/18,21/17",Bharath Kumar Balasingam,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Jim Ronny Andersen,,John Nguyen,"21/12,21/7",Jim Ronny Andersen,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Mads Marum,,Aldrin Nelson,"21/12,21/18",Mads Marum,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Markus Barth,"14/21,26/24,22/20",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Danila Gataullin,"21/14,21/9",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Torjus Flåtten,"21/14,21/13",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Petter Tryland Laheld,"21/11,21/9",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Danila Gataullin,,Ludvig Smith-Meyer,"21/17,21/18",Danila Gataullin,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Torjus Flåtten,,Jim Ronny Andersen,"21/17,21/17",Torjus Flåtten,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Thomas Barth,"21/12,18/21,21/13",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Carl Christian Møller Jacobsen,"21/7,21/10",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Petter Tryland Laheld,,Sigbjørn Honve,"16/21,21/19,21/19",Petter Tryland Laheld,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Danila Gataullin,,Mattias Xu,"21/12,24/22",Danila Gataullin,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Ludvig Smith-Meyer,,Bharath Kumar Balasingam,"21/11,21/8",Ludvig Smith-Meyer,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Jim Ronny Andersen,,Jørgen Rosenlund,"21/13,21/11",Jim Ronny Andersen,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Torjus Flåtten,,Mads Marum,"21/15,21/15",Torjus Flåtten,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Thomas Barth,,Hermod Holte Haugland,"21/18,21/4",Thomas Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Fredrik Skånøy,"21/6,21/5",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Markus Barth,,Petter Karlsen Wåltorp,"21/5,21/5",Markus Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Torjus Flåtten,,Jiawen Shi,"21/8,21/12",Torjus Flåtten,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Fredrik Skånøy,,Stian Ekroll Glenne,"21/19,11/21,21/15",Fredrik Skånøy,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vegard Rikheim,,Jonas Østhassel,"19/21,21/7,21/7",Vegard Rikheim,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Jørgen Rosenlund,,Erlend Kruksve,"21/9,21/6",Jørgen Rosenlund,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Hermod Holte Haugland,,Andreas Andersen,"18/21,21/19,21/9",Hermod Holte Haugland,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Thomas Barth,,Keveen Kumar Balasingam,"21/18,21/19",Thomas Barth,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Ludvig Smith-Meyer,,Andreas Andersen Roksvåg,"21/10,21/14",Ludvig Smith-Meyer,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Carl Christian Møller Jacobsen,,Sebastian Reijnen,"21/7,19/21,21/14",Carl Christian Møller Jacobsen,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Petter Tryland Laheld,,Mattias Mørk,"21/16,21/16",Petter Tryland Laheld,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Sigbjørn Honve,,Sander Bunes Kristensen,"21/14,21/11",Sigbjørn Honve,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Danila Gataullin,,Andreas Holmedal,"21/18,21/16",Danila Gataullin,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Mattias Xu,,Karl Ødegård,"21/12,21/15",Mattias Xu,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Bharath Kumar Balasingam,,Advait Mital,"21/18,21/17",Bharath Kumar Balasingam,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Jim Ronny Andersen,,John Nguyen,"21/12,21/7",Jim Ronny Andersen,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Mads Marum,,Aldrin Nelson,"21/12,21/18",Mads Marum,
2021/2022,Bergen NM Senior,25.03.2022,SEN E,,Vilde Espeseth,,Marie  Mørk,"21/14,21/16",Vilde Espeseth,
