Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Håvard Soløy,,Niclas Thörn,"21/12,21/9",Håvard Soløy,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Niclas Thörn,,Martin Brekke Hjellestad,"17/21,21/16,21/16",Niclas Thörn,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Niclas Thörn,,Tor-Kristian Storvik,"21/14,21/18",Niclas Thörn,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Tor-Kristian Storvik,,Martin Brekke Hjellestad,"19/21,21/13,21/13",Tor-Kristian Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Håvard Soløy,,Torstein Monsen,"21/12,21/16",Håvard Soløy,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Håvard Soløy,,Anders Lindberg,"21/11,21/14",Håvard Soløy,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Anders Lindberg,,Torstein Monsen,"21/17,21/13",Anders Lindberg,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Håvard Soløy,,Niclas Thörn,"21/12,21/9",Håvard Soløy,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Niclas Thörn,,Martin Brekke Hjellestad,"17/21,21/16,21/16",Niclas Thörn,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Niclas Thörn,,Tor-Kristian Storvik,"21/14,21/18",Niclas Thörn,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Tor-Kristian Storvik,,Martin Brekke Hjellestad,"19/21,21/13,21/13",Tor-Kristian Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Håvard Soløy,,Torstein Monsen,"21/12,21/16",Håvard Soløy,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Håvard Soløy,,Anders Lindberg,"21/11,21/14",Håvard Soløy,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,,Anders Lindberg,,Torstein Monsen,"21/17,21/13",Anders Lindberg,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,Anders Lindberg,Niclas Thörn,Martin Brekke Hjellestad,Kent Nyheim,"21/19,15/21,21/17",Anders Lindberg,Niclas Thörn
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,Martin Brekke Hjellestad,Kent Nyheim,Torstein Monsen,Pankaj Bhart,"21/14,20/22,21/16",Martin Brekke Hjellestad,Kent Nyheim
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,Anders Lindberg,Niclas Thörn,Håvard Soløy,Tore Hansen,"21/17,16/21,21/17",Anders Lindberg,Niclas Thörn
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,Håvard Soløy,Tore Hansen,Torstein Monsen,Pankaj Bhart,"21/11,21/14",Håvard Soløy,Tore Hansen
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,Anders Lindberg,Niclas Thörn,Torstein Monsen,Pankaj Bhart,"20/22,21/11,21/13",Anders Lindberg,Niclas Thörn
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN A,Håvard Soløy,Tore Hansen,Martin Brekke Hjellestad,Kent Nyheim,"21/14,21/15",Håvard Soløy,Tore Hansen
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Simen Eggøy Olson,,Tarjei Bruaas,"21/11,16/21,21/16",Simen Eggøy Olson,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Simen Eggøy Olson,,Ketil Olsen,"21/16,21/13",Simen Eggøy Olson,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Ketil Olsen,,Tore Hansen,"21/10,23/21",Ketil Olsen,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Tore Hansen,,Simen Eggøy Olson,"21/18,21/13",Tore Hansen,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Tarjei Bruaas,,Pankaj Bhart,"21/14,21/18",Tarjei Bruaas,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Tarjei Bruaas,,Reidar Bråten,"21/19,21/13",Tarjei Bruaas,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Reidar Bråten,,Pankaj Bhart,"21/19,21/15",Reidar Bråten,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Simen Eggøy Olson,,Tarjei Bruaas,"21/11,16/21,21/16",Simen Eggøy Olson,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Simen Eggøy Olson,,Ketil Olsen,"21/16,21/13",Simen Eggøy Olson,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Ketil Olsen,,Tore Hansen,"21/10,23/21",Ketil Olsen,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Tore Hansen,,Simen Eggøy Olson,"21/18,21/13",Tore Hansen,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Tarjei Bruaas,,Pankaj Bhart,"21/14,21/18",Tarjei Bruaas,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Tarjei Bruaas,,Reidar Bråten,"21/19,21/13",Tarjei Bruaas,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Reidar Bråten,,Pankaj Bhart,"21/19,21/15",Reidar Bråten,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Sigrid Forsland,,Leonie Johann,"21/12,21/16",Sigrid Forsland,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Mirjam Finanger,,Leonie Johann,"21/12,21/16",Mirjam Finanger,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Renate Haug Lien,,Sigrid Forsland,"21/18,21/15",Renate Haug Lien,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Renate Haug Lien,,Mirjam Finanger,"21/17,21/17",Renate Haug Lien,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Renate Haug Lien,,Leonie Johann,"21/11,21/16",Renate Haug Lien,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,,Sigrid Forsland,,Mirjam Finanger,"24/26,21/16,21/14",Sigrid Forsland,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,Reidar Bråten,Ketil Olsen,Tor-Kristian Storvik,Åsne Lund,"21/13,21/17",Reidar Bråten,Ketil Olsen
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,Tarjei Bruaas,Simen Eggøy Olson,Tor-Kristian Storvik,Åsne Lund,"21/17,19/21,21/18",Tarjei Bruaas,Simen Eggøy Olson
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN B,Tarjei Bruaas,Simen Eggøy Olson,Reidar Bråten,Ketil Olsen,"21/16,21/14",Tarjei Bruaas,Simen Eggøy Olson
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Inge Storvik,,Gagan Kumar,"21/15,21/10",Inge Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Kenneth Sundnes,,Audun Knutssønn Hauge,"21/17,14/21,21/13",Kenneth Sundnes,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Gagan Kumar,,Audun Knutssønn Hauge,"21/9,21/14",Gagan Kumar,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Inge Storvik,,Kenneth Sundnes,"14/21,21/16,21/19",Inge Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Gagan Kumar,"18/21,21/18,21/9",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Audun Knutssønn Hauge,"21/16,21/5",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Kenneth Sundnes,"21/11,21/10",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Gagan Kumar,,Kenneth Sundnes,"21/10,21/10",Gagan Kumar,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Inge Storvik,"21/16,21/14",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Inge Storvik,,Audun Knutssønn Hauge,"21/6,21/9",Inge Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Inge Storvik,,Gagan Kumar,"21/15,21/10",Inge Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Kenneth Sundnes,,Audun Knutssønn Hauge,"21/17,14/21,21/13",Kenneth Sundnes,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Gagan Kumar,,Audun Knutssønn Hauge,"21/9,21/14",Gagan Kumar,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Inge Storvik,,Kenneth Sundnes,"14/21,21/16,21/19",Inge Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Gagan Kumar,"18/21,21/18,21/9",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Audun Knutssønn Hauge,"21/16,21/5",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Kenneth Sundnes,"21/11,21/10",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Gagan Kumar,,Kenneth Sundnes,"21/10,21/10",Gagan Kumar,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Andreas Kollstrøm,,Inge Storvik,"21/16,21/14",Andreas Kollstrøm,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,,Inge Storvik,,Audun Knutssønn Hauge,"21/6,21/9",Inge Storvik,
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,Inge Storvik,Gagan Kumar,Kenneth Sundnes,Andreas Kollstrøm,"21/19,21/18",Inge Storvik,Gagan Kumar
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,Lone Hopstad,Mirjam Finanger,Sindre Braathen,Steinar Skarvik Pettersen,"21/8,21/11",Lone Hopstad,Mirjam Finanger
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,Inge Storvik,Gagan Kumar,Sindre Braathen,Steinar Skarvik Pettersen,"21/6,21/7",Inge Storvik,Gagan Kumar
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,Inge Storvik,Gagan Kumar,Lone Hopstad,Mirjam Finanger,"21/16,21/12",Inge Storvik,Gagan Kumar
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,Kenneth Sundnes,Andreas Kollstrøm,Leonie Johann,Renate Haug Lien,"21/18,21/9",Kenneth Sundnes,Andreas Kollstrøm
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,Audun Knutssønn Hauge,Sigrid Forsland,Leonie Johann,Renate Haug Lien,"22/20,21/19",Audun Knutssønn Hauge,Sigrid Forsland
2019/2020,Bodø Polarcirkel cup 2019,02.11.2019,SEN C,Kenneth Sundnes,Andreas Kollstrøm,Audun Knutssønn Hauge,Sigrid Forsland,"21/17,21/18",Kenneth Sundnes,Andreas Kollstrøm
