Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Trygve Ellingsen,,Houshang Jabbarzadeh,"21/15,21/6",Trygve Ellingsen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Karl Ødegård,,Eirik Paulsen,"24/22,21/13",Karl Ødegård,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Karl Ødegård,,Houshang Jabbarzadeh,"21/10,21/2",Karl Ødegård,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Karl Ødegård,,Trygve Ellingsen,"29/30,21/14,21/10",Karl Ødegård,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Trygve Ellingsen,,Eirik Paulsen,"21/19,17/21,21/14",Trygve Ellingsen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Eirik Paulsen,,Houshang Jabbarzadeh,"21/10,21/17",Eirik Paulsen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Trygve Ellingsen,,Houshang Jabbarzadeh,"21/15,21/6",Trygve Ellingsen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Karl Ødegård,,Eirik Paulsen,"24/22,21/13",Karl Ødegård,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Karl Ødegård,,Houshang Jabbarzadeh,"21/10,21/2",Karl Ødegård,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Karl Ødegård,,Trygve Ellingsen,"29/30,21/14,21/10",Karl Ødegård,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Trygve Ellingsen,,Eirik Paulsen,"21/19,17/21,21/14",Trygve Ellingsen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,,Eirik Paulsen,,Houshang Jabbarzadeh,"21/10,21/17",Eirik Paulsen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN A,Karl Ødegård,Jiawen Shi,Eirik Paulsen,Arnt-Helge Karlsen,"21/18,21/18",Karl Ødegård,Jiawen Shi
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Stian Otten,,Casper Cappelen,"21/16,21/14",Stian Otten,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Stian Otten,,Bernt Pallesen,"21/18,21/14",Stian Otten,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Bernt Pallesen,,Anders Bellesen,"21/18,21/11",Bernt Pallesen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Stian Otten,,Anders Bellesen,"21/14,21/8",Stian Otten,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Marius Kjellqvist,,Nils Henrik Haaland,"21/15,21/17",Marius Kjellqvist,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Casper Cappelen,,Kim Rasmussen,"21/10,21/11",Casper Cappelen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Casper Cappelen,,Marius Kjellqvist,"21/13,21/18",Casper Cappelen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Nils Henrik Haaland,,Kim Rasmussen,"21/12,21/11",Nils Henrik Haaland,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Marius Kjellqvist,,Kim Rasmussen,"21/10,21/13",Marius Kjellqvist,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Casper Cappelen,,Nils Henrik Haaland,"21/10,21/13",Casper Cappelen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Stian Otten,,Casper Cappelen,"21/16,21/14",Stian Otten,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Stian Otten,,Bernt Pallesen,"21/18,21/14",Stian Otten,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Bernt Pallesen,,Anders Bellesen,"21/18,21/11",Bernt Pallesen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Stian Otten,,Anders Bellesen,"21/14,21/8",Stian Otten,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Marius Kjellqvist,,Nils Henrik Haaland,"21/15,21/17",Marius Kjellqvist,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Casper Cappelen,,Kim Rasmussen,"21/10,21/11",Casper Cappelen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Casper Cappelen,,Marius Kjellqvist,"21/13,21/18",Casper Cappelen,
2017/2018,Brodd Nyttårs-smashen,06.01.2018,SEN C,,Nils Henrik Haaland,,Kim Rasmussen,"21/12,21/11",Nils Henrik Haaland,
