Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Karl Ødegård,"21/17,15/21,21/19",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Terje Jacobsen,"21/6,21/12",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Trygve Ellingsen,,Andreas Haglund,"21/18,21/16",Trygve Ellingsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Karl Ødegård,,Andreas Haglund,"21/11,21/3",Karl Ødegård,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Karl Ødegård,,Trygve Ellingsen,"21/9,21/15",Karl Ødegård,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Yahya Januarilham,,Joakim Haugebo,"21/16,21/15",Yahya Januarilham,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Terje Jacobsen,,Yahya Januarilham,"21/17,13/21,22/20",Terje Jacobsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Terje Jacobsen,,Joakim Haugebo,"21/18,21/10",Terje Jacobsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Kevin Abraham,"21/10,21/12",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Vijay Ramaswamy,"21/7,21/8",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Vijay Ramaswamy,,Kevin Abraham,"21/14,21/14",Vijay Ramaswamy,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Karl Ødegård,"21/17,15/21,21/19",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Terje Jacobsen,"21/6,21/12",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Trygve Ellingsen,,Andreas Haglund,"21/18,21/16",Trygve Ellingsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Karl Ødegård,,Andreas Haglund,"21/11,21/3",Karl Ødegård,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Karl Ødegård,,Trygve Ellingsen,"21/9,21/15",Karl Ødegård,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Yahya Januarilham,,Joakim Haugebo,"21/16,21/15",Yahya Januarilham,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Terje Jacobsen,,Yahya Januarilham,"21/17,13/21,22/20",Terje Jacobsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Terje Jacobsen,,Joakim Haugebo,"21/18,21/10",Terje Jacobsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Kevin Abraham,"21/10,21/12",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Jiawen Shi,,Vijay Ramaswamy,"21/7,21/8",Jiawen Shi,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Vijay Ramaswamy,,Kevin Abraham,"21/14,21/14",Vijay Ramaswamy,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Elisabeth Pape,,Christiane Dahl Nielsen,"21/19,21/13",Elisabeth Pape,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Ingeborg Krogsæter,,Tyra Friisenfeldt,"21/15,21/17",Ingeborg Krogsæter,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Christiane Dahl Nielsen,,Tyra Friisenfeldt,"21/13,21/17",Christiane Dahl Nielsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Christiane Dahl Nielsen,,Ingeborg Krogsæter,"21/10,21/15",Christiane Dahl Nielsen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Mette Skjævesland Pedersen,,Anne-Emilie Larsen,"21/19,21/15",Mette Skjævesland Pedersen,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Elisabeth Pape,,Marianne Lie,"21/11,21/18",Elisabeth Pape,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Marianne Lie,,Anne-Emilie Larsen,"21/6,21/11",Marianne Lie,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Elisabeth Pape,,Mette Skjævesland Pedersen,"21/13,21/9",Elisabeth Pape,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Elisabeth Pape,,Anne-Emilie Larsen,"21/8,21/13",Elisabeth Pape,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,,Marianne Lie,,Mette Skjævesland Pedersen,"21/16,21/15",Marianne Lie,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Karl Ødegård,Jiawen Shi,Eirik Skaar,Eirik Hæreid,"21/10,21/11",Karl Ødegård,Jiawen Shi
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Yahya Januarilham,Vijay Ramaswamy,Agus Darmawan,Fery Simbolon,"21/14,21/16",Yahya Januarilham,Vijay Ramaswamy
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Karl Ødegård,Jiawen Shi,Yahya Januarilham,Vijay Ramaswamy,"21/19,21/10",Karl Ødegård,Jiawen Shi
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Karl Ødegård,Jiawen Shi,Agus Darmawan,Fery Simbolon,"21/8,21/9",Karl Ødegård,Jiawen Shi
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Eirik Skaar,Eirik Hæreid,Terje Jacobsen,Odd Hæreid,"10/21,21/10,21/13",Eirik Skaar,Eirik Hæreid
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Christiane Dahl Nielsen,Elisabeth Pape,Andreas Haglund,Joakim Haugebo,"18/21,21/12,21/18",Christiane Dahl Nielsen,Elisabeth Pape
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Christiane Dahl Nielsen,Elisabeth Pape,Terje Jacobsen,Odd Hæreid,"21/18,18/21,25/23",Christiane Dahl Nielsen,Elisabeth Pape
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Eirik Skaar,Eirik Hæreid,Andreas Haglund,Joakim Haugebo,"21/23,21/16,21/13",Eirik Skaar,Eirik Hæreid
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Andreas Haglund,Joakim Haugebo,Terje Jacobsen,Odd Hæreid,"21/14,10/21,21/10",Andreas Haglund,Joakim Haugebo
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN A,Eirik Skaar,Eirik Hæreid,Christiane Dahl Nielsen,Elisabeth Pape,"21/14,21/17",Eirik Skaar,Eirik Hæreid
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN C,,Stian Otten,,Sebastian Høyland Wahl,"21/13,21/15",Stian Otten,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN C,,Stian Otten,,Casper Cappelen,"26/24,18/21,21/16",Stian Otten,
2016/2017,Brodd Vårstikket 2017,18.03.2017,SEN C,,Sebastian Høyland Wahl,,Trond Krogsæter,"21/8,21/16",Sebastian Høyland Wahl,
