Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Ikmal Hussain Jaafar,,Vegard Rikheim,"21/10,21/15",Ikmal Hussain Jaafar,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Ikmal Hussain Jaafar,,Geir Storvik,"21/6,21/13",Ikmal Hussain Jaafar,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Vegard Rikheim,,Bård Storvik,"21/13,21/14",Vegard Rikheim,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Geir Storvik,,Karel Eriksson,"24/22,21/17",Geir Storvik,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Ikmal Hussain Jaafar,,Lasse Nyheim,"21/7,21/8",Ikmal Hussain Jaafar,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Bård Storvik,,Karl Ødegård,"21/13,21/13",Bård Storvik,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Vegard Rikheim,,Pål Endre Pedersen,"21/12,21/7",Vegard Rikheim,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Karel Eriksson,,Thomas Berge,"21/14,12/21,21/9",Karel Eriksson,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Ikmal Hussain Jaafar,,Jonas Christensen,"21/19,21/7",Ikmal Hussain Jaafar,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Karl Ødegård,,Joel Collard,"21/14,21/18",Karl Ødegård,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Pål Endre Pedersen,,Christian S. Johnsen,"21/9,21/10",Pål Endre Pedersen,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Geir Storvik,,Øystein Hovden Eimind,"21/6,21/6",Geir Storvik,
2015/2016,Bygdø RT 13 + NRSenior*,08.01.2016,SEN E,,Tormod Thorp,,Øystein Hovden Eimind,"21/18,21/17",Tormod Thorp,
