Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Petter Tryland Laheld,,Kai Roger Stensen,"13/21,21/15,21/18",Petter Tryland Laheld,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Petter Tryland Laheld,,Benjamin Rølvåg,"21/19,21/10",Petter Tryland Laheld,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Kai Roger Stensen,,Boyan Yu,"24/22,24/22",Kai Roger Stensen,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Petter Tryland Laheld,,Kristoffer Kielland Rædergård,"21/9,21/10",Petter Tryland Laheld,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Benjamin Rølvåg,,Øyvind W. Selboe,"18/21,21/15,21/18",Benjamin Rølvåg,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Kai Roger Stensen,,Anders Haugland,"21/16,21/13",Kai Roger Stensen,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Boyan Yu,,Rune Oterhals,"21/10,21/15",Boyan Yu,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Benjamin Rølvåg,,Atle Wikran,"21/18,21/8",Benjamin Rølvåg,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Anders Haugland,,Ole Petter Øren,"21/13,21/12",Anders Haugland,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Kai Roger Stensen,,Sondre Løvold,"21/5,21/17",Kai Roger Stensen,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Rune Oterhals,,Kristoffer Brandsås Berg,"21/16,21/18",Rune Oterhals,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Petter Tryland Laheld,,Oliver George Creese,"21/8,21/10",Petter Tryland Laheld,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Øyvind W. Selboe,,Iver Rolvsjord,"22/20,21/16",Øyvind W. Selboe,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Boyan Yu,,Petter Svendsen,"21/14,13/21,24/22",Boyan Yu,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Anders Haugland,,Geoffrey Werner,"21/14,21/17",Anders Haugland,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Rune Oterhals,,Mats Berner Tombre,"21/17,21/8",Rune Oterhals,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Benjamin Rølvåg,,Vebjørn Rønne,"21/9,21/3",Benjamin Rølvåg,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Petter Tryland Laheld,,Kai Roger Stensen,"13/21,21/15,21/18",Petter Tryland Laheld,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Petter Tryland Laheld,,Benjamin Rølvåg,"21/19,21/10",Petter Tryland Laheld,
2022/2023,Flatås Flatåscup,29.10.2022,SEN E,,Kai Roger Stensen,,Boyan Yu,"24/22,24/22",Kai Roger Stensen,
