Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Rolf Ove Karlsen,"19/21,21/9,21/15",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Isak L. Hasselvold,"21/17,22/20",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Rolf Ove Karlsen,,Håvard Soløy,"22/20,21/15",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Isak L. Hasselvold,,Robert Barø,"21/16,21/15",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Håvard Soløy,,Kent Roger Sandvær,"21/11,21/18",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Vegard Tømmerås,,Kristian Hyllestad,"21/18,21/18",Vegard Tømmerås,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Elias Lenning,"21/13,21/7",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Elias Lenning,,Kristian Hyllestad,"22/20,21/11",Elias Lenning,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Vegard Tømmerås,"21/13,21/8",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Kristian Hyllestad,"21/10,21/7",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Elias Lenning,,Vegard Tømmerås,"21/9,21/10",Elias Lenning,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Isak L. Hasselvold,,Ole Christoffer Olsen,"21/7,21/7",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Lars Erik Karlsen,,Ole Christoffer Olsen,"21/14,21/16",Lars Erik Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Isak L. Hasselvold,,Lars Erik Karlsen,"21/9,21/10",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Robert Barø,,Kai Roger Stensen,"21/15,21/18",Robert Barø,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Robert Barø,,Jonas J Grande,"21/13,14/21,21/17",Robert Barø,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Kai Roger Stensen,,Jonas J Grande,"21/19,22/20",Kai Roger Stensen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Kent Roger Sandvær,,Kristoffer Kielland Rædergård,"18/21,21/13,21/16",Kent Roger Sandvær,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Håvard Soløy,,Robin Sörlin,"21/18,21/12",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Andreas Nordhøy,,Robin Sörlin,"21/8,17/21,21/13",Andreas Nordhøy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Håvard Soløy,,Andreas Nordhøy,"25/23,21/15",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Odd Helge Gåsbakk,,Fredrik Skånøy,"17/21,21/16,21/17",Odd Helge Gåsbakk,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Fredrik Skånøy,,Robin Kruksve Krux,"20/22,28/26,21/18",Fredrik Skånøy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Odd Helge Gåsbakk,,Robin Kruksve Krux,"21/10,21/12",Odd Helge Gåsbakk,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Rolf Ove Karlsen,,Robin Kruksve Krux,"17/21,23/21,21/9",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Rolf Ove Karlsen,,Odd Helge Gåsbakk,"21/23,21/19,21/12",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Rolf Ove Karlsen,,Fredrik Skånøy,"21/18,21/16",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Rolf Ove Karlsen,"19/21,21/9,21/15",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Isak L. Hasselvold,"21/17,22/20",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Rolf Ove Karlsen,,Håvard Soløy,"22/20,21/15",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Isak L. Hasselvold,,Robert Barø,"21/16,21/15",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Håvard Soløy,,Kent Roger Sandvær,"21/11,21/18",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Vegard Tømmerås,,Kristian Hyllestad,"21/18,21/18",Vegard Tømmerås,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Elias Lenning,"21/13,21/7",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Elias Lenning,,Kristian Hyllestad,"22/20,21/11",Elias Lenning,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Vegard Tømmerås,"21/13,21/8",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Iver Aalberg,,Kristian Hyllestad,"21/10,21/7",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Elias Lenning,,Vegard Tømmerås,"21/9,21/10",Elias Lenning,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Isak L. Hasselvold,,Ole Christoffer Olsen,"21/7,21/7",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Lars Erik Karlsen,,Ole Christoffer Olsen,"21/14,21/16",Lars Erik Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Isak L. Hasselvold,,Lars Erik Karlsen,"21/9,21/10",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Robert Barø,,Kai Roger Stensen,"21/15,21/18",Robert Barø,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Robert Barø,,Jonas J Grande,"21/13,14/21,21/17",Robert Barø,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Kai Roger Stensen,,Jonas J Grande,"21/19,22/20",Kai Roger Stensen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Kent Roger Sandvær,,Kristoffer Kielland Rædergård,"18/21,21/13,21/16",Kent Roger Sandvær,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Håvard Soløy,,Robin Sörlin,"21/18,21/12",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,,Andreas Nordhøy,,Robin Sörlin,"21/8,17/21,21/13",Andreas Nordhøy,
