Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Kai Roger Stensen,,Marius Sandvær,"21/14,21/14",Kai Roger Stensen,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Marius Sandvær,,Benjamin Rølvåg,"21/16,24/22",Marius Sandvær,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Kai Roger Stensen,,Håvard Soløy,"21/18,21/11",Kai Roger Stensen,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Elias Lenning,,Leonard Meyer Nordnes,"21/12,16/21,21/7",Elias Lenning,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Kai Roger Stensen,,Elias Lenning,"23/21,21/13",Kai Roger Stensen,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Kai Roger Stensen,,Leonard Meyer Nordnes,"21/14,21/14",Kai Roger Stensen,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Håvard Soløy,,Nila Lorvik,"16/21,21/8,21/12",Håvard Soløy,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Odd Helge Gåsbakk,,Nila Lorvik,"7/21,21/16,23/21",Odd Helge Gåsbakk,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Håvard Soløy,,Robert Barø,"21/16,17/21,21/17",Håvard Soløy,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Robert Barø,,Nila Lorvik,"24/22,17/21,21/9",Robert Barø,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Håvard Soløy,,Odd Helge Gåsbakk,"24/22,21/16",Håvard Soløy,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Odd Helge Gåsbakk,,Robert Barø,"21/17,18/21,21/18",Odd Helge Gåsbakk,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Marius Sandvær,,Erik Måøy,"21/17,21/12",Marius Sandvær,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Ole Petter Øren,,Roar Natvig,"15/21,21/10,21/14",Ole Petter Øren,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Marius Sandvær,,Ole Petter Øren,"22/20,21/16",Marius Sandvær,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Marius Sandvær,,Roar Natvig,"21/12,21/12",Marius Sandvær,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Ole Petter Øren,,Erik Måøy,"21/9,21/11",Ole Petter Øren,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Roar Natvig,,Erik Måøy,"21/19,21/13",Roar Natvig,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Benjamin Rølvåg,,Anders Moen,"18/21,21/12,21/9",Benjamin Rølvåg,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Kristoffer Kielland Rædergård,,Anders Moen,"21/18,21/15",Kristoffer Kielland Rædergård,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Benjamin Rølvåg,,Kristoffer Kielland Rædergård,"21/11,21/19",Benjamin Rølvåg,
2022/2023,Grong Tommy Gåsbakks minneturnering,12.11.2022,SEN A,,Kai Roger Stensen,,Marius Sandvær,"21/14,21/14",Kai Roger Stensen,
