Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Hans Andreas Karlsen,,Ole Salomonsen,"21/15,21/10",Hans Andreas Karlsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Hans Andreas Karlsen,,Ernst Georg Olsen,"21/7,21/10",Hans Andreas Karlsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Ole Salomonsen,,Andreas Andersen,"21/9,21/18",Ole Salomonsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Tore Nilsen,,Vegar Næss,"21/0,21/0",Tore Nilsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Ole Salomonsen,,Vegar Næss,"21/0,21/0",Ole Salomonsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Hans Andreas Karlsen,,Tore Nilsen,"21/14,21/16",Hans Andreas Karlsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Hans Andreas Karlsen,,Ole Salomonsen,"21/10,21/13",Hans Andreas Karlsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Hans Andreas Karlsen,,Vegar Næss,"21/0,21/0",Hans Andreas Karlsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Ole Salomonsen,,Tore Nilsen,"22/20,21/8",Ole Salomonsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Torstein Monsen,,Pankaj Bhart,"21/12,21/11",Torstein Monsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Ernst Georg Olsen,,Tom Brovold,"21/0,21/0",Ernst Georg Olsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Ernst Georg Olsen,,Torstein Monsen,"21/16,21/18",Ernst Georg Olsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Torstein Monsen,,Tom Brovold,"21/0,21/0",Torstein Monsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Andreas Andersen,,Tom Brovold,"21/0,21/0",Andreas Andersen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Andreas Andersen,,Pankaj Bhart,"21/12,21/11",Andreas Andersen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Andreas Andersen,,Torstein Monsen,"21/16,21/19",Andreas Andersen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Ernst Georg Olsen,,Pankaj Bhart,"21/12,21/9",Ernst Georg Olsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Pankaj Bhart,,Tom Brovold,"21/0,21/0",Pankaj Bhart,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Andreas Andersen,,Ernst Georg Olsen,"17/21,23/21,21/19",Andreas Andersen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Hans Andreas Karlsen,,Ole Salomonsen,"21/15,21/10",Hans Andreas Karlsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Hans Andreas Karlsen,,Ernst Georg Olsen,"21/7,21/10",Hans Andreas Karlsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Ole Salomonsen,,Andreas Andersen,"21/9,21/18",Ole Salomonsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Tore Nilsen,,Vegar Næss,"21/0,21/0",Tore Nilsen,
