Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Sverre Bergland jr,"21/14,24/22",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Thomas Grüner Fjeldheim,"21/18,21/17",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Petter Tryland Laheld,"17/21,21/17,21/13",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Advait Mital,"21/18,21/10",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Grüner Fjeldheim,,Jens Karlsen,"17/21,21/18,21/13",Thomas Grüner Fjeldheim,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Rafid Ishaq,"21/11,21/15",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Elias Lenning,"21/10,21/8",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Brynjar Hus,"21/14,21/3",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Mattias Mørk,"21/14,22/20",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Grüner Fjeldheim,,Andreas Holmedal,"21/11,21/15",Thomas Grüner Fjeldheim,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Vemund Hus,"21/7,21/8",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Thomas Barth,"21/11,21/9",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Rafid Ishaq,,Theodor Fjelldal,"21/17,21/16",Rafid Ishaq,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,Elias Øyen Selsaas,"21/10,21/11",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Vetle Bækkelien,"21/16,21/19",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Haakon Lærkerød Jelsness,"21/9,21/17",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Andreas Holmedal,,Aleksander Jakovlevs,"21/11,21/8",Andreas Holmedal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vemund Hus,,Bjørn Deron,"21/13,21/16",Vemund Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Barth,,Sturla Mørk,"21/9,21/12",Thomas Barth,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Theodor Fjelldal,,Hans Jørgen Berg,"21/8,21/13",Theodor Fjelldal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Øyen Selsaas,,Sander Bunes Kristensen,"21/13,21/18",Elias Øyen Selsaas,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Thomas Barth,"21/12,21/12",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Barth,,Sander Østhassel,"21/10,21/8",Thomas Barth,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Sander Østhassel,"21/8,21/9",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sturla Mørk,,Elias Ausen,"21/15,21/16",Sturla Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Brynjar Hus,,Elias Ausen,"12/21,21/15,21/13",Brynjar Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Brynjar Hus,,Sturla Mørk,"21/13,23/21",Brynjar Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Mattias Mørk,,Leonard Volrath Holmboe,"21/13,21/14",Mattias Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Hans Jørgen Berg,,Zhongyan Yu,"16/21,21/17,21/17",Hans Jørgen Berg,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Leonard Volrath Holmboe,,Zhongyan Yu,"19/21,21/15,21/10",Leonard Volrath Holmboe,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Mattias Mørk,,Hans Jørgen Berg,"21/12,21/9",Mattias Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Hans Jørgen Berg,,Leonard Volrath Holmboe,"16/21,21/17,21/19",Hans Jørgen Berg,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Mattias Mørk,,Zhongyan Yu,"21/14,21/8",Mattias Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Grüner Fjeldheim,,Sander Bunes Kristensen,"21/13,21/12",Thomas Grüner Fjeldheim,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Elias Øyen Selsaas,"21/11,21/13",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Hermod Holte Haugland,,Kavin Thas,"21/6,21/4",Hermod Holte Haugland,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Øyen Selsaas,,Kavin Thas,"21/5,21/3",Elias Øyen Selsaas,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Hermod Holte Haugland,"21/18,16/21,21/12",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Øyen Selsaas,,Hermod Holte Haugland,"16/21,21/11,21/15",Elias Øyen Selsaas,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Kavin Thas,"21/5,21/2",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Advait Mital,"21/8,21/19",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Christer Andersen,,Andreas Andersen Roksvåg,"21/18,23/21",Christer Andersen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Andreas Andersen Roksvåg,"21/8,21/8",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Christer Andersen,"21/4,21/11",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Christer Andersen,"21/13,19/21,21/11",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Andreas Andersen Roksvåg,"21/5,21/7",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Theodor Fjelldal,,Sebastian Reijnen,"21/8,21/9",Theodor Fjelldal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Theodor Fjelldal,,Haakon Lærkerød Jelsness,"21/8,21/6",Theodor Fjelldal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Haakon Lærkerød Jelsness,,Sebastian Reijnen,"21/7,21/16",Haakon Lærkerød Jelsness,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Rafid Ishaq,,Andreas Holmedal,"21/16,21/16",Rafid Ishaq,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Andreas Holmedal,,Filip Bøhn,"21/12,21/8",Andreas Holmedal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Rafid Ishaq,,Filip Bøhn,"21/9,21/12",Rafid Ishaq,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,David Nguyen,"21/11,21/5",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Aleksander Jakovlevs,,Jonathan Utne Madsøy,"21/16,21/19",Aleksander Jakovlevs,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,David Nguyen,,Jonathan Utne Madsøy,"19/21,21/10,22/20",David Nguyen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,Aleksander Jakovlevs,"21/17,21/4",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Aleksander Jakovlevs,,David Nguyen,"21/9,15/21,21/16",Aleksander Jakovlevs,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,Jonathan Utne Madsøy,"21/6,21/9",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Bjørn Deron,,Peder Pripp,"21/13,16/21,21/18",Bjørn Deron,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vetle Bækkelien,,Peder Pripp,"21/8,21/9",Vetle Bækkelien,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vetle Bækkelien,,Bjørn Deron,"21/7,21/10",Vetle Bækkelien,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Mattis Olsen Berg,"21/6,21/4",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Vemund Hus,"21/13,21/9",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vemund Hus,,Mattis Olsen Berg,"21/7,21/9",Vemund Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Sverre Bergland jr,"21/14,24/22",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Thomas Grüner Fjeldheim,"21/18,21/17",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Petter Tryland Laheld,"17/21,21/17,21/13",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Advait Mital,"21/18,21/10",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Grüner Fjeldheim,,Jens Karlsen,"17/21,21/18,21/13",Thomas Grüner Fjeldheim,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Rafid Ishaq,"21/11,21/15",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Elias Lenning,"21/10,21/8",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Brynjar Hus,"21/14,21/3",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Mattias Mørk,"21/14,22/20",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Grüner Fjeldheim,,Andreas Holmedal,"21/11,21/15",Thomas Grüner Fjeldheim,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Vemund Hus,"21/7,21/8",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Thomas Barth,"21/11,21/9",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Rafid Ishaq,,Theodor Fjelldal,"21/17,21/16",Rafid Ishaq,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,Elias Øyen Selsaas,"21/10,21/11",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Vetle Bækkelien,"21/16,21/19",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Haakon Lærkerød Jelsness,"21/9,21/17",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Andreas Holmedal,,Aleksander Jakovlevs,"21/11,21/8",Andreas Holmedal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vemund Hus,,Bjørn Deron,"21/13,21/16",Vemund Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Barth,,Sturla Mørk,"21/9,21/12",Thomas Barth,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Theodor Fjelldal,,Hans Jørgen Berg,"21/8,21/13",Theodor Fjelldal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Øyen Selsaas,,Sander Bunes Kristensen,"21/13,21/18",Elias Øyen Selsaas,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Thomas Barth,"21/12,21/12",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Barth,,Sander Østhassel,"21/10,21/8",Thomas Barth,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sverre Bergland jr,,Sander Østhassel,"21/8,21/9",Sverre Bergland jr,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Sturla Mørk,,Elias Ausen,"21/15,21/16",Sturla Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Brynjar Hus,,Elias Ausen,"12/21,21/15,21/13",Brynjar Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Brynjar Hus,,Sturla Mørk,"21/13,23/21",Brynjar Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Mattias Mørk,,Leonard Volrath Holmboe,"21/13,21/14",Mattias Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Hans Jørgen Berg,,Zhongyan Yu,"16/21,21/17,21/17",Hans Jørgen Berg,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Leonard Volrath Holmboe,,Zhongyan Yu,"19/21,21/15,21/10",Leonard Volrath Holmboe,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Mattias Mørk,,Hans Jørgen Berg,"21/12,21/9",Mattias Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Hans Jørgen Berg,,Leonard Volrath Holmboe,"16/21,21/17,21/19",Hans Jørgen Berg,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Mattias Mørk,,Zhongyan Yu,"21/14,21/8",Mattias Mørk,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Thomas Grüner Fjeldheim,,Sander Bunes Kristensen,"21/13,21/12",Thomas Grüner Fjeldheim,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Elias Øyen Selsaas,"21/11,21/13",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Hermod Holte Haugland,,Kavin Thas,"21/6,21/4",Hermod Holte Haugland,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Øyen Selsaas,,Kavin Thas,"21/5,21/3",Elias Øyen Selsaas,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Hermod Holte Haugland,"21/18,16/21,21/12",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Øyen Selsaas,,Hermod Holte Haugland,"16/21,21/11,21/15",Elias Øyen Selsaas,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Jens Karlsen,,Kavin Thas,"21/5,21/2",Jens Karlsen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Advait Mital,"21/8,21/19",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Christer Andersen,,Andreas Andersen Roksvåg,"21/18,23/21",Christer Andersen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Andreas Andersen Roksvåg,"21/8,21/8",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Christer Andersen,"21/4,21/11",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Advait Mital,,Christer Andersen,"21/13,19/21,21/11",Advait Mital,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Petter Tryland Laheld,,Andreas Andersen Roksvåg,"21/5,21/7",Petter Tryland Laheld,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Theodor Fjelldal,,Sebastian Reijnen,"21/8,21/9",Theodor Fjelldal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Theodor Fjelldal,,Haakon Lærkerød Jelsness,"21/8,21/6",Theodor Fjelldal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Haakon Lærkerød Jelsness,,Sebastian Reijnen,"21/7,21/16",Haakon Lærkerød Jelsness,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Rafid Ishaq,,Andreas Holmedal,"21/16,21/16",Rafid Ishaq,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Andreas Holmedal,,Filip Bøhn,"21/12,21/8",Andreas Holmedal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Rafid Ishaq,,Filip Bøhn,"21/9,21/12",Rafid Ishaq,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,David Nguyen,"21/11,21/5",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Aleksander Jakovlevs,,Jonathan Utne Madsøy,"21/16,21/19",Aleksander Jakovlevs,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,David Nguyen,,Jonathan Utne Madsøy,"19/21,21/10,22/20",David Nguyen,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,Aleksander Jakovlevs,"21/17,21/4",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Aleksander Jakovlevs,,David Nguyen,"21/9,15/21,21/16",Aleksander Jakovlevs,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Elias Lenning,,Jonathan Utne Madsøy,"21/6,21/9",Elias Lenning,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Bjørn Deron,,Peder Pripp,"21/13,16/21,21/18",Bjørn Deron,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vetle Bækkelien,,Peder Pripp,"21/8,21/9",Vetle Bækkelien,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vetle Bækkelien,,Bjørn Deron,"21/7,21/10",Vetle Bækkelien,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Mattis Olsen Berg,"21/6,21/4",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Kevin Elson,,Vemund Hus,"21/13,21/9",Kevin Elson,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Vemund Hus,,Mattis Olsen Berg,"21/7,21/9",Vemund Hus,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Julie Marie Andersen Abusdal,,Karina Elisabeth Andreassen,"21/11,21/8",Julie Marie Andersen Abusdal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Julie Marie Andersen Abusdal,,Elise Lærkerød Jelsness,"21/19,25/23",Julie Marie Andersen Abusdal,
2017/2018,Haugerud RT 15 + 19,08.09.2017,U15 A,,Karina Elisabeth Andreassen,,Lisa Olsen Berg,"22/20,21/17",Karina Elisabeth Andreassen,
