Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Elias Lenning,"21/14,21/13",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Håvard Soløy,"21/17,21/12",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Kent Roger Sandvær,"21/10,21/11",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Ole Christoffer Olsen,"16/21,21/10,21/6",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kristian Hyllestad,,Ole Christoffer Olsen,"21/12,21/13",Kristian Hyllestad,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Kristian Hyllestad,"21/13,21/9",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kent Roger Sandvær,,Robert Barø,"21/19,26/24",Kent Roger Sandvær,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kristoffer Kielland Rædergård,,Live Hov Grønbech,"21/18,21/13",Kristoffer Kielland Rædergård,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Robert Barø,,Kristoffer Kielland Rædergård,"21/13,21/10",Robert Barø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Robert Barø,,Live Hov Grønbech,"21/16,11/21,21/14",Robert Barø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Live Hov Grønbech,,Kent Roger Sandvær,"21/6,21/9",Live Hov Grønbech,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kent Roger Sandvær,,Kristoffer Kielland Rædergård,"21/16,21/11",Kent Roger Sandvær,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Martin Hyllestad,,Kai Roger Stensen,"20/22,21/16,21/10",Martin Hyllestad,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Alf Erik Pettersen,"21/16,21/14",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Kai Roger Stensen,"21/14,21/13",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kai Roger Stensen,,Alf Erik Pettersen,"21/16,21/15",Kai Roger Stensen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Martin Hyllestad,,Alf Erik Pettersen,"21/15,21/11",Martin Hyllestad,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Martin Hyllestad,"21/13,21/19",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Håvard Soløy,,Isak L. Hasselvold,"21/19,21/16",Håvard Soløy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Isak L. Hasselvold,,Torleiv Hov Grønbech,"21/8,21/1",Isak L. Hasselvold,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Håvard Soløy,,Torleiv Hov Grønbech,"21/10,21/17",Håvard Soløy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Elias Lenning,"21/14,21/13",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Håvard Soløy,"21/17,21/12",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Kent Roger Sandvær,"21/10,21/11",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Ole Christoffer Olsen,"16/21,21/10,21/6",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kristian Hyllestad,,Ole Christoffer Olsen,"21/12,21/13",Kristian Hyllestad,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Iver Aalberg,,Kristian Hyllestad,"21/13,21/9",Iver Aalberg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kent Roger Sandvær,,Robert Barø,"21/19,26/24",Kent Roger Sandvær,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kristoffer Kielland Rædergård,,Live Hov Grønbech,"21/18,21/13",Kristoffer Kielland Rædergård,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Robert Barø,,Kristoffer Kielland Rædergård,"21/13,21/10",Robert Barø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Robert Barø,,Live Hov Grønbech,"21/16,11/21,21/14",Robert Barø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Live Hov Grønbech,,Kent Roger Sandvær,"21/6,21/9",Live Hov Grønbech,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kent Roger Sandvær,,Kristoffer Kielland Rædergård,"21/16,21/11",Kent Roger Sandvær,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Martin Hyllestad,,Kai Roger Stensen,"20/22,21/16,21/10",Martin Hyllestad,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Alf Erik Pettersen,"21/16,21/14",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Kai Roger Stensen,"21/14,21/13",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Kai Roger Stensen,,Alf Erik Pettersen,"21/16,21/15",Kai Roger Stensen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Martin Hyllestad,,Alf Erik Pettersen,"21/15,21/11",Martin Hyllestad,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Elias Lenning,,Martin Hyllestad,"21/13,21/19",Elias Lenning,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Håvard Soløy,,Isak L. Hasselvold,"21/19,21/16",Håvard Soløy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Isak L. Hasselvold,,Torleiv Hov Grønbech,"21/8,21/1",Isak L. Hasselvold,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Håvard Soløy,,Torleiv Hov Grønbech,"21/10,21/17",Håvard Soløy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Ingvild Håland,,Frida Prestø,"21/16,21/16",Ingvild Håland,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Louise Prestø,,kristiane lenning,"21/14,21/17",Louise Prestø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Frida Prestø,,kristiane lenning,"21/17,21/13",Frida Prestø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Louise Prestø,,Anne Berit Iversen,"21/15,21/12",Louise Prestø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Ingvild Håland,,kristiane lenning,"21/17,21/10",Ingvild Håland,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Frida Prestø,,Louise Prestø,"16/21,23/21,21/12",Frida Prestø,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Anne Berit Iversen,,Ingvild Håland,"21/18,14/21,21/10",Anne Berit Iversen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Ingvild Håland,,Louise Prestø,"15/21,21/12,21/15",Ingvild Håland,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Anne Berit Iversen,,kristiane lenning,"21/17,21/18",Anne Berit Iversen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,,Anne Berit Iversen,,Frida Prestø,"8/21,21/16,21/14",Anne Berit Iversen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Isak L. Hasselvold,Iver Aalberg,Kent Roger Sandvær,Trond Mære,"17/21,21/19,21/13",Isak L. Hasselvold,Iver Aalberg
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Kent Roger Sandvær,Trond Mære,Kristoffer Kielland Rædergård,Kai Roger Stensen,"21/9,21/6",Kent Roger Sandvær,Trond Mære
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Isak L. Hasselvold,Iver Aalberg,Elias Lenning,Robert Barø,"21/12,21/15",Isak L. Hasselvold,Iver Aalberg
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Kent Roger Sandvær,Trond Mære,Kristian Hyllestad,Martin Hyllestad,"22/20,21/19",Kent Roger Sandvær,Trond Mære
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Kristoffer Kielland Rædergård,Kai Roger Stensen,Erik Måøy,Adrian Olsen-Loe Pedersen,"21/14,15/21,21/16",Kristoffer Kielland Rædergård,Kai Roger Stensen
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Isak L. Hasselvold,Iver Aalberg,Tore Hansen,Håvard Soløy,"21/9,21/15",Isak L. Hasselvold,Iver Aalberg
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Elias Lenning,Robert Barø,Jørgen Olsen,Andreas Futaker,"21/13,21/11",Elias Lenning,Robert Barø
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Kristoffer Kielland Rædergård,Kai Roger Stensen,Ole Christoffer Olsen,Espen Bakkelid,"21/13,21/13",Kristoffer Kielland Rædergård,Kai Roger Stensen
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Ingvild Håland,Live Hov Grønbech,Hildegunn Måøy,Anita Olsen,"21/11,21/17",Ingvild Håland,Live Hov Grønbech
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Ingvild Håland,Live Hov Grønbech,Anne Berit Iversen,kristiane lenning,"21/8,21/17",Ingvild Håland,Live Hov Grønbech
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN A,Hildegunn Måøy,Anita Olsen,Louise Prestø,Frida Prestø,"21/17,21/19",Hildegunn Måøy,Anita Olsen
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Adrian Olsen-Loe Pedersen,"21/18,21/13",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Espen Bakkelid,,Tore Hansen,"21/19,15/21,21/16",Espen Bakkelid,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Adrian Olsen-Loe Pedersen,,Espen Bakkelid,"21/14,21/18",Adrian Olsen-Loe Pedersen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Adrian Olsen-Loe Pedersen,,Tore Hansen,"21/15,21/17",Adrian Olsen-Loe Pedersen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Erik Måøy,,Andreas Futaker,"21/8,21/19",Erik Måøy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Børge Håland,"21/19,21/16",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Andreas Futaker,"21/9,21/19",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Erik Måøy,,Børge Håland,"21/10,21/12",Erik Måøy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Erik Måøy,"17/21,21/12,21/12",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Børge Håland,,Andreas Futaker,"21/13,22/20",Børge Håland,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Adrian Olsen-Loe Pedersen,"21/18,21/13",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Espen Bakkelid,,Tore Hansen,"21/19,15/21,21/16",Espen Bakkelid,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Adrian Olsen-Loe Pedersen,,Espen Bakkelid,"21/14,21/18",Adrian Olsen-Loe Pedersen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Adrian Olsen-Loe Pedersen,,Tore Hansen,"21/15,21/17",Adrian Olsen-Loe Pedersen,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Erik Måøy,,Andreas Futaker,"21/8,21/19",Erik Måøy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Børge Håland,"21/19,21/16",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Andreas Futaker,"21/9,21/19",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Erik Måøy,,Børge Håland,"21/10,21/12",Erik Måøy,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Benjamin Rølvåg,,Erik Måøy,"17/21,21/12,21/12",Benjamin Rølvåg,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Børge Håland,,Andreas Futaker,"21/13,22/20",Børge Håland,
2017/2018,Herøy Marine Harvest Cup ,27.04.2018,SEN B,,Helene Winger,,Lotte Moe,"25/23,21/11",Helene Winger,
