Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Thomas Christian Malm,"21/16,21/13",Carlo Alonzo Agustin,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Trond Atle Syvertsen,"21/9,21/15",Carlo Alonzo Agustin,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Thomas Christian Malm,,Joachim Røynås,"21/17,21/18",Thomas Christian Malm,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Thomas Christian Malm,,Joakim Harring,"21/14,15/21,21/14",Thomas Christian Malm,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Thomas Christian Malm,"21/17,21/14",Carlo Alonzo Agustin,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Joakim Harring,"21/11,21/12",Carlo Alonzo Agustin,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Joachim Røynås,,Eirik Sørstrand,"21/14,21/19",Joachim Røynås,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Trond Atle Syvertsen,,Eirik Sørstrand,"18/21,21/15,21/19",Trond Atle Syvertsen,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Joachim Røynås,,Trond Atle Syvertsen,"21/9,21/19",Joachim Røynås,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Thomas Christian Malm,"21/16,21/13",Carlo Alonzo Agustin,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Trond Atle Syvertsen,"21/9,21/15",Carlo Alonzo Agustin,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Thomas Christian Malm,,Joachim Røynås,"21/17,21/18",Thomas Christian Malm,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Thomas Christian Malm,,Joakim Harring,"21/14,15/21,21/14",Thomas Christian Malm,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Thomas Christian Malm,"21/17,21/14",Carlo Alonzo Agustin,
2019/2020,Imås IL Sparebanken Sør Cup 2020,08.02.2020,SEN A,,Carlo Alonzo Agustin,,Joakim Harring,"21/11,21/12",Carlo Alonzo Agustin,
