Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Gonçalo Ribeiro,"21/15,18/21,21/12",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Toby Clifford,"21/10,21/14",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Gonçalo Ribeiro,,Andreas Stenhaug,"21/18,21/15",Gonçalo Ribeiro,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Ørjan Emil Strand,"21/8,21/9",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Toby Clifford,,Anders Haugland,"24/22,21/18",Toby Clifford,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Andreas Stenhaug,,Iver Rolvsjord,"13/21,21/15,21/18",Andreas Stenhaug,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Gonçalo Ribeiro,,Glen Oumellal,"21/11,21/13",Gonçalo Ribeiro,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Robert Sulebakk,"21/10,21/11",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Ørjan Emil Strand,,Gard Vik Langhammer,"21/19,19/21,21/17",Ørjan Emil Strand,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Anders Haugland,,Fredrik Lian,"21/17,21/17",Anders Haugland,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Toby Clifford,,Kristoffer Kielland Rædergård,"21/7,21/15",Toby Clifford,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Andreas Stenhaug,,Christian Asbjørnsen,"22/24,21/17,20/10",Andreas Stenhaug,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Iver Rolvsjord,,Øyvind W. Selboe,"21/17,21/15",Iver Rolvsjord,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Glen Oumellal,,Tor Stenvaag,"21/9,21/12",Glen Oumellal,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Gonçalo Ribeiro,,Oliver George Creese,"21/11,21/18",Gonçalo Ribeiro,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Toby Clifford,,Knut Hermann Stenvaag,"26/24,21/13",Toby Clifford,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Christian Asbjørnsen,,Ole Christoffer Olsen,"21/14,21/5",Christian Asbjørnsen,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Gonçalo Ribeiro,"21/15,18/21,21/12",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Toby Clifford,"21/10,21/14",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Gonçalo Ribeiro,,Andreas Stenhaug,"21/18,21/15",Gonçalo Ribeiro,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Ørjan Emil Strand,"21/8,21/9",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Toby Clifford,,Anders Haugland,"24/22,21/18",Toby Clifford,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Andreas Stenhaug,,Iver Rolvsjord,"13/21,21/15,21/18",Andreas Stenhaug,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Gonçalo Ribeiro,,Glen Oumellal,"21/11,21/13",Gonçalo Ribeiro,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Boyan Yu,,Robert Sulebakk,"21/10,21/11",Boyan Yu,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Ørjan Emil Strand,,Gard Vik Langhammer,"21/19,19/21,21/17",Ørjan Emil Strand,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Anders Haugland,,Fredrik Lian,"21/17,21/17",Anders Haugland,
2022/2023,Norborg KM Midtnorsk Badmintonkrets Sør / Norborg Open,21.01.2023,SEN A,,Toby Clifford,,Kristoffer Kielland Rædergård,"21/7,21/15",Toby Clifford,
