Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Lars Valentin,"21/9,21/7",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Lars Valentin,,Fredrik Lian,"19/21,21/16,21/19",Lars Valentin,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Christian Asbjørnsen,"21/11,21/17",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Fredrik Lian,,Christian Asbjørnsen,"21/12,21/17",Fredrik Lian,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Christian Asbjørnsen,,Peter Lid Midtgård,"21/9,21/2",Christian Asbjørnsen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Fredrik Lian,,Peter Lid Midtgård,"21/13,21/6",Fredrik Lian,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Noralf Gamlem,"21/6,21/6",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Lars Valentin,,Rune Enoksen,"21/13,21/16",Lars Valentin,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Lars Valentin,,Noralf Gamlem,"21/16,21/18",Lars Valentin,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Rune Enoksen,"21/12,21/13",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Noralf Gamlem,,Rune Enoksen,"21/14,21/9",Noralf Gamlem,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Lars Valentin,"21/13,21/18",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Lars Valentin,"21/9,21/7",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Lars Valentin,,Fredrik Lian,"19/21,21/16,21/19",Lars Valentin,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Christian Asbjørnsen,"21/11,21/17",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Fredrik Lian,,Christian Asbjørnsen,"21/12,21/17",Fredrik Lian,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Christian Asbjørnsen,,Peter Lid Midtgård,"21/9,21/2",Christian Asbjørnsen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Fredrik Lian,,Peter Lid Midtgård,"21/13,21/6",Fredrik Lian,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Noralf Gamlem,"21/6,21/6",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Lars Valentin,,Rune Enoksen,"21/13,21/16",Lars Valentin,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Lars Valentin,,Noralf Gamlem,"21/16,21/18",Lars Valentin,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Rune Enoksen,"21/12,21/13",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Noralf Gamlem,,Rune Enoksen,"21/14,21/9",Noralf Gamlem,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Thomas Pedersen,,Lars Valentin,"21/13,21/18",Thomas Pedersen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Trine Sperre,,Gunn Fiskergaard,"21/18,23/21",Trine Sperre,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Gunn Fiskergaard,,Emma Søvik,"21/13,21/11",Gunn Fiskergaard,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Gunn Fiskergaard,,Tora Vik Langhammer,"21/14,21/13",Gunn Fiskergaard,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Tora Vik Langhammer,,Emma Søvik,"21/13,21/12",Tora Vik Langhammer,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Trine Sperre,,Tuva Bjørbekk,"21/12,21/5",Trine Sperre,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Trine Sperre,,Ingrid Stene Olsen,"21/14,21/10",Trine Sperre,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,,Ingrid Stene Olsen,,Tuva Bjørbekk,"22/20,22/20",Ingrid Stene Olsen,
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Rune Enoksen,Fredrik Lian,Thomas Pedersen,Lars Valentin,"11/21,21/18,23/21",Rune Enoksen,Fredrik Lian
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Thomas Pedersen,Lars Valentin,Per Gunnar Søvik,Tor Stenvaag,"21/18,21/11",Thomas Pedersen,Lars Valentin
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Thomas Pedersen,Lars Valentin,Noralf Gamlem,Per Ivar Furholm,"20/22,21/17,21/15",Thomas Pedersen,Lars Valentin
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Noralf Gamlem,Per Ivar Furholm,Per Gunnar Søvik,Tor Stenvaag,"21/13,21/10",Noralf Gamlem,Per Ivar Furholm
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Rune Enoksen,Fredrik Lian,Andre Korsgaten,Peter Lid Midtgård,"21/16,21/10",Rune Enoksen,Fredrik Lian
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Rune Enoksen,Fredrik Lian,Tora Vik Langhammer,Christian Asbjørnsen,"21/14,22/24,21/12",Rune Enoksen,Fredrik Lian
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Tora Vik Langhammer,Christian Asbjørnsen,Andre Korsgaten,Peter Lid Midtgård,"18/21,21/16,21/14",Tora Vik Langhammer,Christian Asbjørnsen
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Gunn Fiskergaard,Trine Sperre,Moana Vadseth Furholm,Eira Vik Langhammer,"21/11,21/13",Gunn Fiskergaard,Trine Sperre
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Gunn Fiskergaard,Trine Sperre,Randi Ulla Nogva,Tuva Bjørbekk,"21/15,21/15",Gunn Fiskergaard,Trine Sperre
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Ingrid Stene Olsen,Emma Søvik,Moana Vadseth Furholm,Eira Vik Langhammer,"21/16,21/17",Ingrid Stene Olsen,Emma Søvik
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Gunn Fiskergaard,Trine Sperre,Ingrid Stene Olsen,Emma Søvik,"21/15,21/15",Gunn Fiskergaard,Trine Sperre
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Randi Ulla Nogva,Tuva Bjørbekk,Moana Vadseth Furholm,Eira Vik Langhammer,"21/15,21/19",Randi Ulla Nogva,Tuva Bjørbekk
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Elisabeth Vatnehol Straumsheim,Elisabeth Hjellegjerde Skog,Moana Vadseth Furholm,Eira Vik Langhammer,"21/8,21/9",Elisabeth Vatnehol Straumsheim,Elisabeth Hjellegjerde Skog
2017/2018,Norborg Sparebanken Møre Cup,11.11.2017,SEN A,Ingrid Stene Olsen,Emma Søvik,Randi Ulla Nogva,Tuva Bjørbekk,"21/15,21/15",Ingrid Stene Olsen,Emma Søvik
