Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Elias Lenning,"21/11,21/12",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Elias Lenning,,Kent Roger Sandvær,"8/21,21/6,21/18",Elias Lenning,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Fredrik Lian,,Jonas J Grande,"21/17,21/16",Fredrik Lian,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Martin Hyllestad,"21/11,21/12",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Jonas J Grande,,Martin Hyllestad,"15/21,21/18,21/13",Jonas J Grande,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Fredrik Lian,"21/13,21/12",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Jonas J Grande,"21/19,21/4",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Fredrik Lian,,Martin Hyllestad,"26/24,21/19",Fredrik Lian,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Isak L. Hasselvold,,Kristian Hyllestad,"21/16,21/18",Isak L. Hasselvold,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Elias Lenning,,Robin Kruksve Krux,"21/14,21/10",Elias Lenning,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Robin Kruksve Krux,,Kristian Hyllestad,"25/23,21/13",Robin Kruksve Krux,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Elias Lenning,,Isak L. Hasselvold,"21/14,21/23,21/17",Elias Lenning,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Elias Lenning,,Kristian Hyllestad,"21/17,21/9",Elias Lenning,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Robin Kruksve Krux,,Isak L. Hasselvold,"21/18,21/14",Robin Kruksve Krux,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Iver Aalberg,,Fredrik Skånøy,"21/16,21/18",Iver Aalberg,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Robert Barø,,Kent Roger Sandvær,"21/17,21/10",Robert Barø,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Kent Roger Sandvær,,Iver Aalberg,"15/21,21/16,21/19",Kent Roger Sandvær,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Fredrik Skånøy,,Robert Barø,"21/17,16/21,21/17",Fredrik Skånøy,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Iver Aalberg,,Robert Barø,"21/9,21/13",Iver Aalberg,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Kent Roger Sandvær,,Fredrik Skånøy,"21/19,21/17",Kent Roger Sandvær,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Elias Lenning,"21/11,21/12",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Elias Lenning,,Kent Roger Sandvær,"8/21,21/6,21/18",Elias Lenning,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Fredrik Lian,,Jonas J Grande,"21/17,21/16",Fredrik Lian,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Martin Hyllestad,"21/11,21/12",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Jonas J Grande,,Martin Hyllestad,"15/21,21/18,21/13",Jonas J Grande,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Fredrik Lian,"21/13,21/12",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Danila Gataullin,,Jonas J Grande,"21/19,21/4",Danila Gataullin,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Fredrik Lian,,Martin Hyllestad,"26/24,21/19",Fredrik Lian,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Isak L. Hasselvold,,Kristian Hyllestad,"21/16,21/18",Isak L. Hasselvold,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Elias Lenning,,Robin Kruksve Krux,"21/14,21/10",Elias Lenning,
2017/2018,Rissa Clearcup ,30.09.2017,SEN A,,Robin Kruksve Krux,,Kristian Hyllestad,"25/23,21/13",Robin Kruksve Krux,
