Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Dennis Andersen Moe,"21/11,21/15",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Dennis Andersen Moe,,Michael White,"18/21,21/12,21/15",Dennis Andersen Moe,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Anders Haugland,,Audun Christoffer Adolfson,"21/13,21/12",Anders Haugland,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Anders Langeland,"17/21,21/17,21/10",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Anders Langeland,,Audun Christoffer Adolfson,"21/17,21/13",Anders Langeland,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Anders Haugland,"21/19,16/21,21/15",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Audun Christoffer Adolfson,"21/18,21/16",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Anders Langeland,,Anders Haugland,"21/12,21/12",Anders Langeland,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Dennis Andersen Moe,,Sondre Frøyland,"18/21,21/16,21/8",Dennis Andersen Moe,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Dennis Andersen Moe,,Kjetil Ragde,"21/18,21/17",Dennis Andersen Moe,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Kjetil Ragde,,Sondre Frøyland,"21/14,21/17",Kjetil Ragde,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Elias Øyen Selsaas,,Heine Økland Kolltveit,"23/21,21/19",Elias Øyen Selsaas,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Michael White,,Elias Øyen Selsaas,"21/10,16/21,21/12",Michael White,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Michael White,,Heine Økland Kolltveit,"21/14,21/13",Michael White,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Dennis Andersen Moe,"21/11,21/15",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Dennis Andersen Moe,,Michael White,"18/21,21/12,21/15",Dennis Andersen Moe,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Anders Haugland,,Audun Christoffer Adolfson,"21/13,21/12",Anders Haugland,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Anders Langeland,"17/21,21/17,21/10",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Anders Langeland,,Audun Christoffer Adolfson,"21/17,21/13",Anders Langeland,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Anders Haugland,"21/19,16/21,21/15",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Erlend Engesæter Bognøy,,Audun Christoffer Adolfson,"21/18,21/16",Erlend Engesæter Bognøy,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Anders Langeland,,Anders Haugland,"21/12,21/12",Anders Langeland,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Dennis Andersen Moe,,Sondre Frøyland,"18/21,21/16,21/8",Dennis Andersen Moe,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Dennis Andersen Moe,,Kjetil Ragde,"21/18,21/17",Dennis Andersen Moe,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Kjetil Ragde,,Sondre Frøyland,"21/14,21/17",Kjetil Ragde,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Elias Øyen Selsaas,,Heine Økland Kolltveit,"23/21,21/19",Elias Øyen Selsaas,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Michael White,,Elias Øyen Selsaas,"21/10,16/21,21/12",Michael White,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,,Michael White,,Heine Økland Kolltveit,"21/14,21/13",Michael White,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,Heine Økland Kolltveit,Erlend Engesæter Bognøy,Audun Christoffer Adolfson,Dennis Andersen Moe,"21/11,21/13",Heine Økland Kolltveit,Erlend Engesæter Bognøy
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,Sondre Frøyland,Anders Haugland,Michael White,Benjamin Teigland,"21/12,21/14",Sondre Frøyland,Anders Haugland
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,Heine Økland Kolltveit,Erlend Engesæter Bognøy,Michael White,Benjamin Teigland,"21/13,21/12",Heine Økland Kolltveit,Erlend Engesæter Bognøy
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,Heine Økland Kolltveit,Erlend Engesæter Bognøy,Sondre Frøyland,Anders Haugland,"21/13,21/11",Heine Økland Kolltveit,Erlend Engesæter Bognøy
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,Simen Mjelva,Aleksej Roman Kustrin Iversen,Kjetil Ragde,Magnar H. Olsen,"21/12,21/12",Simen Mjelva,Aleksej Roman Kustrin Iversen
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,Audun Christoffer Adolfson,Dennis Andersen Moe,Kjetil Ragde,Magnar H. Olsen,"21/14,25/23",Audun Christoffer Adolfson,Dennis Andersen Moe
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN A,Audun Christoffer Adolfson,Dennis Andersen Moe,Simen Mjelva,Aleksej Roman Kustrin Iversen,"21/8,21/13",Audun Christoffer Adolfson,Dennis Andersen Moe
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN B,,Aleksej Roman Kustrin Iversen,,Dan Frøyd,"21/13,21/13",Aleksej Roman Kustrin Iversen,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN B,,Aleksej Roman Kustrin Iversen,,Torstein Vikse Olsen,"21/11,21/11",Aleksej Roman Kustrin Iversen,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN B,,Aleksej Roman Kustrin Iversen,,Benjamin Teigland,"21/14,21/19",Aleksej Roman Kustrin Iversen,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN B,,Benjamin Teigland,,Torstein Vikse Olsen,"21/16,15/21,21/15",Benjamin Teigland,
2017/2018,Rubbestadneset Bømlo Wärtsilä Open Cup,24.03.2018,SEN B,,Dan Frøyd,,Per Inge Notland,"21/8,21/16",Dan Frøyd,
