Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Sindre Gjuvsland,,Ole Kristian Lie,"13/21,21/13,22/20",Sindre Gjuvsland,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Sindre Gjuvsland,,Andreas Deinboll,"21/14,21/13",Sindre Gjuvsland,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Andreas Deinboll,,Simon Andrés Vasquez Frisnes,"21/19,26/24",Andreas Deinboll,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Sindre Gjuvsland,,Simon Andrés Vasquez Frisnes,"21/12,21/13",Sindre Gjuvsland,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Vera Botcharova Ellingsen,,Ingrid Teistung,"21/19,21/19",Vera Botcharova Ellingsen,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Ole Kristian Lie,,Martin Brekke Hjellestad,"21/14,21/14",Ole Kristian Lie,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Ole Kristian Lie,,Ingrid Teistung,"21/16,21/17",Ole Kristian Lie,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Vera Botcharova Ellingsen,,Martin Brekke Hjellestad,"21/14,21/7",Vera Botcharova Ellingsen,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Ingrid Teistung,,Martin Brekke Hjellestad,"21/16,21/10",Ingrid Teistung,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Ole Kristian Lie,,Vera Botcharova Ellingsen,"21/14,21/15",Ole Kristian Lie,
2023/2024,Stanghelle IL Kraftsmashen,30.09.2023,SEN A,,Sindre Gjuvsland,,Ole Kristian Lie,"13/21,21/13,22/20",Sindre Gjuvsland,
