Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Jan Frode Neverdal,,Eirik Paulsen,"12/21,21/13,21/18",Jan Frode Neverdal,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Jan Frode Neverdal,,Terje Jacobsen,"21/13,21/12",Jan Frode Neverdal,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Eirik Paulsen,,Gjermund Hagen,"21/17,21/13",Eirik Paulsen,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Jan Frode Neverdal,,Andreas Stenhaug,"21/14,21/3",Jan Frode Neverdal,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Gjermund Hagen,,Jiawen Shi,"21/18,18/21,21/15",Gjermund Hagen,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Andreas Stenhaug,,Jiawen Shi,"21/13,21/8",Andreas Stenhaug,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Jan Frode Neverdal,,Jiawen Shi,"21/6,21/13",Jan Frode Neverdal,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Jan Frode Neverdal,,Gjermund Hagen,"21/19,22/20",Jan Frode Neverdal,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Gjermund Hagen,,Andreas Stenhaug,"21/10,19/21,21/10",Gjermund Hagen,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Eirik Paulsen,,Terje Jacobsen,"21/9,21/9",Eirik Paulsen,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Eirik Paulsen,,Randi Selle,"21/11,21/13",Eirik Paulsen,
2014/2015,Stavanger Vårblomsten 2015,25.04.2015,SEN A,,Terje Jacobsen,,Randi Selle,"21/18,21/18",Terje Jacobsen,
