Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Jørgen Rosenlund,"23/21,21/19",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Jørgen Rosenlund,,Hans Andreas Karlsen,"17/21,21/13,21/19",Jørgen Rosenlund,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Magnus Knapperholen,"21/7,21/16",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Magnus Knapperholen,,Terje Jacobsen,"14/21,21/18,21/17",Magnus Knapperholen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Halldór Reynisson,,Tarjei Bruaas,"21/13,21/11",Halldór Reynisson,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Jørgen Rosenlund,,Tarjei Bruaas,"21/7,21/10",Jørgen Rosenlund,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Jørgen Rosenlund,,Halldór Reynisson,"21/6,21/7",Jørgen Rosenlund,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Aleksander  Røeggen Johansen,,Kristian Løe,"21/16,21/11",Aleksander  Røeggen Johansen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Hans Andreas Karlsen,,Vegar Næss,"21/13,21/14",Hans Andreas Karlsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Hans Andreas Karlsen,,Aleksander  Røeggen Johansen,"21/13,21/7",Hans Andreas Karlsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Vegar Næss,,Kristian Løe,"21/18,21/11",Vegar Næss,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Hans Andreas Karlsen,,Kristian Løe,"21/15,21/14",Hans Andreas Karlsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Aleksander  Røeggen Johansen,,Vegar Næss,"21/9,21/14",Aleksander  Røeggen Johansen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Gintars Rundelis,,Pankaj Bhart,"21/15,21/7",Gintars Rundelis,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Terje Jacobsen,,Gintars Rundelis,"21/15,21/18",Terje Jacobsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Terje Jacobsen,,Pankaj Bhart,"21/13,21/10",Terje Jacobsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Magnus Knapperholen,,Tore Nilsen,"23/21,18/21,24/22",Magnus Knapperholen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Tore Nilsen,,Niclas Thörn,"21/8,21/14",Tore Nilsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Magnus Knapperholen,,Niclas Thörn,"21/14,21/17",Magnus Knapperholen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Anders Lindberg,,Simen  Kokkvoll,"21/11,16/21,21/13",Anders Lindberg,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Torstein Monsen,"21/9,21/10",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Torstein Monsen,,Anders Lindberg,"21/15,21/17",Torstein Monsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Simen  Kokkvoll,,Torstein Monsen,"21/16,21/18",Simen  Kokkvoll,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Simen  Kokkvoll,"21/18,21/11",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Anders Lindberg,"21/12,21/6",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Jørgen Rosenlund,"23/21,21/19",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Jørgen Rosenlund,,Hans Andreas Karlsen,"17/21,21/13,21/19",Jørgen Rosenlund,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Magnus Knapperholen,"21/7,21/16",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Magnus Knapperholen,,Terje Jacobsen,"14/21,21/18,21/17",Magnus Knapperholen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Halldór Reynisson,,Tarjei Bruaas,"21/13,21/11",Halldór Reynisson,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Jørgen Rosenlund,,Tarjei Bruaas,"21/7,21/10",Jørgen Rosenlund,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Jørgen Rosenlund,,Halldór Reynisson,"21/6,21/7",Jørgen Rosenlund,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Aleksander  Røeggen Johansen,,Kristian Løe,"21/16,21/11",Aleksander  Røeggen Johansen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Hans Andreas Karlsen,,Vegar Næss,"21/13,21/14",Hans Andreas Karlsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Hans Andreas Karlsen,,Aleksander  Røeggen Johansen,"21/13,21/7",Hans Andreas Karlsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Vegar Næss,,Kristian Løe,"21/18,21/11",Vegar Næss,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Hans Andreas Karlsen,,Kristian Løe,"21/15,21/14",Hans Andreas Karlsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Aleksander  Røeggen Johansen,,Vegar Næss,"21/9,21/14",Aleksander  Røeggen Johansen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Gintars Rundelis,,Pankaj Bhart,"21/15,21/7",Gintars Rundelis,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Terje Jacobsen,,Gintars Rundelis,"21/15,21/18",Terje Jacobsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Terje Jacobsen,,Pankaj Bhart,"21/13,21/10",Terje Jacobsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Magnus Knapperholen,,Tore Nilsen,"23/21,18/21,24/22",Magnus Knapperholen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Tore Nilsen,,Niclas Thörn,"21/8,21/14",Tore Nilsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Magnus Knapperholen,,Niclas Thörn,"21/14,21/17",Magnus Knapperholen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Anders Lindberg,,Simen  Kokkvoll,"21/11,16/21,21/13",Anders Lindberg,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Torstein Monsen,"21/9,21/10",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Torstein Monsen,,Anders Lindberg,"21/15,21/17",Torstein Monsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Simen  Kokkvoll,,Torstein Monsen,"21/16,21/18",Simen  Kokkvoll,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Simen  Kokkvoll,"21/18,21/11",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN E,,Lasse Nyheim,,Anders Lindberg,"21/12,21/6",Lasse Nyheim,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Henriette  Ellingsen,,Louise Prestø,"22/20,21/8",Henriette  Ellingsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Eeke Nijdam,,Mari Chiba,"16/21,21/13,21/19",Eeke Nijdam,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Henriette  Ellingsen,,Mari Chiba,"21/2,21/14",Henriette  Ellingsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Henriette  Ellingsen,,Eeke Nijdam,"21/7,21/9",Henriette  Ellingsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Louise Prestø,,Renate Haug Lien,"21/13,21/15",Louise Prestø,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Louise Prestø,,Linn Hepsøe,"16/21,21/11,21/17",Louise Prestø,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Linn Hepsøe,,Renate Haug Lien,"21/13,21/18",Linn Hepsøe,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Henriette  Ellingsen,,Louise Prestø,"22/20,21/8",Henriette  Ellingsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Eeke Nijdam,,Mari Chiba,"16/21,21/13,21/19",Eeke Nijdam,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Henriette  Ellingsen,,Mari Chiba,"21/2,21/14",Henriette  Ellingsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Henriette  Ellingsen,,Eeke Nijdam,"21/7,21/9",Henriette  Ellingsen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Louise Prestø,,Renate Haug Lien,"21/13,21/15",Louise Prestø,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Louise Prestø,,Linn Hepsøe,"16/21,21/11,21/17",Louise Prestø,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,,Linn Hepsøe,,Renate Haug Lien,"21/13,21/18",Linn Hepsøe,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Hans Andreas Karlsen,Lasse Nyheim,Aleksander  Røeggen Johansen,Simen  Kokkvoll,"21/12,21/9",Hans Andreas Karlsen,Lasse Nyheim
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Aleksander  Røeggen Johansen,Simen  Kokkvoll,Terje Jacobsen,Kristian Hyllestad,"21/11,21/13",Aleksander  Røeggen Johansen,Simen  Kokkvoll
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Hans Andreas Karlsen,Lasse Nyheim,Magnus Knapperholen,Halldór Reynisson,"21/15,21/11",Hans Andreas Karlsen,Lasse Nyheim
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Aleksander  Røeggen Johansen,Simen  Kokkvoll,Magnus Knapperholen,Halldór Reynisson,"21/14,21/12",Aleksander  Røeggen Johansen,Simen  Kokkvoll
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Hans Andreas Karlsen,Lasse Nyheim,Terje Jacobsen,Kristian Hyllestad,"23/21,21/5",Hans Andreas Karlsen,Lasse Nyheim
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Hans Andreas Karlsen,Lasse Nyheim,Pankaj Bhart,Torstein Monsen,"21/6,21/9",Hans Andreas Karlsen,Lasse Nyheim
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Hans Andreas Karlsen,Lasse Nyheim,Vegar Næss,Tore Nilsen,"21/11,21/9",Hans Andreas Karlsen,Lasse Nyheim
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Vegar Næss,Tore Nilsen,Pankaj Bhart,Torstein Monsen,"21/6,21/10",Vegar Næss,Tore Nilsen
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Magnus Knapperholen,Halldór Reynisson,Terje Jacobsen,Kristian Hyllestad,"21/17,21/14",Magnus Knapperholen,Halldór Reynisson
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Pankaj Bhart,Torstein Monsen,Geir Bjørsvik,Kent Nyheim,"18/21,21/12,21/17",Pankaj Bhart,Torstein Monsen
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Kristian Løe,Adrian Olsen-Loe Pedersen,Geir Bjørsvik,Kent Nyheim,"23/21,21/16",Kristian Løe,Adrian Olsen-Loe Pedersen
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Pankaj Bhart,Torstein Monsen,Kristian Løe,Adrian Olsen-Loe Pedersen,"21/10,21/16",Pankaj Bhart,Torstein Monsen
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Tommy Pettersson,Anders Lindberg,Ørjan Emil Strand,Simen Eggøy Olson,"21/9,21/18",Tommy Pettersson,Anders Lindberg
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Vegar Næss,Tore Nilsen,Tommy Pettersson,Anders Lindberg,"20/22,21/15,21/10",Vegar Næss,Tore Nilsen
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Vegar Næss,Tore Nilsen,Ørjan Emil Strand,Simen Eggøy Olson,"21/14,21/18",Vegar Næss,Tore Nilsen
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Henriette  Ellingsen,Eva Forsaa Åbotsvik,Eeke Nijdam,Louise Prestø,"21/16,21/14",Henriette  Ellingsen,Eva Forsaa Åbotsvik
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Eeke Nijdam,Louise Prestø,Rikke Nyheim,Linn Hepsøe,"21/17,18/21,26/24",Eeke Nijdam,Louise Prestø
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Anja Olsen,Lisa Olsen Berg,Anja Niemi,Mari Hildung,"21/16,21/13",Anja Olsen,Lisa Olsen Berg
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Anja Olsen,Lisa Olsen Berg,Eeke Nijdam,Louise Prestø,"21/17,21/19",Anja Olsen,Lisa Olsen Berg
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Henriette  Ellingsen,Eva Forsaa Åbotsvik,Rikke Nyheim,Linn Hepsøe,"21/11,21/15",Henriette  Ellingsen,Eva Forsaa Åbotsvik
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Rikke Nyheim,Linn Hepsøe,Anja Niemi,Mari Hildung,"21/18,21/14",Rikke Nyheim,Linn Hepsøe
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Henriette  Ellingsen,Eva Forsaa Åbotsvik,Anja Olsen,Lisa Olsen Berg,"21/9,21/17",Henriette  Ellingsen,Eva Forsaa Åbotsvik
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Anja Niemi,Mari Hildung,Eeke Nijdam,Louise Prestø,"21/14,21/10",Anja Niemi,Mari Hildung
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Anja Olsen,Lisa Olsen Berg,Rikke Nyheim,Linn Hepsøe,"21/12,21/10",Anja Olsen,Lisa Olsen Berg
2019/2020,Tromsø Arctic Open,07.02.2020,SEN A,Henriette  Ellingsen,Eva Forsaa Åbotsvik,Anja Niemi,Mari Hildung,"21/6,21/10",Henriette  Ellingsen,Eva Forsaa Åbotsvik
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Kristian Hyllestad,"21/19,21/7",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Ørjan Emil Strand,"21/9,21/18",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kristian Hyllestad,,Sunil V,"21/15,16/21,21/19",Kristian Hyllestad,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Simen Eggøy Olson,"18/21,23/21,22/20",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Geir Bjørsvik,"21/16,21/18",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Simen Eggøy Olson,,Geir Bjørsvik,"21/12,21/17",Simen Eggøy Olson,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Ørjan Emil Strand,,Sverre  Bergheim,"21/14,22/20",Ørjan Emil Strand,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Håvard Zachariassen,,Sverre  Bergheim,"21/15,21/18",Håvard Zachariassen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Ørjan Emil Strand,,Håvard Zachariassen,"21/12,21/14",Ørjan Emil Strand,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kristian Hyllestad,,Vegard Bjørstad,"21/11,21/16",Kristian Hyllestad,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Sunil V,,Adrian Olsen-Loe Pedersen,"21/18,19/21,21/17",Sunil V,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Sunil V,,Sondre Sefland,"21/15,19/21,21/16",Sunil V,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Adrian Olsen-Loe Pedersen,,Sondre Sefland,"21/23,21/12,21/15",Adrian Olsen-Loe Pedersen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Kristian Hyllestad,"21/19,21/7",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Ørjan Emil Strand,"21/9,21/18",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kristian Hyllestad,,Sunil V,"21/15,16/21,21/19",Kristian Hyllestad,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Simen Eggøy Olson,"18/21,23/21,22/20",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kenneth Bayeng Sanglay,,Geir Bjørsvik,"21/16,21/18",Kenneth Bayeng Sanglay,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Simen Eggøy Olson,,Geir Bjørsvik,"21/12,21/17",Simen Eggøy Olson,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Ørjan Emil Strand,,Sverre  Bergheim,"21/14,22/20",Ørjan Emil Strand,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Håvard Zachariassen,,Sverre  Bergheim,"21/15,21/18",Håvard Zachariassen,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Ørjan Emil Strand,,Håvard Zachariassen,"21/12,21/14",Ørjan Emil Strand,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Kristian Hyllestad,,Vegard Bjørstad,"21/11,21/16",Kristian Hyllestad,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Sunil V,,Adrian Olsen-Loe Pedersen,"21/18,19/21,21/17",Sunil V,
2019/2020,Tromsø Arctic Open,07.02.2020,SEN B,,Sunil V,,Sondre Sefland,"21/15,19/21,21/16",Sunil V,
