Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Gintars Rundelis,,Sandi Meholjic,"21/16,22/20",Gintars Rundelis,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Gintars Rundelis,,Pankaj Bhart,"21/7,21/12",Gintars Rundelis,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Gintars Rundelis,,Kent Nyheim,"21/6,21/10",Gintars Rundelis,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Kent Nyheim,,Pankaj Bhart,"21/12,21/11",Kent Nyheim,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Gintars Rundelis,,Sandi Meholjic,"21/16,22/20",Gintars Rundelis,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Gintars Rundelis,,Pankaj Bhart,"21/7,21/12",Gintars Rundelis,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Gintars Rundelis,,Kent Nyheim,"21/6,21/10",Gintars Rundelis,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Kent Nyheim,,Pankaj Bhart,"21/12,21/11",Kent Nyheim,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Merete Andreassen,,Anja Niemi,"21/13,21/17",Merete Andreassen,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Anja Niemi,,Rikke Nyheim,"22/24,21/17,21/14",Anja Niemi,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Merete Andreassen,,Mari Hildung,"21/7,21/12",Merete Andreassen,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Merete Andreassen,,Rikke Nyheim,"21/13,21/5",Merete Andreassen,
2016/2017,Tromsø KM Hålogaland/Tromsø Open,04.03.2017,SEN A,,Anja Niemi,,Mari Hildung,"21/11,21/5",Anja Niemi,
