Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Geir Storvik,,Fredrik Pedersen,"21/14,21/9",Geir Storvik,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Geir Storvik,,Bjørn Brækkan,"21/5,21/6",Geir Storvik,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Geir Storvik,,Simen Lexander,"21/9,21/19",Geir Storvik,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Simen Lexander,,Bjørn Brækkan,"21/10,21/9",Simen Lexander,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Bjørn Brækkan,,Geir Arne Andersen,"21/17,14/21,22/20",Bjørn Brækkan,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Bjørn Brækkan,,Frode Uberg,"24/22,21/18",Bjørn Brækkan,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Frode Uberg,,Geir Arne Andersen,"21/17,23/21",Frode Uberg,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Simen Lexander,,Germain Schmid,"21/8,21/18",Simen Lexander,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Simen Lexander,,Kim-Andre Moen,"21/10,21/10",Simen Lexander,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Germain Schmid,,Kim-Andre Moen,"22/20,21/16",Germain Schmid,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Geir Storvik,,Fredrik Pedersen,"21/14,21/9",Geir Storvik,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Geir Storvik,,Bjørn Brækkan,"21/5,21/6",Geir Storvik,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Geir Storvik,,Simen Lexander,"21/9,21/19",Geir Storvik,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Simen Lexander,,Bjørn Brækkan,"21/10,21/9",Simen Lexander,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Bjørn Brækkan,,Geir Arne Andersen,"21/17,14/21,22/20",Bjørn Brækkan,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Bjørn Brækkan,,Frode Uberg,"24/22,21/18",Bjørn Brækkan,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Frode Uberg,,Geir Arne Andersen,"21/17,23/21",Frode Uberg,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Simen Lexander,,Germain Schmid,"21/8,21/18",Simen Lexander,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Simen Lexander,,Kim-Andre Moen,"21/10,21/10",Simen Lexander,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Germain Schmid,,Kim-Andre Moen,"22/20,21/16",Germain Schmid,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Trine Sperre,,Rowena Thakore Gunther,"17/21,21/17,21/14",Trine Sperre,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Berit Thyness,,Elisabeth Vatnehol Straumsheim,"21/5,21/6",Berit Thyness,
2014/2015,Tromsø Veteranmesterskapet 2015,06.03.2015,V35+ A,,Berit Thyness,,Beate Olsen,"21/6,21/12",Berit Thyness,
