Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Fredrik Skånøy,,Iver Aalberg,"18/21,21/17,21/16",Fredrik Skånøy,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Fredrik Skånøy,,Roar Natvig,"21/18,21/9",Fredrik Skånøy,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Iver Aalberg,,Trond Mære,"21/19,21/11",Iver Aalberg,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Fredrik Skånøy,,Rolf Ove Karlsen,"21/18,17/21,21/15",Fredrik Skånøy,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Fredrik Skånøy,,Martin Hyllestad,"13/21,21/18,21/14",Fredrik Skånøy,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Rolf Ove Karlsen,,Martin Hyllestad,"21/14,21/12",Rolf Ove Karlsen,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Roar Natvig,,Robert Barø,"21/19,21/12",Roar Natvig,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Robert Barø,,Robin Kruksve Krux,"21/16,21/14",Robert Barø,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Roar Natvig,,Robin Kruksve Krux,"21/16,21/14",Roar Natvig,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Even Langås Kvam,,Isak L. Hasselvold,"21/19,21/13",Even Langås Kvam,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Trond Mære,,Fredrik Lian,"21/10,21/16",Trond Mære,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Fredrik Lian,,Isak L. Hasselvold,"21/14,21/19",Fredrik Lian,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Trond Mære,,Even Langås Kvam,"21/18,21/18",Trond Mære,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Trond Mære,,Isak L. Hasselvold,"21/17,21/15",Trond Mære,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Even Langås Kvam,,Fredrik Lian,"22/20,21/19",Even Langås Kvam,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Amund Skavhaug,,Kristoffer Brandsås Berg,"21/8,21/10",Amund Skavhaug,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Iver Aalberg,,Kristoffer Brandsås Berg,"21/15,21/15",Iver Aalberg,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Iver Aalberg,,Amund Skavhaug,"21/12,21/19",Iver Aalberg,
2016/2017,Verdal Verdalstreffen,18.02.2017,SEN A,,Fredrik Skånøy,,Iver Aalberg,"18/21,21/17,21/16",Fredrik Skånøy,
