Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Pranav Subburam,,Alexandru Feodorov,"21/10,21/7",Pranav Subburam,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Pranav Subburam,,Alexandru Feodorov,"21/10,21/7",Pranav Subburam,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Alexandra Valentin,"21/13,21/7",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Selma Aasgaard,"21/6,21/9",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Kamila Remizova,"21/9,18/21,21/16",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Kamila Remizova,,Selma Aasgaard,"21/10,21/9",Kamila Remizova,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Alexandra Valentin,,Åsne Kjellstadli Ervik,"21/19,18/21,21/15",Alexandra Valentin,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Alexandra Valentin,,Lykke Elise Søvik,"21/5,21/15",Alexandra Valentin,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Åsne Kjellstadli Ervik,,Lykke Elise Søvik,"21/8,21/6",Åsne Kjellstadli Ervik,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Pranav Subburam,,Alexandru Feodorov,"21/10,21/7",Pranav Subburam,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Pranav Subburam,,Alexandru Feodorov,"21/10,21/7",Pranav Subburam,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Alexandra Valentin,"21/13,21/7",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Selma Aasgaard,"21/6,21/9",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Kamila Remizova,"21/9,18/21,21/16",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Kamila Remizova,,Selma Aasgaard,"21/10,21/9",Kamila Remizova,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Alexandra Valentin,,Åsne Kjellstadli Ervik,"21/19,18/21,21/15",Alexandra Valentin,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Alexandra Valentin,,Lykke Elise Søvik,"21/5,21/15",Alexandra Valentin,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Åsne Kjellstadli Ervik,,Lykke Elise Søvik,"21/8,21/6",Åsne Kjellstadli Ervik,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Pranav Subburam,,Alexandru Feodorov,"21/10,21/7",Pranav Subburam,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Pranav Subburam,,Alexandru Feodorov,"21/10,21/7",Pranav Subburam,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Alexandra Valentin,"21/13,21/7",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Selma Aasgaard,"21/6,21/9",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Helena Uggedal,,Kamila Remizova,"21/9,18/21,21/16",Helena Uggedal,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Kamila Remizova,,Selma Aasgaard,"21/10,21/9",Kamila Remizova,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Alexandra Valentin,,Åsne Kjellstadli Ervik,"21/19,18/21,21/15",Alexandra Valentin,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Alexandra Valentin,,Lykke Elise Søvik,"21/5,21/15",Alexandra Valentin,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Åsne Kjellstadli Ervik,,Lykke Elise Søvik,"21/8,21/6",Åsne Kjellstadli Ervik,
2021/2022,Vigra IL Sparebanken Møre Vigra Open,25.09.2021,U13 A,,Pranav Subburam,,Alexandru Feodorov,"21/10,21/7",Pranav Subburam,
