Plass.,Spiller-Id,Navn,Klasse,Poeng
1,102463,"Vilde Espeseth, Kristiansand",E,1112
2,101285,"Randi Selle, Stavanger",E,724
3,104270,"Sofia Louis Macsali, Bergen",E,688
3,109049,"Linnea Holmedal, Sotra",E,688
5,100003,"Helene Abusdal, Kristiansand",E,652
6,109464,"Emma Yasmin Ruud, Moss",E,608
7,105408,"Julie Marie Andersen Abusdal, Kristiansand",E,553
8,109432,"Mina Korssund, Moss",A,460
9,114636,"Melanie Antonella Matland, Moss",A,360
10,105886,"Stine Skjævesland Pedersen, Kristiansand",A,330
11,107439,"Selma Kvarenes Bjørnestøl, Kristiansand",A,326
12,100830,"Charlotte Aase, Bærum",A,274
13,110577,"Victoria Heiberg, Haugerud",A,268
14,109594,"Nikol Hermansen, Bergen",A,260
15,102606,"Helle Sofie Sagøy, Kristiansand",A,258
16,111538,"Juli Helen Johansen Klungtveit, Sotra",A,250
17,112454,"Dianne Christine Geronimo, Trondheim",A,248
18,107735,"Nora  Omdal, NTNUI",A,244
19,101342,"Runa Korshavn, Trondheim",A,236
20,107625,"Ragnhild Stenvaag, Ålesund",A,228
21,107206,"Katja Botcharova Ellingsen, Bergen",A,220
22,103102,"Emilie Sotnes Hamang, Bergen",A,216
23,100717,"Berit Thyness, Haugerud",A,212
23,113759,"Sennova Lindland, Klemetsrud",A,212
25,111257,"Ekaja Dubey, Stavanger",A,210
26,109680,"Nancy Hang, Haugerud",A,205
27,109857,"Vilma Aasheim-Engen, Frogner",A,200
28,110371,"Maria Botcharova Ellingsen, Bergen",A,196
29,112126,"Varshini Manikandan, Klemetsrud",A,186
30,102732,"Iris Hagen, Stavanger",A,160
31,109648,"Anine Halvorsen Egge, Grimstad",A,154
31,113435,"Dowon Kwak, OSI",A,154
33,104509,"Vera Botcharova Ellingsen, Bergen",A,152
34,106128,"Karina Elisabeth Andreassen, OSI",B,148
35,100113,"Gunn Fiskergaard, Ålesund",B,146
36,108927,"Celina Mi Le Thanh, OSI",B,136
37,104546,"Henny Lyfjell, Frogner",B,131
38,105315,"Trine Sperre, Ålesund",B,126
39,109064,"Frida Bjørvik Løvheim, Sandefjord",B,124
39,100074,"Tone Groven, Klæbu",B,124
41,102924,"Kristina Andersen, Kristiansand",B,120
42,113777,"Stine Holm Bjørdal, Frogner",B,118
43,107205,"Julie Langeland Risa, Sotra",B,112
44,112327,"Viola Jordalen, Bergen",B,110
45,114164,"Gülser Selin Kilinc, Djerv",B,108
46,109420,"Trine Søraas Johannessen, Rissa",B,106
47,108076,"Sara Buvik, NTNUI",B,100
48,109058,"Ronja Hartmann, Norborg",B,98
49,110838,"Oline Langeland Risa, Sotra",B,97
50,112694,"Angelina Sharma, Djerv",B,96
50,109656,"Maja Morvik Kragholm, Kristiansand",B,96
50,109545,"Nicoline Wærsten, Kristiansand",B,96
50,116743,"Victoria, Moss",B,96
54,107127,"Delia Murtazalieva, Bergen",B,92
