Plass.,Spiller-Id,Navn,Klasse,Poeng
1,102463,"Vilde Espeseth, Kristiansand",E,1664
2,102533,"Elisa Wiborg, Haugerud",E,1248
3,102269,"Linn Lilian Stenrud, Ullevål",E,1088
4,103102,"Emilie Sotnes Hamang, Frogner",E,976
5,102928,"Marlene Wåland, Kristiansand",E,920
6,100003,"Helene Abusdal, Kristiansand",E,776
7,101149,"Marit Ulmo, Sandefjord",E,696
8,102274,"Thea Johansen, Nøtterøy",E,508
9,103531,"Cecilie Li, Haugerud",A,437
10,102960,"Irina Benedicte Eklund, Nøtterøy",A,433
11,103291,"Emilie Faarup Storvik, NTNUI",A,396
12,100681,"Jeanette Svendsen, Vestre Aker",A,372
13,108394,"Alda Karen Jònsdòttir, Sandefjord",A,369
14,103101,"Frida Sotnes Hamang, Bærum",A,357
15,102635,"Marie Christensen, Frogner",A,320
16,102987,"Stine Andersen, Moss",A,300
17,100900,"Christiane Dahl Nielsen, Stavanger",A,280
18,101262,"Hege Leirud, Frogner",A,276
19,103246,"Kristine Haakonseth, Sandefjord",A,269
20,103445,"Lovise Krogsæter, OSI",A,246
21,104509,"Vera Botcharova Ellingsen, Bergen",A,238
22,104884,"Rikke Karlsen, Kristiansand",A,216
22,102464,"Ingelin Espeseth, Kristiansand",A,216
24,107054,"Julie Grande Ødegårdstuen, Moss",A,210
25,103145,"Emma Wåland, Kristiansand",A,202
26,100113,"Gunn Fiskergaard, Ålesund",A,200
26,105315,"Trine Sperre, Ålesund",A,200
28,104546,"Henny Lyfjell, Frogner",A,196
29,101285,"Randi Selle, Stavanger",A,192
30,100097,"Terese Owesen, Frogner",A,184
30,101080,"Elisabeth Thrane, Trondheim",A,184
32,104960,"Karoline Lerengen, Tromsø",A,180
33,101190,"Mari Helene Bøe, Sandefjord",A,178
34,100830,"Charlotte Aase, Bærum",A,172
35,102142,"Sara Hvidsten, Grimstad",A,170
36,100950,"Heidi Larsson Kleveland, Vestre Aker",A,168
37,103339,"Ida Høyland W., Frogner",A,164
38,101308,"Marit Lillelien, Asker",A,160
39,100373,"Hanna B. Kværnø, Grong",A,156
40,103139,"Kathrine Sellevoll, Vestre Aker",A,150
41,100717,"Berit Thyness, Haugerud",B,149
42,104936,"Silje V. Kruksve Aasland, Leksvik",B,140
43,103520,"Thea Tønnesen, Kristiansand",B,138
44,102033,"Charlotte Leinan, Kristiansand",B,136
45,104016,"Elisabeth Pape, Stavanger",B,134
46,100862,"Anne Klyve, Asker",B,132
47,102167,"Malin Solberg, Grong",B,130
48,102468,"Marthe Skaug, Frogner",B,129
49,104421,"Malin Andersson, Haugerud",B,128
50,101148,"Svenja Tyrhardt, Karmøy",B,121
51,101510,"Anita Olsen, Verdal",B,116
52,103494,"Rikke Østhassel, Kristiansand",B,112
53,105826,"Aimee Hong, Haugerud",B,110
53,107473,"Faranak Kheirabadi, Fredrikstad BK",B,110
55,102451,"Marie Fiskum, Grong",B,108
56,106447,"Tuva Bjørbekk, Norborg",B,98
57,109768,"Anita Aasebø, Austevoll",B,96
57,100357,"Sophie Owen-Davies, Frogner",B,96
59,105901,"Silje Lindseth, Sotra",B,91
60,106466,"Therese Nguyen, Haugerud",B,88
61,105219,"Mei Yang, Vestre Aker",B,84
62,103906,"Silje Svee, Trondheim",B,83
63,104091,"Anne-Margrethe Ulla Staurset, Norborg",B,82
63,102541,"Oda Lauten, NTNUI",B,82
65,100628,"Sissel W. Schmidt, Ålesund",B,80
65,101691,"Tiril Kristine Tanum, NTNUI",B,80
67,102703,"Karoline Kaldheim, Karmøy",B,78
67,104270,"Sofia Louis Macsali, Bergen",B,78
69,109395,"Aude Dufrene, Bærum",B,73
70,105069,"Anne-Liv Lie, Sotra",B,72
70,102476,"Andrea Løvold, Rissa",B,72
72,101040,"Anne Gro Rikheim, Frogner",B,70
72,105282,"Iris Carrascal Simonsen, NTNUI",B,70
72,106949,"Marijke Taverne, Sædalen",B,70
72,109168,"Deepika Mital, Bærum",B,70
76,107325,"Katherine Stott, Vestre Aker",B,69
77,105900,"Malin Landro Olsen, Sotra",B,68
77,100643,"Bente Sotnes, Bærum",B,68
79,100170,"Tone Gulbrandsen, Jarlsberg",B,66
79,104828,"Vilde Morvik Ekerhovd, Sotra",B,66
79,107080,"Nordis Østerås Sandberg, Verdal",B,66
82,102066,"Ingunn Vie Skare, Bergen",B,64
83,100772,"Åsne Lund, Grong",B,62
84,103991,"Julie Kristin Vatterholm, Verdal",B,60
84,101509,"Hilde Vatterholm, Verdal",B,60
86,101269,"Hilde Mari Furnes, Djerv",B,59
87,103947,"Nora Jansson, Sandefjord",B,58
87,105472,"Marion Tanguy, Vestre Aker",B,58
87,106306,"Kirsten Jeppesen, Bærum",B,58
90,104913,"Karolina Odin Bolstad, Vestre Aker",B,57
90,103419,"Victoria Økland, Askøy",B,57
92,101294,"Sonja Wåland, Kristiansand",B,56
93,105010,"Marianne Lie, Karmøy",B,53
94,106537,"Rowena Lindberg, Kolvereid",B,52
94,102422,"Solvår S Flåten Jørgensen, Moss",B,52
96,109699,"Clémentine Le Moal, Djerv",B,50
96,109371,"Norun R. Fosså, Imås IL",B,50
96,106996,"Jenny Chen, Djerv",B,50
96,104925,"Anne Marthe Svensen, Haugesund",B,50
96,100553,"Jorunn Rasmussen, Grimstad",B,50
96,102216,"Ingrid Hornnes, BSI",B,50
96,102924,"Kristina Andersen, Kristiansand",B,50
103,102730,"Rikke Nagell Hansen, Stavanger",C,49
104,101508,"Ina Helland, Tromsø",C,48
104,101065,"Marie Wåland, Kristiansand",C,48
104,100612,"Anne Skien, Ullevål",C,48
107,105685,"Miriam Stensland, Sola",C,47
108,105946,"Mariann Andreassen, Askøy",C,46
108,102732,"Iris Hagen, Stavanger",C,46
108,104876,"Rakel Gundersen, Sandefjord",C,46
111,109393,"Marine Collignon , Ullevål",C,45
112,102731,"Ingrid Øgreid, Stavanger",C,44
112,100158,"Britt Grindland, Grimstad",C,44
112,101107,"Camilla Christine Sørensen, Djerv",C,44
112,107008,"Randi Rolvsjord, Askøy",C,44
112,108591,"Cheryl Yau, Djerv",C,44
117,108147,"Ingeborg Ousland, Nesodden",C,43
118,100175,"Maria Jiangli Stenrud, Frogner",C,42
118,106312,"Annagha Mital, NTNUI",C,42
118,108593,"Raisa Tsynkalovskaya, Sædalen",C,42
118,105643,"Anna Louise Fjelldal, Haugerud",C,42
122,102181,"Liv Kristiane Bugge, Bergen",C,41
122,109646,"Beate Røsholm, Nesodden",C,41
124,103446,"Ingeborg Krogsæter, Karmøy",C,40
124,103574,"Kristin Thømt, Askim",C,40
124,105829,"Merete Nilsson, Vestre Aker",C,40
124,106445,"Tora Vik Langhammer, Ålesund",C,40
128,109769,"Johanne Salthella, Austevoll",C,39
129,100550,"Minh Nhu Thai, Fredrikstad BK",C,38
129,106220,"Camilla Stokkaune, NTNUI",C,38
131,106161,"Marit Louise Ulvang, Ålesund",C,37
132,103924,"Ronja H. Thorstensen, Moss",C,36
133,104241,"Thea Zahl Thorsen, Karmøy",C,33
133,109368,"Thea Vatne, Imås IL",C,33
135,103828,"Hilde Parnemann, Slagen",C,32
135,102182,"Ulla Faarup, Bærum",C,32
135,101788,"Therese Meland, Haugesund",C,32
138,109441,"Josefine Holm, NTNUI",C,31
138,109599,"Monica Kvernøy, Rubbestadneset",C,31
140,108833,"Eline Lindøe Nitter, Rubbestadneset",C,30
140,101413,"Trude Aadland, Stord",C,30
140,107728,"Charlotte Svennevig Thuv, Imås IL",C,30
143,108836,"Kirsten Smith, Stavanger",C,28
143,105606,"Ingrid Gåsbakk, Kristiansand",C,28
145,103012,"Anne Berit Bergsmo, Verdal",C,26
145,106960,"Elena Botcharova Ellingsen, Bergen",C,26
147,105347,"Anne-Emilie Larsen, Sola",C,25
147,101142,"Gunnhild Bøyum, Frogner",C,25
149,107673,"Ingeborg Halvorsen, Haugesund",C,24
149,104555,"Nora Lindland, NTNUI",C,24
149,104485,"Marie Langeland, Stord",C,24
149,105436,"Moana Vadseth Furholm, Ålesund",C,24
149,107130,"Marie  Mørk, Kristiansand",C,24
154,103837,"Mirjam Finanger, Nesna",C,22
154,105595,"Elin Hansen, Herøy",C,22
156,105305,"Hanne Hexeberg Huseby, Frogner",C,20
156,104396,"Shaomeng Li, Haugerud",C,20
156,105103,"Mette Skjævesland Pedersen, Bergen",C,20
156,107475,"Vibeke Knappskog Olsen, Fredrikstad BK",C,20
156,102092,"Sunniva Sørensen, Orkanger",C,20
156,107507,"Janne Ellingsen , Rubbestadneset",C,20
156,108840,"Christina Opheim, Bærum",C,20
163,105206,"Ingvild Håland, NTNUI",D,19
164,100030,"Kari H. Berntsen, Bygdø",D,18
164,102606,"Helle Sofie Sagøy, Kristiansand",D,18
164,101479,"Camilla Aadland, Stord",D,18
164,101042,"Aina Anmarkrud, Frogner",D,18
164,109436,"Cecilie Sørensen, BSI",D,18
164,109108,"Eva Dobreva, Stord",D,18
164,108744,"Rebekka Finanger Skog, Nesna",D,18
164,100485,"Lisbeth Nilsen, Frogner",D,18
172,103300,"Jenny Hervard, Bærum",D,17
172,108306,"Ingrid Strømme, Haugesund",D,17
172,105559,"Victoria Smestadmoen, Sandefjord",D,17
175,106380,"Patricia Ysabel Sosa, NTNUI",D,15
175,101928,"Christina svendsen, Båtsfjord",D,15
175,102704,"Lene Bjordal, Stord",D,15
178,100989,"Ida C. Pedersen, Moss",D,14
178,106357,"Ina Stenkjær, Leksvik",D,14
178,100437,"Inger Margrethe Midtlid, Ålesund",D,14
178,104430,"Rebekka Lie, Karmøy",D,14
178,109410,"Chunlan Zhon, Frogner",D,14
178,108875,"Majken Wærdahl , Trondheim",D,14
178,106964,"Ingrid Småvollan, Grong",D,14
178,100168,"Kirsten Gulbrandsen, Vestre Aker",D,14
178,107088,"Tove Kaldestad Buhl, Stord",D,14
187,109369,"Helene Hjerde Rødssæteren, Imås IL",D,13
188,104436,"Emma Søvik, Norborg",D,12
188,109783,"Hilde Lehtinen, Karmøy",D,12
188,109882,"Tina Ellingsen, Rubbestadneset",D,12
188,106670,"Ekaterina Ankhimova, Russland",D,12
192,108050,"Karoline Hegseth Nordland, Orkanger",D,11
192,104649,"Monica Fuglesang, Bærum",D,11
192,107915,"Ina Finanger Skog, Nesna",D,11
195,109750,"Marita Nornes, Karmøy",D,10
195,100928,"Signe Petra Morvik, Bergen",D,10
195,109883,"Johanne Mæland, Rubbestadneset",D,10
195,101611,"Marit Isaksen, Herøy",D,10
195,100943,"Linn Aasland, Leksvik",D,10
195,106221,"Marte Stokkaune, Rissa",D,10
195,110089,"Yohana Herrera Alonso, BSI",D,10
195,107087,"Nina Stenkjær, Leksvik",D,10
195,103662,"Siv Dyrkolbotn, Bergen",D,10
195,102497,"Rikke Nyheim, Hadsel",D,10
195,104498,"Nora Bang Vågen, Djerv",D,10
195,100619,"Anne Skjævesland, Sola",D,10
207,106669,"Anna Chernova, Russland",D,9
207,102275,"Natalie Kristensen, Moss",D,9
