Plass.,Spiller-Id,Navn,Klasse,Poeng
1,102642,"Torjus Flåtten, Klemetsrud",E,1552
2,102611,"Vegard Rikheim, Frogner",E,992
3,104937,"Danila Gataullin, Kristiansand",E,828
4,107547,"Petter Tryland Laheld, NTNUI",E,804
5,102612,"Mattias Xu, Bergen",E,784
6,100729,"Jørgen Rosenlund, Moss",E,776
7,106092,"Kai Roger Stensen, Grong",E,720
8,105721,"Bharath Kumar Balasingam, Bergen",E,640
9,104510,"Markus Barth, Bergen",E,560
10,110837,"Ole Kristian Lie , Sotra",A,480
11,102819,"Carl Christian Møller Jacobsen, Sandefjord",A,468
12,105891,"Carlo Alonzo Agustin, Mandal",A,452
13,107744,"Andreas Andersen Roksvåg, Grimstad",A,448
14,110836,"Jakob Langeland Risa, Sotra",A,444
15,105314,"Thomas Barth, Bergen",A,440
16,116297,"Shubham, Moss",A,436
17,109688,"Aleksander Jakovlevs, Haugerud",A,380
18,109614,"Brynjar Hus, Bergen",A,370
19,105509,"Keveen Kumar Balasingam, Sotra",A,324
20,110205,"Mathias Wong, Kristiansand",A,302
21,111907,"Gonçalo Ribeiro, Norborg",A,284
21,107705,"Advait Mital, OSI",A,284
23,108071,"Henrik Buvik, Gullvikmoen",A,280
24,101358,"Petter Svendsen, Trondheim",A,272
24,111402,"Henrik Frende Lavik-Haug, Moss",A,272
26,109780,"William R. Barø, Trondheim",A,262
27,102932,"Mads Marum, Kristiansand",A,261
28,110611,"Adit Sharma, Klemetsrud",A,256
29,102378,"Øyvind W. Selboe, Trondheim",A,250
30,107653,"Boyan Yu, NTNUI",A,242
31,100738,"Ola Ulmo, Pillarguri",A,232
32,107654,"Dennis Zhongyan Yu, OSI",A,230
32,101992,"Sturla Flåten Jørgensen, Haugerud",A,230
34,113062,"Deeptanshu Toka, Haugerud",A,228
35,100540,"Pål Endre Pedersen, Haugerud",A,222
36,103539,"Amund Rikheim Huus, Bergen",A,204
36,100996,"Arben Holstad, Vestre Aker",A,204
38,111913,"Benjamin Brevik , Grong",A,200
38,109774,"Stian Ekroll Glenne, Stavanger",A,200
40,109876,"Kristoffer Kielland Rædergård, Trondheim",A,198
40,100310,"Fredrik Lian, Norborg",A,198
40,115447,"Alan Tsui, NTNUI",A,198
43,107132,"Filip Bøhn , Kristiansand",A,197
44,109570,"Varun Manikandan, Sandefjord",A,194
45,111148,"Heine Lam Nybakk, Sotra",A,184
45,107635,"Martin Enghaug, Moss",A,184
47,105794,"Jan Malamant, OSI",A,182
48,109814,"Amund Lind, Moss",A,174
49,102905,"Carl Christian Mork, Haugerud",A,168
50,106504,"Johannes Orri Olafsson, Sandefjord",A,163
51,100476,"Jan Frode Neverdal, Grimstad",A,162
52,106664,"Knut Hermann Stenvaag, NTNUI",A,158
53,100471,"Nauman Majid, Haugerud",A,156
54,105066,"Iver Rolvsjord, NTNUI",A,154
54,110209,"Sindre Gjuvsland, Sotra",A,154
56,110107,"William Aaberg Rølvåg, Nesna",A,152
56,112423,"Tirakom Sonjamroen, Imås IL",A,152
58,107597,"Kevin Elson, Kristiansand",A,150
59,108634,"Frank Heggen, Asker",B,148
60,110055,"Herman Kolstø, Karmøy",B,144
61,105519,"Petter Polden, Sotra",B,143
62,108642,"Andy Hang, OSI",B,142
63,101280,"Mats Lervåg, Bergen",B,140
63,117460,"Gaétan Bouthors, NTNUI",B,140
65,105620,"Vegar Næss, Hammerfest",B,138
65,106453,"Christian Asbjørnsen, Ålesund",B,138
67,101187,"Carl Christian Hem, Sandefjord",B,133
68,103109,"Rolf Ove Karlsen, Verdal",B,132
69,103497,"Jonas Østhassel, Kristiansand",B,128
69,100255,"Pål Hjermstad, Hamar",B,128
69,113455,"Erling Homme, OSI",B,128
69,117753,"Hampus Lilja, Sverige",B,128
