Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Deeptanshu Toka,,Khiem  Duc Nguyen,"21/14,21/9",Deeptanshu Toka,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Khiem  Duc Nguyen,,Magnus Tjøm,"16/21,21/19,21/18",Khiem  Duc Nguyen,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Deeptanshu Toka,,Morten Aarhus,"21/12,21/12",Deeptanshu Toka,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Øyvind W. Selboe,,Toby Clifford,"21/18,22/20",Øyvind W. Selboe,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Deeptanshu Toka,,Øyvind W. Selboe,"21/12,21/13",Deeptanshu Toka,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Toby Clifford,,Morten Aarhus,"21/18,21/17",Toby Clifford,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Deeptanshu Toka,,Toby Clifford,"21/14,21/16",Deeptanshu Toka,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Øyvind W. Selboe,,Morten Aarhus,"21/7,21/10",Øyvind W. Selboe,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Khiem  Duc Nguyen,,Joseph Paul,"21/14,21/16",Khiem  Duc Nguyen,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Joseph Paul,,Bengt Pedersen,"21/12,21/15",Joseph Paul,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Khiem  Duc Nguyen,,Bengt Pedersen,"21/13,21/5",Khiem  Duc Nguyen,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herresingle,,Magnus Tjøm,,Frank Heggen,"21/19,21/18",Magnus Tjøm,
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herredouble,Magnus Tjøm,Øyvind W. Selboe,Toby Clifford,Joseph Paul,"21/12,21/9",Magnus Tjøm,Øyvind W. Selboe
2023/2024,Asker Asker Open 2023,02.12.2023,SEN A,Herredouble,Deeptanshu Toka,Veeranjaneyulu Toka,Bengt Pedersen,Henrik H Bøje,"21/13,21/12",Deeptanshu Toka,Veeranjaneyulu Toka
