Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Morten Aarhus,,Marius Sørby,"21/12,21/15",Morten Aarhus,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Dimiter Ivanov,,Tommy Helander,"21/14,21/17",Dimiter Ivanov,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Tommy Helander,,Morten Aarhus,"21/18,21/8",Tommy Helander,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Dimiter Ivanov,,Marius Sørby,"21/15,21/12",Dimiter Ivanov,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Dimiter Ivanov,,Morten Aarhus,"21/15,21/17",Dimiter Ivanov,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Tommy Helander,,Marius Sørby,"21/13,21/9",Tommy Helander,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Dimiter Ivanov,,Daniel Bjørklund,"21/8,22/20",Dimiter Ivanov,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Lars Nonboe Andersen,,Dimiter Ivanov,"21/11,18/21,21/15",Lars Nonboe Andersen,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Lars Nonboe Andersen,,Daniel Bjørklund,"21/13,21/19",Lars Nonboe Andersen,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Fredrik Jonsson Ruud,,Khiem  Duc Nguyen,"21/19,21/16",Fredrik Jonsson Ruud,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Daniel Bjørklund,,Fredrik Jonsson Ruud,"16/21,21/15,25/23",Daniel Bjørklund,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Daniel Bjørklund,,Khiem  Duc Nguyen,"21/16,15/21,21/19",Daniel Bjørklund,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Lars Nonboe Andersen,,Frank Heggen,"21/19,23/21",Lars Nonboe Andersen,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Lars Nonboe Andersen,,Christian Hervard,"21/8,21/14",Lars Nonboe Andersen,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herresingle,,Frank Heggen,,Christian Hervard,"21/13,21/13",Frank Heggen,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Damesingle,,Berit Thyness,,Ane Hofstad Lycke,"21/14,21/14",Berit Thyness,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Damesingle,,Kristin Thømt,,Ane Hofstad Lycke,"23/21,10/21,23/21",Kristin Thømt,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Damesingle,,Kristin Thømt,,Marlen Nygård,"21/11,21/17",Kristin Thømt,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Damesingle,,Berit Thyness,,Marlen Nygård,"21/5,21/9",Berit Thyness,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Damesingle,,Ane Hofstad Lycke,,Marlen Nygård,"21/7,14/21,21/14",Ane Hofstad Lycke,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Damesingle,,Berit Thyness,,Kristin Thømt,"21/9,21/16",Berit Thyness,
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herredouble,Daniel Bjørklund,Jan Malamant,Carl Magnus Woldstad,Magnus Knapperholen,"21/16,21/13",Daniel Bjørklund,Jan Malamant
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herredouble,Daniel Bjørklund,Jan Malamant,Khiem  Duc Nguyen,David Nguyen,"23/21,21/9",Daniel Bjørklund,Jan Malamant
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herredouble,Sondre Sefland,Halldór Reynisson,Khiem  Duc Nguyen,David Nguyen,"21/17,21/11",Sondre Sefland,Halldór Reynisson
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herredouble,Daniel Bjørklund,Jan Malamant,Sondre Sefland,Halldór Reynisson,"21/17,22/20",Daniel Bjørklund,Jan Malamant
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herredouble,Carl Magnus Woldstad,Magnus Knapperholen,Morten Aarhus,Frank Heggen,"21/16,21/19",Carl Magnus Woldstad,Magnus Knapperholen
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herredouble,Morten Aarhus,Frank Heggen,Fredrik Jonsson Ruud,Joakim Andreassen,"17/21,21/13,21/18",Morten Aarhus,Frank Heggen
2018/2019,Asker Asker Open,17.11.2018,SEN A,Herredouble,Fredrik Jonsson Ruud,Joakim Andreassen,Carl Magnus Woldstad,Magnus Knapperholen,"22/24,21/18,21/16",Fredrik Jonsson Ruud,Joakim Andreassen
2018/2019,Asker Asker Open,17.11.2018,SEN A,Mixeddouble,Ane Hofstad Lycke,Daniel Bjørklund,Amit Mital,Deepika Mital,"21/9,21/13",Ane Hofstad Lycke,Daniel Bjørklund
2018/2019,Asker Asker Open,17.11.2018,SEN A,Mixeddouble,Tommy Helander,Kristin Thømt,Marit Lillelien,Frank Heggen,"21/15,14/21,21/11",Tommy Helander,Kristin Thømt
