Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Herredouble,Sigbjørn Honve,Petter Polden,Martin Feussner,Petter Karlsen Wåltorp,"21/18,21/14",Sigbjørn Honve,Petter Polden
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Herredouble,Keveen Kumar Balasingam,Ole Kristian Lie,Sigbjørn Honve,Petter Polden,"21/16,21/18",Keveen Kumar Balasingam,Ole Kristian Lie
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Herredouble,Keveen Kumar Balasingam,Ole Kristian Lie,Martin Feussner,Petter Karlsen Wåltorp,"21/15,21/17",Keveen Kumar Balasingam,Ole Kristian Lie
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Herredouble,Sigbjørn Honve,Petter Polden,Heine Lam Nybakk,Thomas Lam Nybakk,"21/13,18/21,21/12",Sigbjørn Honve,Petter Polden
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Herredouble,Heine Lam Nybakk,Thomas Lam Nybakk,Martin Feussner,Petter Karlsen Wåltorp,"21/19,21/18",Heine Lam Nybakk,Thomas Lam Nybakk
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Herredouble,Keveen Kumar Balasingam,Ole Kristian Lie,Heine Lam Nybakk,Thomas Lam Nybakk,"21/13,21/17",Keveen Kumar Balasingam,Ole Kristian Lie
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Mixeddouble,Edvin Nordbø,Mariann Andreassen,Petter Karlsen Wåltorp,Anna Oleyniksson,"19/21,21/10,21/12",Edvin Nordbø,Mariann Andreassen
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Mixeddouble,Elise  Holmedal,Keveen Kumar Balasingam,Martin Feussner,Eileen Linda Shamim,"22/20,16/21,21/15",Elise  Holmedal,Keveen Kumar Balasingam
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Mixeddouble,Petter Karlsen Wåltorp,Anna Oleyniksson,Martin Feussner,Eileen Linda Shamim,"21/10,18/21,21/13",Petter Karlsen Wåltorp,Anna Oleyniksson
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Mixeddouble,Elise  Holmedal,Keveen Kumar Balasingam,Edvin Nordbø,Mariann Andreassen,"21/12,21/15",Elise  Holmedal,Keveen Kumar Balasingam
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Mixeddouble,Elise  Holmedal,Keveen Kumar Balasingam,Petter Karlsen Wåltorp,Anna Oleyniksson,"21/11,15/21,21/12",Elise  Holmedal,Keveen Kumar Balasingam
2024/2025,Askøy Askøyduellen,28.09.2024,SEN E,Mixeddouble,Martin Feussner,Eileen Linda Shamim,Edvin Nordbø,Mariann Andreassen,"21/16,21/9",Martin Feussner,Eileen Linda Shamim
2024/2025,Askøy Askøyduellen,28.09.2024,SEN A,Herresingle,,Ole Kristian Lie,,Sigbjørn Honve,"17/21,21/14,21/18",Ole Kristian Lie,
2024/2025,Askøy Askøyduellen,28.09.2024,SEN A,Herresingle,,Petter Polden,,Keveen Kumar Balasingam,"21/10,21/8",Petter Polden,
2024/2025,Askøy Askøyduellen,28.09.2024,SEN A,Herresingle,,Sigbjørn Honve,,Petter Polden,"21/11,21/18",Sigbjørn Honve,
