Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Heine Lam Nybakk,,Morten Straume,"21/15,21/13",Heine Lam Nybakk,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Heine Lam Nybakk,,Vera Botcharova Ellingsen,"21/8,21/19",Heine Lam Nybakk,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Heine Lam Nybakk,,Lennart Schulte,"21/13,21/17",Heine Lam Nybakk,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Vera Botcharova Ellingsen,,Lennart Schulte,"21/15,22/20",Vera Botcharova Ellingsen,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Andreas Deinboll,,Martin Brekke Hjellestad,"10/21,21/12,21/18",Andreas Deinboll,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Morten Straume,,Sindre Gjuvsland,"21/15,21/13",Morten Straume,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Morten Straume,,Martin Brekke Hjellestad,"21/12,21/18",Morten Straume,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Sindre Gjuvsland,,Andreas Deinboll,"21/18,21/17",Sindre Gjuvsland,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Martin Brekke Hjellestad,,Sindre Gjuvsland,"21/16,23/21",Martin Brekke Hjellestad,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Morten Straume,,Andreas Deinboll,"21/7,21/6",Morten Straume,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Heine Lam Nybakk,,Morten Straume,"21/15,21/13",Heine Lam Nybakk,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Heine Lam Nybakk,,Vera Botcharova Ellingsen,"21/8,21/19",Heine Lam Nybakk,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Heine Lam Nybakk,,Lennart Schulte,"21/13,21/17",Heine Lam Nybakk,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Vera Botcharova Ellingsen,,Lennart Schulte,"21/15,22/20",Vera Botcharova Ellingsen,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Andreas Deinboll,,Martin Brekke Hjellestad,"10/21,21/12,21/18",Andreas Deinboll,
2022/2023,Bergen Fana Cup 2023,04.02.2023,SEN A,,Morten Straume,,Sindre Gjuvsland,"21/15,21/13",Morten Straume,
