Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Rafid Ishaq,,Thomas Barth,"22/20,16/21,21/18",Rafid Ishaq,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Rafid Ishaq,,Thomas Grüner Fjeldheim,"21/15,22/24,21/19",Rafid Ishaq,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Thomas Barth,,Elias Øyen Selsaas,"21/11,21/8",Thomas Barth,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Thomas Grüner Fjeldheim,,Sander Bunes Kristensen,"21/12,21/8",Thomas Grüner Fjeldheim,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Rafid Ishaq,,Andreas Holmedal,"21/19,21/11",Rafid Ishaq,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Thomas Barth,,Christer Andersen,"21/8,21/17",Thomas Barth,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Elias Øyen Selsaas,,Theodor Fjelldal,"12/21,21/16,22/20",Elias Øyen Selsaas,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Thomas Grüner Fjeldheim,,David Nguyen,"21/12,21/8",Thomas Grüner Fjeldheim,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Sander Bunes Kristensen,,Leonard Volrath Holmboe,"21/7,21/12",Sander Bunes Kristensen,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Andreas Holmedal,,Bjørn Deron,"21/11,21/15",Andreas Holmedal,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Rafid Ishaq,,Matthew Leiren,"21/7,21/6",Rafid Ishaq,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Christer Andersen,,Filip Bøhn,"18/21,21/19,21/11",Christer Andersen,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Thomas Barth,,Andreas Andersen Roksvåg,"21/10,21/4",Thomas Barth,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Elias Øyen Selsaas,,Aleksander Jakovlevs,"21/12,21/15",Elias Øyen Selsaas,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Theodor Fjelldal,,Mattias Mørk,"18/21,21/12,21/16",Theodor Fjelldal,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,David Nguyen,,Sturla Mørk,"21/12,16/21,21/16",David Nguyen,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Leonard Volrath Holmboe,,Sander Hegseth,"23/21,21/14",Leonard Volrath Holmboe,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Bjørn Deron,,Sander Østhassel,"21/11,21/15",Bjørn Deron,
2018/2019,Bergen RT 15 + 19,31.08.2018,U15 A,Herresingle,,Matthew Leiren,,Herman Dalan  Eidissen,"13/21,21/17,21/13",Matthew Leiren,
