Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Dennis Andersen Moe,"21/17,21/18",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Amund Rikheim Huus,"15/21,21/12,21/7",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Ludvig Smith-Meyer,"21/12,21/13",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Sverre Bergland jr,"21/16,21/17",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Amund Rikheim Huus,,Bharath Kumar Balasingam,"22/24,22/20,26/24",Amund Rikheim Huus,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Ludvig Smith-Meyer,,Øystein Hovden Eimind,"21/11,15/21,21/15",Ludvig Smith-Meyer,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Kristoffer Ulvang,"21/14,21/15",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Sverre Bergland jr,,Iver Aalberg,"17/21,22/20,21/7",Sverre Bergland jr,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Amund Rikheim Huus,,Erlend Engesæter Bognøy,"21/14,15/21,22/20",Amund Rikheim Huus,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Ludvig Smith-Meyer,,Vemund Wennemo,"21/19,21/17",Ludvig Smith-Meyer,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Kristoffer Ulvang,,Henrik Gabrielsen Opsahl,"21/18,23/21",Kristoffer Ulvang,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Vemund Wennemo,,Simon Vedaa,"21/12,21/11",Vemund Wennemo,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Simon Vedaa,"21/5,21/7",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Vemund Wennemo,"21/15,21/16",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Sverre Bergland jr,,Ludvig Smith-Meyer,"21/14,21/19",Sverre Bergland jr,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Ludvig Smith-Meyer,,Jørgen Vedaa,"21/6,21/10",Ludvig Smith-Meyer,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Sverre Bergland jr,,Jørgen Vedaa,"21/5,21/7",Sverre Bergland jr,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Kristoffer Ulvang,,John Nguyen,"24/22,21/11",Kristoffer Ulvang,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Bharath Kumar Balasingam,,Jonah Rajkumar,"21/6,21/3",Bharath Kumar Balasingam,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Kristoffer Ulvang,,Jonah Rajkumar,"21/5,21/3",Kristoffer Ulvang,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Bharath Kumar Balasingam,,John Nguyen,"21/9,21/15",Bharath Kumar Balasingam,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Bharath Kumar Balasingam,,Kristoffer Ulvang,"21/13,21/15",Bharath Kumar Balasingam,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,John Nguyen,,Jonah Rajkumar,"21/12,21/5",John Nguyen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Petter Berntsen,,Audun Christoffer Adolfson,"16/21,21/8,21/13",Petter Berntsen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Øystein Hovden Eimind,,Iver Aalberg,"21/19,21/11",Øystein Hovden Eimind,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Øystein Hovden Eimind,,Petter Berntsen,"21/7,21/11",Øystein Hovden Eimind,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Iver Aalberg,,Audun Christoffer Adolfson,"21/11,21/6",Iver Aalberg,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Iver Aalberg,,Petter Berntsen,"21/8,21/8",Iver Aalberg,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Øystein Hovden Eimind,,Audun Christoffer Adolfson,"21/7,21/6",Øystein Hovden Eimind,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Erlend Engesæter Bognøy,,Bjørn Stople,"21/11,21/8",Erlend Engesæter Bognøy,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Henrik Gabrielsen Opsahl,,Bjørn Stople,"21/9,21/14",Henrik Gabrielsen Opsahl,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Henrik Gabrielsen Opsahl,,Erlend Engesæter Bognøy,"21/15,6/21,21/18",Henrik Gabrielsen Opsahl,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Amund Rikheim Huus,,Michael White,"21/9,21/9",Amund Rikheim Huus,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Amund Rikheim Huus,"19/21,22/20,21/10",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Michael White,"21/8,21/8",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Dennis Andersen Moe,"21/17,21/18",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Amund Rikheim Huus,"15/21,21/12,21/7",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Ludvig Smith-Meyer,"21/12,21/13",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Sverre Bergland jr,"21/16,21/17",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Amund Rikheim Huus,,Bharath Kumar Balasingam,"22/24,22/20,26/24",Amund Rikheim Huus,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Ludvig Smith-Meyer,,Øystein Hovden Eimind,"21/11,15/21,21/15",Ludvig Smith-Meyer,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Kristoffer Ulvang,"21/14,21/15",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Sverre Bergland jr,,Iver Aalberg,"17/21,22/20,21/7",Sverre Bergland jr,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Amund Rikheim Huus,,Erlend Engesæter Bognøy,"21/14,15/21,22/20",Amund Rikheim Huus,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Ludvig Smith-Meyer,,Vemund Wennemo,"21/19,21/17",Ludvig Smith-Meyer,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Kristoffer Ulvang,,Henrik Gabrielsen Opsahl,"21/18,23/21",Kristoffer Ulvang,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Vemund Wennemo,,Simon Vedaa,"21/12,21/11",Vemund Wennemo,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Simon Vedaa,"21/5,21/7",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Dennis Andersen Moe,,Vemund Wennemo,"21/15,21/16",Dennis Andersen Moe,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Sverre Bergland jr,,Ludvig Smith-Meyer,"21/14,21/19",Sverre Bergland jr,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Ludvig Smith-Meyer,,Jørgen Vedaa,"21/6,21/10",Ludvig Smith-Meyer,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Sverre Bergland jr,,Jørgen Vedaa,"21/5,21/7",Sverre Bergland jr,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Kristoffer Ulvang,,John Nguyen,"24/22,21/11",Kristoffer Ulvang,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Bharath Kumar Balasingam,,Jonah Rajkumar,"21/6,21/3",Bharath Kumar Balasingam,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Kristoffer Ulvang,,Jonah Rajkumar,"21/5,21/3",Kristoffer Ulvang,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Bharath Kumar Balasingam,,John Nguyen,"21/9,21/15",Bharath Kumar Balasingam,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Bharath Kumar Balasingam,,Kristoffer Ulvang,"21/13,21/15",Bharath Kumar Balasingam,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,John Nguyen,,Jonah Rajkumar,"21/12,21/5",John Nguyen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Petter Berntsen,,Audun Christoffer Adolfson,"16/21,21/8,21/13",Petter Berntsen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Øystein Hovden Eimind,,Iver Aalberg,"21/19,21/11",Øystein Hovden Eimind,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Øystein Hovden Eimind,,Petter Berntsen,"21/7,21/11",Øystein Hovden Eimind,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Iver Aalberg,,Audun Christoffer Adolfson,"21/11,21/6",Iver Aalberg,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Iver Aalberg,,Petter Berntsen,"21/8,21/8",Iver Aalberg,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Øystein Hovden Eimind,,Audun Christoffer Adolfson,"21/7,21/6",Øystein Hovden Eimind,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Erlend Engesæter Bognøy,,Bjørn Stople,"21/11,21/8",Erlend Engesæter Bognøy,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Henrik Gabrielsen Opsahl,,Bjørn Stople,"21/9,21/14",Henrik Gabrielsen Opsahl,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Henrik Gabrielsen Opsahl,,Erlend Engesæter Bognøy,"21/15,6/21,21/18",Henrik Gabrielsen Opsahl,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Amund Rikheim Huus,,Michael White,"21/9,21/9",Amund Rikheim Huus,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Amund Rikheim Huus,"19/21,22/20,21/10",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Jonas Tønnesen,,Michael White,"21/8,21/8",Jonas Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Thea Tønnesen,,Victoria Økland,"21/17,18/21,21/8",Thea Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Thea Tønnesen,,Julie Grande Ødegårdstuen,"21/12,21/12",Thea Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Victoria Økland,,Astrid Rytter Madsen,"21/13,21/5",Victoria Økland,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Thea Tønnesen,,Miriam Stensland,"21/14,21/7",Thea Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Julie Grande Ødegårdstuen,,Emilia Petersen Norberg,"21/13,21/13",Julie Grande Ødegårdstuen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Astrid Rytter Madsen,,Marianne Lie,"21/13,21/4",Astrid Rytter Madsen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Victoria Økland,,Ina Stenkjær,"21/16,21/9",Victoria Økland,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Miriam Stensland,,kristiane lenning,"21/17,21/12",Miriam Stensland,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Julie Grande Ødegårdstuen,,Aimee Hong,"21/8,21/13",Julie Grande Ødegårdstuen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Emilia Petersen Norberg,,Marie  Mørk,"21/17,21/12",Emilia Petersen Norberg,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Astrid Rytter Madsen,,Sara Andersen,"21/11,21/17",Astrid Rytter Madsen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Marianne Lie,,Mette Skjævesland Pedersen,"21/15,21/9",Marianne Lie,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Victoria Økland,,Anne Berit Iversen,"21/15,21/15",Victoria Økland,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Thea Tønnesen,,Jenny Rajkumar,"21/14,21/10",Thea Tønnesen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Astrid Rytter Madsen,,Jenny Rajkumar,"21/7,21/13",Astrid Rytter Madsen,
2014/2015,Bergen RT 15* + 19,07.11.2014,U15 A,,Thea Tønnesen,,Astrid Rytter Madsen,"21/17,21/11",Thea Tønnesen,
