Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Brynjar Hus,,Jakob Langeland Risa,"21/5,21/15",Brynjar Hus,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Jakob Langeland Risa,,Sindre Gjuvsland,"15/21,25/23,21/18",Jakob Langeland Risa,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Brynjar Hus,,Martin Brekke Hjellestad,"21/7,21/7",Brynjar Hus,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Heine Lam Nybakk,,Andreas Deinboll,"21/17,21/9",Heine Lam Nybakk,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Brynjar Hus,,Heine Lam Nybakk,"20/22,21/14,21/12",Brynjar Hus,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Brynjar Hus,,Andreas Deinboll,"21/15,21/9",Brynjar Hus,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Mats Lervåg,,Johannes Tobiassen,"21/10,21/9",Mats Lervåg,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Jakob Langeland Risa,,Martin Feussner,"21/14,18/21,21/11",Jakob Langeland Risa,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Martin Feussner,,Johannes Tobiassen,"21/16,9/21,21/12",Martin Feussner,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Jakob Langeland Risa,,Mats Lervåg,"21/13,20/22,21/18",Jakob Langeland Risa,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Jakob Langeland Risa,,Johannes Tobiassen,"22/20,18/21,21/15",Jakob Langeland Risa,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Mats Lervåg,,Martin Feussner,"13/21,21/10,21/14",Mats Lervåg,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Sindre Gjuvsland,,Jude Dhushyanthan,"21/5,21/5",Sindre Gjuvsland,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Sindre Gjuvsland,,Eram Jafer Ali Hassen,"21/16,21/15",Sindre Gjuvsland,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herresingle,,Eram Jafer Ali Hassen,,Jude Dhushyanthan,"21/10,21/11",Eram Jafer Ali Hassen,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Lovise Krogsæter,,Julie Langeland Risa,"22/20,21/6",Lovise Krogsæter,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Mette Skjævesland Pedersen,,Julie Langeland Risa,"21/8,21/18",Mette Skjævesland Pedersen,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Lovise Krogsæter,,Nikol Hermansen,"21/19,21/11",Lovise Krogsæter,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Lovise Krogsæter,,Mette Skjævesland Pedersen,"21/15,21/14",Lovise Krogsæter,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Randi Selle,,Julie Langeland Risa,"21/15,21/5",Randi Selle,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Randi Selle,,Mette Skjævesland Pedersen,"21/4,21/8",Randi Selle,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Julie Langeland Risa,,Nikol Hermansen,"21/18,21/16",Julie Langeland Risa,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Damesingle,,Mette Skjævesland Pedersen,,Nikol Hermansen,"21/18,21/10",Mette Skjævesland Pedersen,
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herredouble,Brynjar Hus,Sindre Gjuvsland,Kenneth Larsen,Morten Oterhals,"21/13,21/17",Brynjar Hus,Sindre Gjuvsland
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herredouble,Kenneth Larsen,Morten Oterhals,Elias Øyen Selsaas,Jonathan Utne Madsøy,"23/21,21/15",Kenneth Larsen,Morten Oterhals
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herredouble,Brynjar Hus,Sindre Gjuvsland,Martin Feussner,Petter Karlsen Wåltorp,"21/11,21/18",Brynjar Hus,Sindre Gjuvsland
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herredouble,Kenneth Larsen,Morten Oterhals,Ingrid Teistung,Vera Botcharova Ellingsen,"16/21,21/16,21/13",Kenneth Larsen,Morten Oterhals
2023/2024,Bergen Vestlandsmesterskap,11.11.2023,SEN A,Herredouble,Ingrid Teistung,Vera Botcharova Ellingsen,Heine Lam Nybakk,Sondre Lie Foldnes,"21/16,21/23,21/14",Ingrid Teistung,Vera Botcharova Ellingsen
