Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vegar Næss,,Ron Eilif Kristiansen,"21/10,21/19",Vegar Næss,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vladimir Nesterov,,Timur Makusinskii,"21/14,21/13",Vladimir Nesterov,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vladimir Nesterov,,Vegar Næss,"21/10,11/21,21/9",Vladimir Nesterov,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Timur Makusinskii,,Ron Eilif Kristiansen,"21/18,21/15",Timur Makusinskii,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vegar Næss,,Evgeny Kulakov,"21/16,21/15",Vegar Næss,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vladimir Nesterov,,Ingelin Espeseth,"21/8,17/21,21/16",Vladimir Nesterov,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Timur Makusinskii,,Jann-Hermod Røstad,"22/20,23/21",Timur Makusinskii,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Ron Eilif Kristiansen,,Sondre N. Hammeren,"8/21,21/17,23/21",Ron Eilif Kristiansen,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Ingelin Espeseth,,Marek Kwiatkowski,"21/16,21/14",Ingelin Espeseth,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Timur Makusinskii,,Arild Hammeren,"21/15,21/12",Timur Makusinskii,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Timur Makusinskii,,Benjamin Sivertsen Richardsen,"21/17,21/17",Timur Makusinskii,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vegar Næss,,Benjamin Sivertsen Richardsen,"21/13,21/10",Vegar Næss,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vegar Næss,,Timur Makusinskii,"21/9,20/22,21/14",Vegar Næss,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Arild Hammeren,,Bjørn Roar Pedersen,"21/13,21/19",Arild Hammeren,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vladimir Nesterov,,Arild Hammeren,"21/11,21/9",Vladimir Nesterov,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Vladimir Nesterov,,Bjørn Roar Pedersen,"21/8,21/16",Vladimir Nesterov,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Jann-Hermod Røstad,,Aleksander  Røeggen Johansen,"21/23,21/16,21/11",Jann-Hermod Røstad,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Aleksander  Røeggen Johansen,,Evgeny Kulakov,"21/13,13/21,21/17",Aleksander  Røeggen Johansen,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Evgeny Kulakov,,Jann-Hermod Røstad,"21/13,14/21,22/20",Evgeny Kulakov,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Ingelin Espeseth,,Andrey Ermolenko,"21/9,21/15",Ingelin Espeseth,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Ron Eilif Kristiansen,,Ingelin Espeseth,"13/21,21/18,21/17",Ron Eilif Kristiansen,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Ron Eilif Kristiansen,,Andrey Ermolenko,"21/11,21/11",Ron Eilif Kristiansen,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Sondre N. Hammeren,,Aleksei Vasilchuk,"21/9,21/10",Sondre N. Hammeren,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Marek Kwiatkowski,,Aleksei Vasilchuk,"21/16,21/17",Marek Kwiatkowski,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Herresingle,,Sondre N. Hammeren,,Marek Kwiatkowski,"21/12,21/13",Sondre N. Hammeren,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Damesingle,,Liubov Shitsco,,Anna Chernova,"21/17,21/12",Liubov Shitsco,
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Damedouble,Anastasia Aleshintseva,Liubov Shitsco,Evelina Chernykh,Anna Chernova,"21/11,21/17",Anastasia Aleshintseva,Liubov Shitsco
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN A,Mixeddouble,Ingelin Espeseth,Vladimir Nesterov,Evgeny Kulakov,Liubov Shitsco,"21/17,21/19",Ingelin Espeseth,Vladimir Nesterov
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Benjamin Sivertsen Richardsen,Jann-Hermod Røstad,Nina F. Hansen,Ingelin Espeseth,"21/12,21/19",Benjamin Sivertsen Richardsen,Jann-Hermod Røstad
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Vladimir Nesterov,Evgeny Kulakov,Arild Hammeren,Sondre N. Hammeren,"15/21,21/9,21/16",Vladimir Nesterov,Evgeny Kulakov
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Arild Hammeren,Sondre N. Hammeren,Benjamin Sivertsen Richardsen,Jann-Hermod Røstad,"21/16,21/5",Arild Hammeren,Sondre N. Hammeren
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Vladimir Nesterov,Evgeny Kulakov,Nina F. Hansen,Ingelin Espeseth,"21/18,17/21,21/17",Vladimir Nesterov,Evgeny Kulakov
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Arild Hammeren,Sondre N. Hammeren,Georgi Chashnikov,Timur Makusinskii,"21/8,21/23,21/10",Arild Hammeren,Sondre N. Hammeren
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Nina F. Hansen,Ingelin Espeseth,Aleksander  Røeggen Johansen,Vegar Næss,"21/17,21/15",Nina F. Hansen,Ingelin Espeseth
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Benjamin Sivertsen Richardsen,Jann-Hermod Røstad,Aleksei Vasilchuk,Andrey Ermolenko,"21/10,21/17",Benjamin Sivertsen Richardsen,Jann-Hermod Røstad
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Aleksander  Røeggen Johansen,Vegar Næss,Aleksei Vasilchuk,Andrey Ermolenko,"21/18,21/17",Aleksander  Røeggen Johansen,Vegar Næss
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Benjamin Sivertsen Richardsen,Jann-Hermod Røstad,Aleksander  Røeggen Johansen,Vegar Næss,"21/12,21/16",Benjamin Sivertsen Richardsen,Jann-Hermod Røstad
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Nina F. Hansen,Ingelin Espeseth,Ron Eilif Kristiansen,Bjørn Roar Pedersen,"21/16,15/21,21/16",Nina F. Hansen,Ingelin Espeseth
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Nina F. Hansen,Ingelin Espeseth,Georgi Chashnikov,Timur Makusinskii,"21/13,21/15",Nina F. Hansen,Ingelin Espeseth
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Georgi Chashnikov,Timur Makusinskii,Ron Eilif Kristiansen,Bjørn Roar Pedersen,"21/18,21/19",Georgi Chashnikov,Timur Makusinskii
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Arild Hammeren,Sondre N. Hammeren,Marek Kwiatkowski,Morten Johnsen,"21/14,21/11",Arild Hammeren,Sondre N. Hammeren
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Vladimir Nesterov,Evgeny Kulakov,Arild Hammeren,Sondre N. Hammeren,"21/19,21/10",Vladimir Nesterov,Evgeny Kulakov
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Herredouble,Vladimir Nesterov,Evgeny Kulakov,Marek Kwiatkowski,Morten Johnsen,"21/15,21/9",Vladimir Nesterov,Evgeny Kulakov
2016/2017,Berlevåg Spartreffet 2016,19.11.2016,SEN B,Mixeddouble,Sondre N. Hammeren,Nina F. Hansen,Evelina Chernykh,Timur Makusinskii,"21/12,21/10",Sondre N. Hammeren,Nina F. Hansen
