Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Gergin Nedyalkov Angelov,,Alex Bass,"21/16,21/18",Gergin Nedyalkov Angelov,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Gergin Nedyalkov Angelov,,Carl Christian Mork,"22/20,21/19",Gergin Nedyalkov Angelov,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Alex Bass,,Carl Christian Hem,"21/14,21/13",Alex Bass,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Gergin Nedyalkov Angelov,,Geir Storvik,"21/15,21/16",Gergin Nedyalkov Angelov,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Mork,,Carl Christian Møller Jacobsen,"21/10,17/21,21/16",Carl Christian Mork,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Alex Bass,,Bård Storvik,"21/11,21/11",Alex Bass,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Hem,,Jørgen Rosenlund,"21/17,21/15",Carl Christian Hem,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Geir Storvik,,Richard Wasell,"12/21,21/14,21/17",Geir Storvik,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Mork,,Gjermund Hagen,"21/16,21/17",Carl Christian Mork,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Christian S. Johnsen,"21/11,21/6",Carl Christian Møller Jacobsen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Alex Bass,,Torjus Flåtten,"21/19,21/16",Alex Bass,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Bård Storvik,,Thomas Berge,"21/16,21/13",Bård Storvik,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Hem,,Toheed Ahmed Saeed,"21/10,21/11",Carl Christian Hem,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Tobias Krømke,,Christoffer Hamnes,"21/16,21/11",Tobias Krømke,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Gergin Nedyalkov Angelov,,Tobias Krømke,"13/21,21/11,21/13",Gergin Nedyalkov Angelov,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Gergin Nedyalkov Angelov,,Christoffer Hamnes,"21/13,21/13",Gergin Nedyalkov Angelov,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Hans Andreas Karlsen,,Sondre Flåten Jørgensen,"21/15,22/20",Hans Andreas Karlsen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Geir Storvik,,Sondre Flåten Jørgensen,"21/13,21/8",Geir Storvik,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Geir Storvik,,Hans Andreas Karlsen,"21/11,21/7",Geir Storvik,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Richard Wasell,,Edvard Rosenberg,"21/14,21/17",Richard Wasell,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Thor Christian Tallaksen,,Edvard Rosenberg,"21/14,21/18",Thor Christian Tallaksen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Richard Wasell,,Thor Christian Tallaksen,"21/16,18/21,21/15",Richard Wasell,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Mork,,Viktor P. Nordberg,"21/12,21/12",Carl Christian Mork,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Mork,,Carlo Alonzo Agustin,"21/13,21/16",Carl Christian Mork,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carlo Alonzo Agustin,,Viktor P. Nordberg,"21/23,21/19,21/19",Carlo Alonzo Agustin,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Gjermund Hagen,,Marius Imset,"21/13,21/14",Gjermund Hagen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Marius Imset,,Håkon Synnes Ytreland,"21/19,9/21,21/16",Marius Imset,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Gjermund Hagen,,Håkon Synnes Ytreland,"21/18,21/17",Gjermund Hagen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Joel Collard,"21/11,11/21,21/11",Carl Christian Møller Jacobsen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Petter Polden,"21/13,21/16",Carl Christian Møller Jacobsen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Petter Polden,,Joel Collard,"21/14,21/18",Petter Polden,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Håkon Haukebøe,,Benjamin Falck,"19/21,21/19,21/12",Håkon Haukebøe,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Christian S. Johnsen,,Håkon Haukebøe,"21/15,21/12",Christian S. Johnsen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Christian S. Johnsen,,Benjamin Falck,"16/21,21/15,21/2",Christian S. Johnsen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Pål Endre Pedersen,,Dimiter Ivanov,"21/16,21/9",Pål Endre Pedersen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Alex Bass,,Dimiter Ivanov,"21/13,21/18",Alex Bass,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Alex Bass,,Pål Endre Pedersen,"21/15,21/7",Alex Bass,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Torjus Flåtten,,Arild Mevatne,"21/11,21/10",Torjus Flåtten,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Thomas Berge,,Tommy Helander,"21/16,21/10",Thomas Berge,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Bård Storvik,,Johannes Orri Olafsson,"21/12,21/11",Bård Storvik,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Bård Storvik,,Simen Lian Hansen,"21/15,21/17",Bård Storvik,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Simen Lian Hansen,,Johannes Orri Olafsson,"21/17,21/10",Simen Lian Hansen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Toheed Ahmed Saeed,,Marius Røed,"21/10,21/14",Toheed Ahmed Saeed,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Toheed Ahmed Saeed,,Trond Atle Syvertsen,"21/17,21/17",Toheed Ahmed Saeed,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Hem,,Thomas Holdbakk,"21/3,21/5",Carl Christian Hem,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Carl Christian Hem,,Bjørn Hamang,"21/12,21/16",Carl Christian Hem,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Bjørn Hamang,,Thomas Holdbakk,"21/11,21/12",Bjørn Hamang,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Jørgen Rosenlund,,Henrik B Johansen,"21/12,21/14",Jørgen Rosenlund,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Jørgen Rosenlund,,Ole Herman Imset,"21/10,21/17",Jørgen Rosenlund,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herresingle,,Henrik B Johansen,,Ole Herman Imset,"21/5,21/11",Henrik B Johansen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Vilde Espeseth,,Thea Johansen,"21/18,21/19",Vilde Espeseth,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Thea Johansen,,Marie Christensen,"21/15,17/21,21/8",Thea Johansen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Cathrine Fossmo,,Malin Andersson,"21/13,15/21,21/14",Cathrine Fossmo,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Vilde Espeseth,,Linn Lilian Stenrud,"21/19,8/21,21/19",Vilde Espeseth,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Marie Christensen,,Alda Karen Jònsdòttir,"21/15,27/25",Marie Christensen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Cathrine Fossmo,,Berit Thyness,"21/8,21/15",Cathrine Fossmo,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Cathrine Fossmo,,Ida Høyland W.,"21/10,21/8",Cathrine Fossmo,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Berit Thyness,,Ida Høyland W.,"21/15,21/13",Berit Thyness,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Malin Andersson,,Marlene Wåland,"21/16,21/11",Malin Andersson,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Malin Andersson,,Emilie Faarup Storvik,"21/13,21/13",Malin Andersson,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Marlene Wåland,,Emilie Faarup Storvik,"21/17,21/18",Marlene Wåland,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Vilde Espeseth,,Lovise Krogsæter,"21/10,21/8",Vilde Espeseth,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Vilde Espeseth,,Irina Benedicte Eklund,"21/23,21/15,21/10",Vilde Espeseth,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Irina Benedicte Eklund,,Lovise Krogsæter,"21/13,21/18",Irina Benedicte Eklund,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Emilie Sotnes Hamang,,Hege Malene Ulstein,"21/14,21/11",Emilie Sotnes Hamang,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Linn Lilian Stenrud,,Cecilie Li,"21/16,21/13",Linn Lilian Stenrud,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Linn Lilian Stenrud,,Hege Malene Ulstein,"21/19,21/11",Linn Lilian Stenrud,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Emilie Sotnes Hamang,,Cecilie Li,"21/15,15/21,21/13",Emilie Sotnes Hamang,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Hege Malene Ulstein,,Cecilie Li,"21/19,21/14",Hege Malene Ulstein,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Linn Lilian Stenrud,,Emilie Sotnes Hamang,"21/16,16/21,21/19",Linn Lilian Stenrud,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Sophie Owen-Davies,,Ronja H. Thorstensen,"21/16,21/16",Sophie Owen-Davies,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Svenja Tyrhardt,,Marit Lillelien,"21/11,21/14",Svenja Tyrhardt,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Sophie Owen-Davies,,Svenja Tyrhardt,"21/12,21/17",Sophie Owen-Davies,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Ronja H. Thorstensen,,Marit Lillelien,"14/21,21/15,21/8",Ronja H. Thorstensen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Sophie Owen-Davies,,Marit Lillelien,"21/5,21/5",Sophie Owen-Davies,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Ronja H. Thorstensen,,Svenja Tyrhardt,"21/14,22/20",Ronja H. Thorstensen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Thea Johansen,,Charlotte Leinan,"21/14,21/17",Thea Johansen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Alda Karen Jònsdòttir,,Frida Sotnes Hamang,"21/17,19/21,21/17",Alda Karen Jònsdòttir,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Elisa Wiborg,,Karoline Kaldheim,"21/13,21/13",Elisa Wiborg,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Marie Christensen,,Elisa Wiborg,"12/21,21/17,5/2",Marie Christensen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Damesingle,,Marie Christensen,,Karoline Kaldheim,"21/13,21/5",Marie Christensen,
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Alex Bass,Sverre Bergland sr,Carl Christian Mork,Sturla Flåten Jørgensen,"21/17,19/21,21/15",Alex Bass,Sverre Bergland sr
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Carl Christian Mork,Sturla Flåten Jørgensen,Andre Høidebraaten,Jesper Kristensen,"21/15,14/21,21/16",Carl Christian Mork,Sturla Flåten Jørgensen
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Alex Bass,Sverre Bergland sr,Carl Christian Hem,Karel Eriksson,"21/14,21/13",Alex Bass,Sverre Bergland sr
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Andre Høidebraaten,Jesper Kristensen,Dimiter Ivanov,Gergin Nedyalkov Angelov,"21/11,21/14",Andre Høidebraaten,Jesper Kristensen
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Carl Christian Mork,Sturla Flåten Jørgensen,Geir Storvik,Bård Storvik,"21/12,21/11",Carl Christian Mork,Sturla Flåten Jørgensen
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Alex Bass,Sverre Bergland sr,Carl Christian Møller Jacobsen,Edvard Rosenberg,"21/10,21/6",Alex Bass,Sverre Bergland sr
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Carl Christian Hem,Karel Eriksson,Jørgen Rosenlund,Sondre Flåten Jørgensen,"21/9,21/13",Carl Christian Hem,Karel Eriksson
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Andre Høidebraaten,Jesper Kristensen,Benjamin Falck,Thomas Holdbakk,"21/8,21/10",Andre Høidebraaten,Jesper Kristensen
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Dimiter Ivanov,Gergin Nedyalkov Angelov,Marius Sørby,Marius Røed,"21/7,21/13",Dimiter Ivanov,Gergin Nedyalkov Angelov
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Carl Christian Mork,Sturla Flåten Jørgensen,Jim Ronny Andersen,Eivind Lund,"21/19,21/18",Carl Christian Mork,Sturla Flåten Jørgensen
2014/2015,Bygdø RT 13 + NRSenior,09.01.2015,SEN E,Herredouble,Geir Storvik,Bård Storvik,Arild Mevatne,Håkon Synnes Ytreland,"21/13,21/7",Geir Storvik,Bård Storvik
