Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Marius Myhre,,Peter Rønn Stensæth,"21/15,21/6",Marius Myhre,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Peter Rønn Stensæth,,Mattias Xu,"18/21,21/13,21/15",Peter Rønn Stensæth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Marius Myhre,,Torjus Flåtten,"21/14,21/12",Marius Myhre,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Peter Rønn Stensæth,,Markus Barth,"21/12,21/15",Peter Rønn Stensæth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Mattias Xu,,Jørgen Rosenlund,"21/18,21/10",Mattias Xu,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Marius Myhre,,Ikmal Hussain Jaafar,"21/13,21/12",Marius Myhre,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Torjus Flåtten,,Tobias Krømke,"21/9,20/22,21/16",Torjus Flåtten,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Peter Rønn Stensæth,,Christian S. Johnsen,"21/8,21/5",Peter Rønn Stensæth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Markus Barth,,Kristoffer Robin Olsen,"21/6,21/6",Markus Barth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Mattias Xu,,Carlo Alonzo Agustin,"25/23,18/21,21/15",Mattias Xu,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Jørgen Rosenlund,,Taro Mukae,"14/21,21/7,21/19",Jørgen Rosenlund,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Ikmal Hussain Jaafar,,Benjamin Sixten Nordén,"21/17,21/13",Ikmal Hussain Jaafar,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Marius Myhre,,Amund Rikheim Huus,"21/10,21/11",Marius Myhre,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Tobias Krømke,,Joachim Skjønhaug,"21/13,21/13",Tobias Krømke,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Torjus Flåtten,,Boyan Yu,"21/8,21/11",Torjus Flåtten,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Benjamin Sixten Nordén,,Pål Endre Pedersen,"21/12,21/12",Benjamin Sixten Nordén,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Peter Rønn Stensæth,,Daniel Bjørklund,"21/6,21/5",Peter Rønn Stensæth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Peter Rønn Stensæth,,Toheed Ahmed Saeed,"21/10,21/7",Peter Rønn Stensæth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Toheed Ahmed Saeed,,Daniel Bjørklund,"21/15,21/10",Toheed Ahmed Saeed,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Christian S. Johnsen,,Markus  Markussen d Nijs,"21/8,21/15",Christian S. Johnsen,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Carl Christian Møller Jacobsen,,Markus  Markussen d Nijs,"21/9,21/14",Carl Christian Møller Jacobsen,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Christian S. Johnsen,,Carl Christian Møller Jacobsen,"21/18,21/17",Christian S. Johnsen,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Markus Barth,,Petter Tryland Laheld,"21/4,21/7",Markus Barth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Markus Barth,,Jonas Østhassel,"21/9,21/11",Markus Barth,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Jonas Østhassel,,Petter Tryland Laheld,"21/11,21/3",Jonas Østhassel,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Theodor Fjelldal,,Christer Andersen,"21/10,21/18",Theodor Fjelldal,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Kristoffer Robin Olsen,,Christer Andersen,"21/17,23/21",Kristoffer Robin Olsen,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Kristoffer Robin Olsen,,Theodor Fjelldal,"21/14,21/16",Kristoffer Robin Olsen,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Mattias Xu,,Morten Aarhus,"21/6,21/4",Mattias Xu,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Mattias Xu,,Mads Marum,"21/16,22/24,21/18",Mattias Xu,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Mads Marum,,Morten Aarhus,"21/2,21/13",Mads Marum,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Carlo Alonzo Agustin,,Thomas Grüner Fjeldheim,"21/9,21/16",Carlo Alonzo Agustin,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Thomas Grüner Fjeldheim,,Henrik Gabrielsen Opsahl,"21/17,14/21,21/17",Thomas Grüner Fjeldheim,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Carlo Alonzo Agustin,,Henrik Gabrielsen Opsahl,"21/16,19/21,21/9",Carlo Alonzo Agustin,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Jørgen Rosenlund,,Øystein Hovden Eimind,"21/13,21/8",Jørgen Rosenlund,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Jørgen Rosenlund,,Keveen Kumar Balasingam,"21/12,21/15",Jørgen Rosenlund,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Keveen Kumar Balasingam,,Øystein Hovden Eimind,"17/21,21/14,21/16",Keveen Kumar Balasingam,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Joel Collard,,Vegar Næss,"21/16,21/16",Joel Collard,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Taro Mukae,,Robert Barø,"21/12,21/6",Taro Mukae,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Taro Mukae,,Vegar Næss,"21/12,21/10",Taro Mukae,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Joel Collard,,Robert Barø,"21/14,21/14",Joel Collard,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Vegar Næss,,Robert Barø,"21/18,21/10",Vegar Næss,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Taro Mukae,,Joel Collard,"21/10,21/9",Taro Mukae,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Benjamin Sixten Nordén,,Ole Herman Imset,"21/15,21/9",Benjamin Sixten Nordén,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Ole Herman Imset,,Tommy Helander,"21/13,21/9",Ole Herman Imset,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Benjamin Sixten Nordén,,Tommy Helander,"21/12,21/18",Benjamin Sixten Nordén,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Pål Endre Pedersen,,Bharath Kumar Balasingam,"21/16,21/19",Pål Endre Pedersen,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Pål Endre Pedersen,,Dimiter Ivanov,"21/19,21/13",Pål Endre Pedersen,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Bharath Kumar Balasingam,,Dimiter Ivanov,"17/21,21/15,21/12",Bharath Kumar Balasingam,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Ikmal Hussain Jaafar,,Danila Gataullin,"21/8,21/13",Ikmal Hussain Jaafar,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Ikmal Hussain Jaafar,,Ludvig Smith-Meyer,"16/21,21/14,21/17",Ikmal Hussain Jaafar,
2018/2019,Bygdø RT 13 + NRSenior,11.01.2019,SEN E,,Ludvig Smith-Meyer,,Danila Gataullin,"21/9,21/9",Ludvig Smith-Meyer,
