Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Marek Kwiatkowski,,Arild Hammeren,"21/17,18/21,21/6",Marek Kwiatkowski,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Ole Salomonsen,,Alf Ivar Torskangerpoll Johnsen,"21/4,21/7",Ole Salomonsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Tore Nilsen,,Sondre N. Hammeren,"21/12,21/18",Tore Nilsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Marek Kwiatkowski,,Alf Ivar Torskangerpoll Johnsen,"21/14,21/9",Marek Kwiatkowski,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Ole Salomonsen,,Arild Hammeren,"21/9,21/7",Ole Salomonsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Sondre N. Hammeren,,Vegar Næss,"23/25,21/17,21/11",Sondre N. Hammeren,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Ole Salomonsen,,Marek Kwiatkowski,"21/3,21/6",Ole Salomonsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Arild Hammeren,,Alf Ivar Torskangerpoll Johnsen,"21/10,21/9",Arild Hammeren,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Tore Nilsen,,Vegar Næss,"21/18,21/19",Tore Nilsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Sondre N. Hammeren,,Marek Kwiatkowski,"21/17,21/19",Sondre N. Hammeren,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Tore Nilsen,,Arild Hammeren,"21/5,21/12",Tore Nilsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Vegar Næss,,Alf Ivar Torskangerpoll Johnsen,"21/8,21/8",Vegar Næss,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Tore Nilsen,,Marek Kwiatkowski,"21/11,21/17",Tore Nilsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Sondre N. Hammeren,,Arild Hammeren,"21/12,21/17",Sondre N. Hammeren,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Ole Salomonsen,,Vegar Næss,"21/11,21/10",Ole Salomonsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Vegar Næss,,Marek Kwiatkowski,"21/2,21/4",Vegar Næss,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Sondre N. Hammeren,,Alf Ivar Torskangerpoll Johnsen,"21/19,20/22,21/18",Sondre N. Hammeren,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Ole Salomonsen,,Tore Nilsen,"21/15,21/11",Ole Salomonsen,
2016/2017,Båtsfjord Finnmarkmesterskapet 2017,10.02.2017,SEN A,Herresingle,,Vegar Næss,,Arild Hammeren,"21/5,21/16",Vegar Næss,
