Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herresingle,,Kim Steve Nystad,,Arild Hammeren,"21/15,21/12",Kim Steve Nystad,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herresingle,,Kim Andre Amundsen,,Arild Hammeren,"21/10,21/11",Kim Andre Amundsen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herresingle,,Morten Olsen,,Kim Steve Nystad,"21/16,21/17",Morten Olsen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herresingle,,Morten Olsen,,Kim Andre Amundsen,"21/14,21/15",Morten Olsen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herresingle,,Kim Andre Amundsen,,Kim Steve Nystad,"22/20,21/14",Kim Andre Amundsen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herresingle,,Morten Olsen,,Arild Hammeren,"21/17,21/14",Morten Olsen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herredouble,Sondre N. Hammeren,Morten Olsen,Jann-Hermod Røstad,Nina F. Hansen,"21/15,21/15",Sondre N. Hammeren,Morten Olsen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herredouble,Sondre N. Hammeren,Morten Olsen,Arild Hammeren,Kim Steve Nystad,"21/16,21/13",Sondre N. Hammeren,Morten Olsen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herredouble,Benjamin Sivertsen Richardsen,Kim Andre Amundsen,Jann-Hermod Røstad,Nina F. Hansen,"21/17,21/16",Benjamin Sivertsen Richardsen,Kim Andre Amundsen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herredouble,Sondre N. Hammeren,Morten Olsen,Benjamin Sivertsen Richardsen,Kim Andre Amundsen,"21/15,21/19",Sondre N. Hammeren,Morten Olsen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herredouble,Arild Hammeren,Kim Steve Nystad,Benjamin Sivertsen Richardsen,Kim Andre Amundsen,"21/13,13/21,21/8",Arild Hammeren,Kim Steve Nystad
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Herredouble,Arild Hammeren,Kim Steve Nystad,Jann-Hermod Røstad,Nina F. Hansen,"21/10,21/14",Arild Hammeren,Kim Steve Nystad
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Mixeddouble,Morten Olsen,Christina svendsen,Kim Andre Amundsen,Johanne Johnsen,"21/15,24/22",Morten Olsen,Christina svendsen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Mixeddouble,Morten Olsen,Christina svendsen,Arild Hammeren,Nina F. Hansen,"22/24,21/10,21/19",Morten Olsen,Christina svendsen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN B,Mixeddouble,Kim Andre Amundsen,Johanne Johnsen,Kim Steve Nystad,Ida Theres Johansen,"21/8,21/15",Kim Andre Amundsen,Johanne Johnsen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herresingle,,Nikolai Korostel,,Andrine-Mikaela Kristiansen,"21/13,15/21,21/16",Nikolai Korostel,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herresingle,,Kjell Gunnar Johnsen,,Ståle Henriksen,"21/13,21/18",Kjell Gunnar Johnsen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herresingle,,Andrine-Mikaela Kristiansen,,Kjell Gunnar Johnsen,"21/13,24/22",Andrine-Mikaela Kristiansen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herresingle,,Andrine-Mikaela Kristiansen,,Ståle Henriksen,"21/15,21/3",Andrine-Mikaela Kristiansen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herresingle,,Kjell Gunnar Johnsen,,Nikolai Korostel,"21/13,28/26",Kjell Gunnar Johnsen,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herresingle,,Nikolai Korostel,,Ståle Henriksen,"21/17,21/16",Nikolai Korostel,
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herredouble,Christina svendsen,Ida Theres Johansen,Ståle Henriksen,Mathias Ervik,"21/10,21/9",Christina svendsen,Ida Theres Johansen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herredouble,Nikolai Korostel,Marco Torgersen,Andreas H. Samuelsen,Kjell Gunnar Johnsen,"21/11,21/8",Nikolai Korostel,Marco Torgersen
2014/2015,Båtsfjord Vinterstormen,09.01.2015,SEN C,Herredouble,Nikolai Korostel,Marco Torgersen,Christina svendsen,Ida Theres Johansen,"21/17,21/18",Nikolai Korostel,Marco Torgersen
