Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Martin Feussner,,Johannes Tobiassen,"21/11,21/14",Martin Feussner,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Keveen Kumar Balasingam,,Petter Karlsen Wåltorp,"21/17,21/18",Keveen Kumar Balasingam,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Keveen Kumar Balasingam,,Mats Lervåg,"21/8,21/17",Keveen Kumar Balasingam,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Mats Lervåg,,Petter Karlsen Wåltorp,"21/14,24/26,21/17",Mats Lervåg,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Keveen Kumar Balasingam,,Johannes Tobiassen,"21/19,21/19",Keveen Kumar Balasingam,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Keveen Kumar Balasingam,,Martin Feussner,"21/15,21/14",Keveen Kumar Balasingam,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Tingyu Zhang,,Eram Jafer Ali Hassen,"21/13,19/21,21/9",Tingyu Zhang,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Petter Karlsen Wåltorp,,Tingyu Zhang,"21/18,17/21,21/17",Petter Karlsen Wåltorp,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Petter Karlsen Wåltorp,,Eram Jafer Ali Hassen,"21/9,21/14",Petter Karlsen Wåltorp,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Mats Lervåg,,Shreyan Reddy Korem,"21/8,21/16",Mats Lervåg,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herresingle,,Arun Kumar Sharma,,Shreyan Reddy Korem,"21/16,17/21,21/18",Arun Kumar Sharma,
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herredouble,Nelson Thambiraj,Bharath Kumar Pachappan,Ashwin Kumar Rao,Alexander Freis,"24/22,19/21,21/11",Nelson Thambiraj,Bharath Kumar Pachappan
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herredouble,Martin Feussner,Petter Karlsen Wåltorp,Peter Schuster,Arun Kumar Sharma,"21/19,21/19",Martin Feussner,Petter Karlsen Wåltorp
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herredouble,Nelson Thambiraj,Bharath Kumar Pachappan,Peter Schuster,Arun Kumar Sharma,"21/12,21/17",Nelson Thambiraj,Bharath Kumar Pachappan
2023/2024,Djerv Djerv Møllarslaget 2023,16.12.2023,SEN A,Herredouble,Martin Feussner,Petter Karlsen Wåltorp,Ashwin Kumar Rao,Alexander Freis,"21/9,17/21,21/18",Martin Feussner,Petter Karlsen Wåltorp
