Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herresingle,,Dusan Nikolic,,Simen Lexander,"21/13,21/12",Dusan Nikolic,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herresingle,,Simen Lexander,,Keveen Kumar Balasingam,"21/9,21/9",Simen Lexander,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herresingle,,Dusan Nikolic,,Petter Karlsen Wåltorp,"21/10,21/18",Dusan Nikolic,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herresingle,,Petter Karlsen Wåltorp,,Olve Nes Kløvning,"15/21,21/16,21/5",Petter Karlsen Wåltorp,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damesingle,,Sofia Louis Macsali,,Vilde Morvik Ekerhovd,"21/4,21/14",Sofia Louis Macsali,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damesingle,,Vilde Morvik Ekerhovd,,Jenny Chen,"21/12,27/25",Vilde Morvik Ekerhovd,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damesingle,,Sofia Louis Macsali,,Victoria Økland,"21/14,21/8",Sofia Louis Macsali,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damesingle,,Jenny Chen,,Anne Marthe Svensen,"21/12,21/10",Jenny Chen,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damesingle,,Victoria Økland,,Jenny Rajkumar,"21/11,21/16",Victoria Økland,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damesingle,,Sofia Louis Macsali,,Camilla Christine Sørensen,"21/7,21/9",Sofia Louis Macsali,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herredouble,Simen Lexander,Sigbjørn Honve,Kumaran Dhakshan Moorthy,Jone Sætenes,"21/9,21/13",Simen Lexander,Sigbjørn Honve
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herredouble,Dusan Nikolic,Keveen Kumar Balasingam,Petter Karlsen Wåltorp,Haydar-Ali Newrosi,"21/10,21/19",Dusan Nikolic,Keveen Kumar Balasingam
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herredouble,Petter Karlsen Wåltorp,Haydar-Ali Newrosi,Kumaran Dhakshan Moorthy,Jone Sætenes,"21/13,11/21,21/19",Petter Karlsen Wåltorp,Haydar-Ali Newrosi
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herredouble,Simen Lexander,Sigbjørn Honve,Dusan Nikolic,Keveen Kumar Balasingam,"21/11,20/22,24/22",Simen Lexander,Sigbjørn Honve
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herredouble,Dusan Nikolic,Keveen Kumar Balasingam,Kumaran Dhakshan Moorthy,Jone Sætenes,"21/19,21/18",Dusan Nikolic,Keveen Kumar Balasingam
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Herredouble,Simen Lexander,Sigbjørn Honve,Petter Karlsen Wåltorp,Haydar-Ali Newrosi,"21/7,15/21,21/17",Simen Lexander,Sigbjørn Honve
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damedouble,Victoria Økland,Jenny Rajkumar,Liv Kristiane Bugge,Ingunn Vie Skare,"21/17,21/6",Victoria Økland,Jenny Rajkumar
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damedouble,Jenny Chen,Anne Marthe Svensen,Camilla Christine Sørensen,Cheryl Yau,"21/17,22/20",Jenny Chen,Anne Marthe Svensen
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damedouble,Victoria Økland,Jenny Rajkumar,Jenny Chen,Anne Marthe Svensen,"21/19,15/21,21/13",Victoria Økland,Jenny Rajkumar
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damedouble,Camilla Christine Sørensen,Cheryl Yau,Liv Kristiane Bugge,Ingunn Vie Skare,"19/21,21/15,21/11",Camilla Christine Sørensen,Cheryl Yau
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damedouble,Victoria Økland,Jenny Rajkumar,Camilla Christine Sørensen,Cheryl Yau,"21/11,21/11",Victoria Økland,Jenny Rajkumar
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Damedouble,Jenny Chen,Anne Marthe Svensen,Liv Kristiane Bugge,Ingunn Vie Skare,"21/12,21/11",Jenny Chen,Anne Marthe Svensen
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Mixeddouble,Sigbjørn Honve,Sofia Louis Macsali,Camilla Christine Sørensen,Petter Karlsen Wåltorp,"21/10,19/21,21/17",Sigbjørn Honve,Sofia Louis Macsali
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Mixeddouble,Are Eidissen,Jenny Chen,Vilde Morvik Ekerhovd,Dennis Andersen Moe,"21/16,21/14",Are Eidissen,Jenny Chen
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Mixeddouble,Vilde Morvik Ekerhovd,Dennis Andersen Moe,Camilla Christine Sørensen,Petter Karlsen Wåltorp,"8/21,21/19,21/19",Vilde Morvik Ekerhovd,Dennis Andersen Moe
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Mixeddouble,Sigbjørn Honve,Sofia Louis Macsali,Are Eidissen,Jenny Chen,"21/14,21/14",Sigbjørn Honve,Sofia Louis Macsali
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Mixeddouble,Camilla Christine Sørensen,Petter Karlsen Wåltorp,Are Eidissen,Jenny Chen,"21/15,21/15",Camilla Christine Sørensen,Petter Karlsen Wåltorp
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN A,Mixeddouble,Sigbjørn Honve,Sofia Louis Macsali,Vilde Morvik Ekerhovd,Dennis Andersen Moe,"21/15,21/8",Sigbjørn Honve,Sofia Louis Macsali
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herresingle,,Dennis Andersen Moe,,Bharath Kumar Balasingam,"15/21,21/17,21/18",Dennis Andersen Moe,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herresingle,,Dennis Andersen Moe,,Haydar-Ali Newrosi,"21/11,21/11",Dennis Andersen Moe,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herresingle,,Bharath Kumar Balasingam,,Marius Foshaug,"21/11,21/14",Bharath Kumar Balasingam,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herresingle,,Dennis Andersen Moe,,Hendrik Rytberg,"21/17,13/21,21/16",Dennis Andersen Moe,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herresingle,,Haydar-Ali Newrosi,,Heine Økland Kolltveit,"19/21,21/18,21/19",Haydar-Ali Newrosi,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herresingle,,Marius Foshaug,,Chandra Kumar Parasmothy,"21/7,21/19",Marius Foshaug,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herresingle,,Bharath Kumar Balasingam,,Fredrik Vabø Helset,"21/16,21/18",Bharath Kumar Balasingam,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Joseph Martin Malaiamaan,Chandra Kumar Parasmothy,Bharath Kumar Balasingam,Sharun Amirthalingam,"21/15,21/10",Joseph Martin Malaiamaan,Chandra Kumar Parasmothy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Bharath Kumar Balasingam,Sharun Amirthalingam,Dennis Andersen Moe,Kristoffer Ulvang,"21/13,21/16",Bharath Kumar Balasingam,Sharun Amirthalingam
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Paul J. Høl,Are Eidissen,Bengt Drageset,Arvid Skutle,"21/7,21/11",Paul J. Høl,Are Eidissen
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Bharath Kumar Balasingam,Sharun Amirthalingam,Bengt Drageset,Arvid Skutle,"16/21,21/15,21/13",Bharath Kumar Balasingam,Sharun Amirthalingam
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Dennis Andersen Moe,Kristoffer Ulvang,Paul J. Høl,Are Eidissen,"21/17,23/21",Dennis Andersen Moe,Kristoffer Ulvang
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Paul J. Høl,Are Eidissen,Bharath Kumar Balasingam,Sharun Amirthalingam,"21/18,16/21,21/15",Paul J. Høl,Are Eidissen
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Dennis Andersen Moe,Kristoffer Ulvang,Bengt Drageset,Arvid Skutle,"21/15,21/18",Dennis Andersen Moe,Kristoffer Ulvang
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Joseph Martin Malaiamaan,Chandra Kumar Parasmothy,Hendrik Rytberg,Oleg Tsynkalovskiy,"21/12,22/20",Joseph Martin Malaiamaan,Chandra Kumar Parasmothy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Hendrik Rytberg,Oleg Tsynkalovskiy,Heine Økland Kolltveit,Fredrik Vabø Helset,"21/17,13/21,21/16",Hendrik Rytberg,Oleg Tsynkalovskiy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Joseph Martin Malaiamaan,Chandra Kumar Parasmothy,Nelson Thambiraj,Steinar Thorsen,"21/10,21/17",Joseph Martin Malaiamaan,Chandra Kumar Parasmothy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Joseph Martin Malaiamaan,Chandra Kumar Parasmothy,Heine Økland Kolltveit,Fredrik Vabø Helset,"21/11,21/10",Joseph Martin Malaiamaan,Chandra Kumar Parasmothy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Hendrik Rytberg,Oleg Tsynkalovskiy,Nelson Thambiraj,Steinar Thorsen,"21/18,21/11",Hendrik Rytberg,Oleg Tsynkalovskiy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN B,Herredouble,Heine Økland Kolltveit,Fredrik Vabø Helset,Nelson Thambiraj,Steinar Thorsen,"21/15,23/21",Heine Økland Kolltveit,Fredrik Vabø Helset
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Jørgen Kristiansen,,Iver Rolvsjord,"18/21,21/13,21/9",Jørgen Kristiansen,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Jørgen Kristiansen,,Jone Sætenes,"21/13,21/18",Jørgen Kristiansen,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Iver Rolvsjord,,Khai Duong,"21/13,21/10",Iver Rolvsjord,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Jone Sætenes,,Oleg Tsynkalovskiy,"21/14,17/21,21/19",Jone Sætenes,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Jørgen Kristiansen,,Bengt Drageset,"23/21,21/18",Jørgen Kristiansen,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Khai Duong,,Lasse Søgnebotn,"20/22,21/18,21/18",Khai Duong,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Iver Rolvsjord,,Davis Valters Immurs,"17/21,21/19,21/19",Iver Rolvsjord,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Oleg Tsynkalovskiy,,Øystein Telle,"21/23,21/16,21/6",Oleg Tsynkalovskiy,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Jone Sætenes,,Svein Andre Hol,"22/20,21/9",Jone Sætenes,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Jørgen Kristiansen,,Anders Eimstad,"21/4,21/12",Jørgen Kristiansen,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Bengt Drageset,,Steinar Thorsen,"21/12,21/10",Bengt Drageset,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Lasse Søgnebotn,,Robert Eriksen,"15/21,21/12,21/15",Lasse Søgnebotn,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Davis Valters Immurs,,Audun Christoffer Adolfson,"21/14,21/15",Davis Valters Immurs,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Bengt Drageset,,George Rajkumar,"21/17,18/21,21/16",Bengt Drageset,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herresingle,,Davis Valters Immurs,,Jan Erik Solvik,"21/9,17/21,21/17",Davis Valters Immurs,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Damesingle,,Anita Aasebø,,Randi Rolvsjord,"21/18,21/11",Anita Aasebø,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Damesingle,,Anita Aasebø,,Elena Botcharova Ellingsen,"21/7,21/12",Anita Aasebø,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Damesingle,,Randi Rolvsjord,,Johanne Salthella,"21/11,21/7",Randi Rolvsjord,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Damesingle,,Elena Botcharova Ellingsen,,Merethe Lunde,"21/12,21/11",Elena Botcharova Ellingsen,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Damesingle,,Anita Aasebø,,Vivi Doung,"18/21,21/17,21/17",Anita Aasebø,
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herredouble,Shiyu Yan,Deiveegan Muthusamy,Sven Åge Birkeland,Svein Hogne Eikeland,"21/15,21/15",Shiyu Yan,Deiveegan Muthusamy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herredouble,Sven Åge Birkeland,Svein Hogne Eikeland,Roy Nilsen,Kawa Kavian,"21/15,21/15",Sven Åge Birkeland,Svein Hogne Eikeland
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herredouble,Shiyu Yan,Deiveegan Muthusamy,Ferenc Macsali,Andres  Rivero,"21/10,21/10",Shiyu Yan,Deiveegan Muthusamy
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herredouble,Roy Nilsen,Kawa Kavian,Anders Eimstad,Frode Kristoffersen,"25/23,17/21,21/12",Roy Nilsen,Kawa Kavian
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herredouble,Sven Åge Birkeland,Svein Hogne Eikeland,Lasse Søgnebotn,Audun Christoffer Adolfson,"21/23,21/17,21/16",Sven Åge Birkeland,Svein Hogne Eikeland
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herredouble,Ferenc Macsali,Andres  Rivero,George Rajkumar,Rune Bratland,"21/8,21/18",Ferenc Macsali,Andres  Rivero
2015/2016,Djerv Møllarslaget 2016,20.02.2016,SEN C,Herredouble,Shiyu Yan,Deiveegan Muthusamy,Roy Kengakaran,Ramapiran Amirthalingam,"21/19,21/19",Shiyu Yan,Deiveegan Muthusamy
