Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Deeptanshu Toka,,William R. Barø,"21/14,21/15",Deeptanshu Toka,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Deeptanshu Toka,,Albert Aasheim-Engen,"16/21,21/18,21/11",Deeptanshu Toka,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,William R. Barø,,Simon Andrés Vasquez Frisnes,"18/21,21/17,21/19",William R. Barø,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Deeptanshu Toka,,Linus Nordal,"21/7,21/13",Deeptanshu Toka,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Simon Andrés Vasquez Frisnes,,Vinit Sharma,"21/15,21/13",Simon Andrés Vasquez Frisnes,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Albert Aasheim-Engen,,Martin Våge Sætersdal,"21/16,21/10",Albert Aasheim-Engen,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Shreyan Reddy Korem,,Andreas Årseth Kvamme,"14/21,21/15,21/13",Shreyan Reddy Korem,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Andreas Årseth Kvamme,,Martin Våge Sætersdal,"21/16,21/11",Andreas Årseth Kvamme,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Albert Aasheim-Engen,,Shreyan Reddy Korem,"21/17,21/18",Albert Aasheim-Engen,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Shreyan Reddy Korem,,Martin Våge Sætersdal,"21/16,21/17",Shreyan Reddy Korem,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Albert Aasheim-Engen,,Andreas Årseth Kvamme,"21/17,26/24",Albert Aasheim-Engen,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Deeptanshu Toka,,Asgeir Våbenø Berg,"21/15,21/9",Deeptanshu Toka,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Asgeir Våbenø Berg,,Duy Philip Nguyen,"21/10,21/16",Asgeir Våbenø Berg,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Deeptanshu Toka,,Duy Philip Nguyen,"21/8,21/6",Deeptanshu Toka,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Daniel Standal,,Julian Økland Henriksen,"21/16,17/21,21/16",Daniel Standal,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Linus Nordal,,Daniel Standal,"17/21,21/13,21/16",Linus Nordal,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Linus Nordal,,Julian Økland Henriksen,"21/15,21/9",Linus Nordal,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Sindre Gjuvsland,,Tingyu Zhang,"21/11,21/11",Sindre Gjuvsland,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Simon Andrés Vasquez Frisnes,,Tingyu Zhang,"21/14,21/17",Simon Andrés Vasquez Frisnes,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Simon Andrés Vasquez Frisnes,,Sindre Gjuvsland,"20/22,22/20,21/15",Simon Andrés Vasquez Frisnes,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Vinit Sharma,,Joseph Paul,"18/21,21/18,21/16",Vinit Sharma,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,David Nguyen,,Joseph Paul,"21/13,21/16",David Nguyen,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Vinit Sharma,,David Nguyen,"24/22,19/21,21/17",Vinit Sharma,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,William R. Barø,,Arturo Yague Rosano,"21/6,21/6",William R. Barø,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,Johan Zang,,Arturo Yague Rosano,"23/21,21/12",Johan Zang,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Herresingle,,William R. Barø,,Johan Zang,"21/12,21/12",William R. Barø,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Victoria Heiberg,,Ragnhild Stenvaag,"21/13,21/13",Victoria Heiberg,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Ragnhild Stenvaag,,Signe Lenning,"21/15,18/21,21/14",Ragnhild Stenvaag,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Victoria Heiberg,,Nancy Hang,"18/21,21/18,21/18",Victoria Heiberg,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Ragnhild Stenvaag,,Camilla Skrunes Sundt,"21/17,21/18",Ragnhild Stenvaag,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Victoria Heiberg,,Abiramy Kokilan,"21/13,21/10",Victoria Heiberg,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Nancy Hang,,Yutong Feng,"19/21,21/9,21/10",Nancy Hang,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Linnea Nordnes Prestø,,Ingrid Trøite,"21/16,21/15",Linnea Nordnes Prestø,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Signe Lenning,,Ingrid Trøite,"21/13,21/16",Signe Lenning,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Signe Lenning,,Linnea Nordnes Prestø,"21/10,21/12",Signe Lenning,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Silje Lyngstad Skavhaug,,Sofie Bjelke Samuelsen,"4/21,21/15,21/19",Silje Lyngstad Skavhaug,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Ragnhild Stenvaag,,Silje Lyngstad Skavhaug,"21/9,21/8",Ragnhild Stenvaag,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Ragnhild Stenvaag,,Sofie Bjelke Samuelsen,"21/3,21/11",Ragnhild Stenvaag,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Camilla Skrunes Sundt,,Justé Beinoriuté,"21/12,21/10",Camilla Skrunes Sundt,
2023/2024,Djerv RT U17 *AB,09.03.2024,U17 A,Damesingle,,Audrina Ammara Darmawan,,Justé Beinoriuté,"21/14,21/11",Audrina Ammara Darmawan,
