Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Jørgen Rosenlund,,Pål Endre Pedersen,"23/21,21/14",Jørgen Rosenlund,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Mattias Xu,,Anders Leirud,"21/16,24/22",Mattias Xu,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Anders Leirud,,Jørgen Rosenlund,"21/12,22/24,21/15",Anders Leirud,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Mattias Xu,,Geir Storvik,"20/22,21/18,21/13",Mattias Xu,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Geir Storvik,,Jørgen Rosenlund,"21/18,21/18",Geir Storvik,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Anders Leirud,,Pål Endre Pedersen,"14/21,21/6,21/12",Anders Leirud,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Anders Leirud,,Geir Storvik,"21/7,21/14",Anders Leirud,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Mattias Xu,,Pål Endre Pedersen,"21/18,24/22",Mattias Xu,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Mattias Xu,,Jørgen Rosenlund,"24/26,21/16,21/18",Mattias Xu,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Herresingle,,Geir Storvik,,Pål Endre Pedersen,"9/21,30/29,21/18",Geir Storvik,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Damesingle,,Berit Thyness,,Jeanette Svendsen,"21/16,17/21,21/12",Berit Thyness,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Damesingle,,Rahaf Alothman,,Kristin Thømt,"26/24,18/21,21/13",Rahaf Alothman,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Damesingle,,Berit Thyness,,Kristin Thømt,"21/4,21/14",Berit Thyness,
2017/2018,Frogner Frognerhøna,04.11.2017,SEN E,Damesingle,,Jeanette Svendsen,,Cecilie Li,"21/10,21/16",Jeanette Svendsen,
