Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Iver Aalberg,,Rolf Ove Karlsen,"19/21,21/9,21/15",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Iver Aalberg,,Isak L. Hasselvold,"21/17,22/20",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Rolf Ove Karlsen,,Håvard Soløy,"22/20,21/15",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Isak L. Hasselvold,,Robert Barø,"21/16,21/15",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Håvard Soløy,,Kent Roger Sandvær,"21/11,21/18",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Vegard Tømmerås,,Kristian Hyllestad,"21/18,21/18",Vegard Tømmerås,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Iver Aalberg,,Elias Lenning,"21/13,21/7",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Elias Lenning,,Kristian Hyllestad,"22/20,21/11",Elias Lenning,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Iver Aalberg,,Vegard Tømmerås,"21/13,21/8",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Iver Aalberg,,Kristian Hyllestad,"21/10,21/7",Iver Aalberg,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Elias Lenning,,Vegard Tømmerås,"21/9,21/10",Elias Lenning,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Isak L. Hasselvold,,Ole Christoffer Olsen,"21/7,21/7",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Lars Erik Karlsen,,Ole Christoffer Olsen,"21/14,21/16",Lars Erik Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Isak L. Hasselvold,,Lars Erik Karlsen,"21/9,21/10",Isak L. Hasselvold,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Robert Barø,,Kai Roger Stensen,"21/15,21/18",Robert Barø,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Robert Barø,,Jonas J Grande,"21/13,14/21,21/17",Robert Barø,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Kai Roger Stensen,,Jonas J Grande,"21/19,22/20",Kai Roger Stensen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Kent Roger Sandvær,,Kristoffer Kielland Rædergård,"18/21,21/13,21/16",Kent Roger Sandvær,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Håvard Soløy,,Robin Sörlin,"21/18,21/12",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Andreas Nordhøy,,Robin Sörlin,"21/8,17/21,21/13",Andreas Nordhøy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Håvard Soløy,,Andreas Nordhøy,"25/23,21/15",Håvard Soløy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Odd Helge Gåsbakk,,Fredrik Skånøy,"17/21,21/16,21/17",Odd Helge Gåsbakk,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Fredrik Skånøy,,Robin Kruksve Krux,"20/22,28/26,21/18",Fredrik Skånøy,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Odd Helge Gåsbakk,,Robin Kruksve Krux,"21/10,21/12",Odd Helge Gåsbakk,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Rolf Ove Karlsen,,Robin Kruksve Krux,"17/21,23/21,21/9",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Rolf Ove Karlsen,,Odd Helge Gåsbakk,"21/23,21/19,21/12",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Herresingle,,Rolf Ove Karlsen,,Fredrik Skånøy,"21/18,21/16",Rolf Ove Karlsen,
2017/2018,Grong Namdal Open,02.03.2018,SEN A,Damesingle,,Sara Kværnø Saugen,,Ingvild Håland,"21/15,21/3",Sara Kværnø Saugen,
