Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Isak L. Hasselvold,"21/15,15/21,21/17",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Isak L. Hasselvold,,Henrik Buvik,"21/17,21/13",Isak L. Hasselvold,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Håvard Soløy,,Kristoffer Kielland Rædergård,"21/14,21/11",Håvard Soløy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Kristoffer Kielland Rædergård,"21/17,21/10",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Håvard Soløy,,Odd Helge Gåsbakk,"22/20,21/15",Håvard Soløy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Odd Helge Gåsbakk,"21/5,21/10",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kristoffer Kielland Rædergård,,Odd Helge Gåsbakk,"27/25,18/21,21/16",Kristoffer Kielland Rædergård,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Håvard Soløy,"13/21,21/5,21/15",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Ole Petter Øren,,Geoffrey Werner,"10/21,21/12,21/11",Ole Petter Øren,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Isak L. Hasselvold,,Geoffrey Werner,"21/15,21/7",Isak L. Hasselvold,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Isak L. Hasselvold,,Ole Petter Øren,"21/8,21/11",Isak L. Hasselvold,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Emil Pettersen,,Benjamin Rølvåg,"21/19,21/15",Emil Pettersen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Benjamin Rølvåg,,Henrik Buvik,"22/20,15/21,21/17",Benjamin Rølvåg,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Henrik Buvik,,Emil Pettersen,"21/13,21/15",Henrik Buvik,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Isak L. Hasselvold,"21/15,15/21,21/17",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Isak L. Hasselvold,,Henrik Buvik,"21/17,21/13",Isak L. Hasselvold,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Håvard Soløy,,Kristoffer Kielland Rædergård,"21/14,21/11",Håvard Soløy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Kristoffer Kielland Rædergård,"21/17,21/10",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Håvard Soløy,,Odd Helge Gåsbakk,"22/20,21/15",Håvard Soløy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Odd Helge Gåsbakk,"21/5,21/10",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kristoffer Kielland Rædergård,,Odd Helge Gåsbakk,"27/25,18/21,21/16",Kristoffer Kielland Rædergård,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Kai Roger Stensen,,Håvard Soløy,"13/21,21/5,21/15",Kai Roger Stensen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Ole Petter Øren,,Geoffrey Werner,"10/21,21/12,21/11",Ole Petter Øren,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Isak L. Hasselvold,,Geoffrey Werner,"21/15,21/7",Isak L. Hasselvold,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Isak L. Hasselvold,,Ole Petter Øren,"21/8,21/11",Isak L. Hasselvold,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Emil Pettersen,,Benjamin Rølvåg,"21/19,21/15",Emil Pettersen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Benjamin Rølvåg,,Henrik Buvik,"22/20,15/21,21/17",Benjamin Rølvåg,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Henrik Buvik,,Emil Pettersen,"21/13,21/15",Henrik Buvik,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Margarita Wcislo,,Dianne Christine Geronimo,"23/21,21/16",Margarita Wcislo,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Margarita Wcislo,,Sara Buvik,"15/21,21/10,21/19",Margarita Wcislo,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,,Dianne Christine Geronimo,,Sara Buvik,"21/17,21/13",Dianne Christine Geronimo,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Sigve Hallager,Kai Roger Stensen,Isak L. Hasselvold,Odd Helge Gåsbakk,"21/12,18/21,21/10",Sigve Hallager,Kai Roger Stensen
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Sigve Hallager,Kai Roger Stensen,Kristoffer Kielland Rædergård,Geoffrey Werner,"21/9,20/22,21/9",Sigve Hallager,Kai Roger Stensen
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Sigve Hallager,Kai Roger Stensen,Andreas Nordhøy,Morten Solberg,"21/9,21/11",Sigve Hallager,Kai Roger Stensen
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Kristoffer Kielland Rædergård,Geoffrey Werner,Andreas Nordhøy,Morten Solberg,"21/9,21/19",Kristoffer Kielland Rædergård,Geoffrey Werner
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Isak L. Hasselvold,Odd Helge Gåsbakk,Tore Hansen,Håvard Soløy,"21/13,21/9",Isak L. Hasselvold,Odd Helge Gåsbakk
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Henrik Buvik,Benjamin Rølvåg,Emil Pettersen,Ole Petter Øren,"21/17,21/12",Henrik Buvik,Benjamin Rølvåg
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Isak L. Hasselvold,Odd Helge Gåsbakk,Henrik Buvik,Benjamin Rølvåg,"23/21,14/21,21/15",Isak L. Hasselvold,Odd Helge Gåsbakk
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Emil Pettersen,Ole Petter Øren,Tore Hansen,Håvard Soløy,"21/15,24/22",Emil Pettersen,Ole Petter Øren
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Isak L. Hasselvold,Odd Helge Gåsbakk,Emil Pettersen,Ole Petter Øren,"21/14,21/11",Isak L. Hasselvold,Odd Helge Gåsbakk
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Henrik Buvik,Benjamin Rølvåg,Tore Hansen,Håvard Soløy,"21/18,21/12",Henrik Buvik,Benjamin Rølvåg
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN A,Hildegunn Måøy,Margarita Wcislo,Sara Buvik,Dianne Christine Geronimo,"21/16,21/8",Hildegunn Måøy,Margarita Wcislo
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Markus Måøy,,Erik Måøy,"21/17,18/20,21/12",Markus Måøy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Anders Moen,,Ole Christoffer Olsen,"21/13,21/13",Anders Moen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Anders Moen,,Erik Måøy,"21/9,21/12",Anders Moen,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Markus Måøy,,Ole Christoffer Olsen,"21/17,22/20",Markus Måøy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Erik Måøy,,Ole Christoffer Olsen,"12/21,21/18,21/10",Erik Måøy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Markus Måøy,,Anders Moen,"21/23,21/18,21/17",Markus Måøy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Markus Måøy,,Erik Måøy,"21/17,18/20,21/12",Markus Måøy,
2021/2022,Grong Tommy Gåsbakks minneturnering 2021,13.11.2021,SEN B,,Anders Moen,,Ole Christoffer Olsen,"21/13,21/13",Anders Moen,
