Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Petter Tryland Laheld,,Boyan Yu,"21/19,14/21,21/14",Petter Tryland Laheld,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Boyan Yu,,Benjamin Rølvåg,"21/4,25/23",Boyan Yu,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,William Aaberg Rølvåg,,Gard Vik Langhammer,"21/8,21/12",William Aaberg Rølvåg,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Petter Tryland Laheld,,Anders Moen,"21/15,21/11",Petter Tryland Laheld,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Petter Tryland Laheld,,William Aaberg Rølvåg,"21/9,21/16",Petter Tryland Laheld,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Anders Moen,,Gard Vik Langhammer,"21/19,21/12",Anders Moen,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Petter Tryland Laheld,,Gard Vik Langhammer,"21/9,21/4",Petter Tryland Laheld,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,William Aaberg Rølvåg,,Anders Moen,"21/17,22/20",William Aaberg Rølvåg,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Håvard Soløy,,Signe Lenning,"21/14,21/13",Håvard Soløy,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Boyan Yu,,Signe Lenning,"21/7,21/8",Boyan Yu,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Boyan Yu,,Håvard Soløy,"21/7,21/9",Boyan Yu,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Knut Hermann Stenvaag,,Alan Tsui,"21/19,21/14",Knut Hermann Stenvaag,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Benjamin Rølvåg,,Alan Tsui,"21/13,21/14",Benjamin Rølvåg,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herresingle,,Benjamin Rølvåg,,Knut Hermann Stenvaag,"21/6,18/21,22/20",Benjamin Rølvåg,
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herredouble,Benjamin Rølvåg,Sigve Hallager,Ole Christoffer Olsen,Ole Petter Øren,"21/12,21/14",Benjamin Rølvåg,Sigve Hallager
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herredouble,Manas Dubey,Petter Tryland Laheld,Knut Hermann Stenvaag,Gard Vik Langhammer,"21/11,21/11",Manas Dubey,Petter Tryland Laheld
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herredouble,Benjamin Rølvåg,Sigve Hallager,Knut Hermann Stenvaag,Gard Vik Langhammer,"21/10,21/12",Benjamin Rølvåg,Sigve Hallager
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herredouble,Manas Dubey,Petter Tryland Laheld,Ole Christoffer Olsen,Ole Petter Øren,"21/8,21/12",Manas Dubey,Petter Tryland Laheld
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herredouble,Manas Dubey,Petter Tryland Laheld,Benjamin Rølvåg,Sigve Hallager,"28/26,22/20",Manas Dubey,Petter Tryland Laheld
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN E,Herredouble,Ole Christoffer Olsen,Ole Petter Øren,Knut Hermann Stenvaag,Gard Vik Langhammer,"21/12,21/16",Ole Christoffer Olsen,Ole Petter Øren
2024/2025,Gullvikmoen Rockesmashen 2024,11.10.2024,SEN A,Damesingle,,Rowena Lindberg,,Marte Aasen Jensen,"21/12,21/15",Rowena Lindberg,
