Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Bharath Kumar Balasingam,,Gintars Rundelis,"19/21,21/12,21/19",Bharath Kumar Balasingam,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Bharath Kumar Balasingam,,Andreas Andersen,"21/16,21/19",Bharath Kumar Balasingam,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Gintars Rundelis,,Hans Andreas Karlsen,"12/21,21/12,21/19",Gintars Rundelis,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Bharath Kumar Balasingam,,Geir Arne Andersen,"21/12,21/17",Bharath Kumar Balasingam,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Gintars Rundelis,,Geir Arne Andersen,"21/18,21/8",Gintars Rundelis,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Bharath Kumar Balasingam,,Gintars Rundelis,"21/14,21/12",Bharath Kumar Balasingam,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Hans Andreas Karlsen,,Aleksander  Røeggen Johansen,"21/18,21/16",Hans Andreas Karlsen,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Andreas Andersen,,Aleksander  Røeggen Johansen,"13/21,21/19,21/18",Andreas Andersen,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herresingle,,Hans Andreas Karlsen,,Andreas Andersen,"21/17,21/12",Hans Andreas Karlsen,
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herredouble,Bharath Kumar Balasingam,Andreas Andersen,Aleksander  Røeggen Johansen,Tore Nilsen,"14/21,21/15,21/15",Bharath Kumar Balasingam,Andreas Andersen
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herredouble,Hans Andreas Karlsen,Jarle Grann,Aleksander  Røeggen Johansen,Tore Nilsen,"21/9,21/9",Hans Andreas Karlsen,Jarle Grann
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herredouble,Bharath Kumar Balasingam,Andreas Andersen,Niclas Thörn,Gintars Rundelis,"21/12,21/19",Bharath Kumar Balasingam,Andreas Andersen
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herredouble,Niclas Thörn,Gintars Rundelis,Aleksander  Røeggen Johansen,Tore Nilsen,"11/21,21/12,21/11",Niclas Thörn,Gintars Rundelis
2023/2024,Hammerfest Midnight Sun,25.05.2024,SEN E,Herredouble,Bharath Kumar Balasingam,Andreas Andersen,Hans Andreas Karlsen,Jarle Grann,"21/17,21/19",Bharath Kumar Balasingam,Andreas Andersen
