Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Varun Manikandan,,Christian S. Johnsen,"22/20,21/18",Varun Manikandan,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Frank Heggen,"21/5,21/16",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Christian S. Johnsen,,Frank Heggen,"21/11,19/21,21/13",Christian S. Johnsen,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Nauman Majid,,Varun Manikandan,"21/19,20/22,26/24",Nauman Majid,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Nauman Majid,,Christian S. Johnsen,"21/19,18/21,21/7",Nauman Majid,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Varun Manikandan,"21/13,21/16",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Christian S. Johnsen,"21/15,22/20",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Nauman Majid,,Frank Heggen,"21/15,21/16",Nauman Majid,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Varun Manikandan,,Frank Heggen,"21/19,21/15",Varun Manikandan,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Nauman Majid,"21/13,21/16",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Varun Manikandan,,Christian S. Johnsen,"22/20,21/18",Varun Manikandan,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Frank Heggen,"21/5,21/16",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Christian S. Johnsen,,Frank Heggen,"21/11,19/21,21/13",Christian S. Johnsen,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Nauman Majid,,Varun Manikandan,"21/19,20/22,26/24",Nauman Majid,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Nauman Majid,,Christian S. Johnsen,"21/19,18/21,21/7",Nauman Majid,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Varun Manikandan,"21/13,21/16",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Christian S. Johnsen,"21/15,22/20",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Nauman Majid,,Frank Heggen,"21/15,21/16",Nauman Majid,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Varun Manikandan,,Frank Heggen,"21/19,21/15",Varun Manikandan,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Adit Sharma,,Nauman Majid,"21/13,21/16",Adit Sharma,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,,Berit Thyness,,Gülser Selin Kilinc,"21/6,21/5",Berit Thyness,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Adit Sharma,Varun Manikandan,Adnan Safdar Warraich,Hassan Ali,"21/16,21/8",Adit Sharma,Varun Manikandan
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Nauman Majid,Ram Kumar,Tommy Helander,Bjørn Hamang,"21/15,21/16",Nauman Majid,Ram Kumar
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Tommy Helander,Bjørn Hamang,Adnan Safdar Warraich,Hassan Ali,"21/11,21/17",Tommy Helander,Bjørn Hamang
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Nauman Majid,Ram Kumar,Adit Sharma,Varun Manikandan,"21/18,21/14",Nauman Majid,Ram Kumar
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Nauman Majid,Ram Kumar,Adnan Safdar Warraich,Hassan Ali,"21/7,21/18",Nauman Majid,Ram Kumar
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Adit Sharma,Varun Manikandan,Tommy Helander,Bjørn Hamang,"21/11,21/19",Adit Sharma,Varun Manikandan
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Berit Thyness,Cecilie Li,Kristin Thømt,Bente Sotnes,"21/10,21/12",Berit Thyness,Cecilie Li
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Elisa Wiborg,Nancy Hang,Kristin Thømt,Bente Sotnes,"21/17,21/10",Elisa Wiborg,Nancy Hang
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Karianne Zhang,Victoria Zhang,Elisa Wiborg,Nancy Hang,"21/13,22/20",Karianne Zhang,Victoria Zhang
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Berit Thyness,Cecilie Li,Elisa Wiborg,Nancy Hang,"21/14,16/21,21/17",Berit Thyness,Cecilie Li
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Karianne Zhang,Victoria Zhang,Kristin Thømt,Bente Sotnes,"21/10,21/13",Karianne Zhang,Victoria Zhang
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN A,Karianne Zhang,Victoria Zhang,Berit Thyness,Cecilie Li,"21/18,21/18",Karianne Zhang,Victoria Zhang
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Erling Homme,,Kenneth Bayeng Sanglay,"21/14,17/21,21/12",Erling Homme,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Kenneth Bayeng Sanglay,,Pelle Cornelius Nordeide,"21/16,21/16",Kenneth Bayeng Sanglay,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Erling Homme,,Tan Quach Le,"21/11,23/21",Erling Homme,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Kenneth Bayeng Sanglay,,Vishwavasu Soorly Nagaraj,"21/11,21/11",Kenneth Bayeng Sanglay,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Kenneth Bayeng Sanglay,,Johnny Lam,"21/16,22/24,21/14",Kenneth Bayeng Sanglay,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Vishwavasu Soorly Nagaraj,,Johnny Lam,"21/17,21/18",Vishwavasu Soorly Nagaraj,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Pelle Cornelius Nordeide,,Bengt Pedersen,"21/18,21/17",Pelle Cornelius Nordeide,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Sondre Sefland,,Bengt Pedersen,"17/21,21/14,21/15",Sondre Sefland,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Pelle Cornelius Nordeide,,Sondre Sefland,"21/13,19/21,21/17",Pelle Cornelius Nordeide,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Tan Quach Le,,Wesley Man-Ho Cheung,"21/8,21/19",Tan Quach Le,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Vidar Vikhagen,,Fredrik Heiberg,"21/14,21/17",Vidar Vikhagen,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Tan Quach Le,,Vidar Vikhagen,"21/13,11/21,21/19",Tan Quach Le,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Fredrik Heiberg,,Wesley Man-Ho Cheung,"21/18,21/19",Fredrik Heiberg,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Tan Quach Le,,Fredrik Heiberg,"21/14,21/18",Tan Quach Le,
2022/2023,Haugerud Haugerud cup,10.12.2022,SEN B,,Wesley Man-Ho Cheung,,Vidar Vikhagen,"22/24,21/19,22/20",Wesley Man-Ho Cheung,
