Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Carl Christian Mork,,Deeptanshu Toka,"21/14,21/8",Carl Christian Mork,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Deeptanshu Toka,,Jay Janaskar,"21/15,21/14",Deeptanshu Toka,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Ola Ulmo,,Andy Hang,"16/21,21/17,21/18",Ola Ulmo,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Carl Christian Mork,,Vebjørn Isberg Haugan,"21/10,21/7",Carl Christian Mork,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Andy Hang,,Vebjørn Isberg Haugan,"21/15,21/16",Andy Hang,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Carl Christian Mork,,Ola Ulmo,"21/9,21/10",Carl Christian Mork,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Carl Christian Mork,,Andy Hang,"21/9,21/15",Carl Christian Mork,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Ola Ulmo,,Vebjørn Isberg Haugan,"21/14,18/21,21/8",Ola Ulmo,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Jay Janaskar,,Frank Heggen,"21/17,21/18",Jay Janaskar,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Tan Quach Le,,Bryan Javier Matland,"14/21,21/18,21/14",Tan Quach Le,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Jay Janaskar,,Tan Quach Le,"21/19,21/23,21/19",Jay Janaskar,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Frank Heggen,,Bryan Javier Matland,"19/21,21/13,21/6",Frank Heggen,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Jay Janaskar,,Bryan Javier Matland,"18/21,21/15,21/13",Jay Janaskar,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Tan Quach Le,,Frank Heggen,"21/13,21/17",Tan Quach Le,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Deeptanshu Toka,,Joseph Paul,"21/12,21/17",Deeptanshu Toka,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Deeptanshu Toka,,Avinash Avi,"21/17,22/20",Deeptanshu Toka,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herresingle,,Avinash Avi,,Joseph Paul,"21/13,21/17",Avinash Avi,
2023/2024,Haugerud Haugerud cup,09.12.2023,SEN A,Herredouble,Jiawen Shi,Andy Hang,Carl Christian Mork,Deeptanshu Toka,"21/19,22/20",Jiawen Shi,Andy Hang
