Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Carl Christian Mork,"21/13,17/21,21/15",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Simen Lian Hansen,"21/19,20/22,21/10",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Carl Christian Mork,,Joel Collard,"21/11,21/15",Carl Christian Mork,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Torben Thomsen,,Elisa Wiborg,"21/17,21/15",Torben Thomsen,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Elisa Wiborg,"21/10,21/12",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Torben Thomsen,"21/12,21/8",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Paul Witt,,Jan Malamant,"21/17,21/17",Paul Witt,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Simen Lian Hansen,,Jan Malamant,"21/10,21/5",Simen Lian Hansen,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Simen Lian Hansen,,Paul Witt,"21/15,21/12",Simen Lian Hansen,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Joel Collard,,Toheed Ahmed Saeed,"23/21,21/3",Joel Collard,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Robert Malo,,Ernst Georg Olsen,"21/14,16/21,21/15",Robert Malo,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Joel Collard,,Ernst Georg Olsen,"21/11,21/13",Joel Collard,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Toheed Ahmed Saeed,,Ernst Georg Olsen,"21/18,19/21,21/12",Toheed Ahmed Saeed,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Joel Collard,,Robert Malo,"21/17,21/14",Joel Collard,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Carl Christian Mork,,Tommy Helander,"21/15,27/25",Carl Christian Mork,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Carl Christian Mork,,Tobias Rolf,"21/9,23/21",Carl Christian Mork,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Tobias Rolf,,Tommy Helander,"21/16,19/21,21/15",Tobias Rolf,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Carl Christian Mork,"21/13,17/21,21/15",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Simen Lian Hansen,"21/19,20/22,21/10",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Carl Christian Mork,,Joel Collard,"21/11,21/15",Carl Christian Mork,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Torben Thomsen,,Elisa Wiborg,"21/17,21/15",Torben Thomsen,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Elisa Wiborg,"21/10,21/12",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Jørgen Rosenlund,,Torben Thomsen,"21/12,21/8",Jørgen Rosenlund,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Paul Witt,,Jan Malamant,"21/17,21/17",Paul Witt,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Simen Lian Hansen,,Jan Malamant,"21/10,21/5",Simen Lian Hansen,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Simen Lian Hansen,,Paul Witt,"21/15,21/12",Simen Lian Hansen,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Joel Collard,,Toheed Ahmed Saeed,"23/21,21/3",Joel Collard,
2014/2015,Haugerud Haugerud vårcup,25.04.2015,SEN E,,Robert Malo,,Ernst Georg Olsen,"21/14,16/21,21/15",Robert Malo,
