Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Gøran Olsen,,Mats Lervåg,"21/16,21/12",Gøran Olsen,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Apurva Jain,,Aleksej Roman Kustrin Iversen,"15/21,21/18,21/12",Apurva Jain,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Gøran Olsen,,Aleksej Roman Kustrin Iversen,"21/15,21/7",Gøran Olsen,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Mats Lervåg,,Kjetil Ragde,"21/10,21/9",Mats Lervåg,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Apurva Jain,,Kjetil Ragde,"14/21,21/18,21/16",Apurva Jain,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Mats Lervåg,,Aleksej Roman Kustrin Iversen,"21/9,21/10",Mats Lervåg,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Gøran Olsen,,Apurva Jain,"21/12,21/14",Gøran Olsen,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Aleksej Roman Kustrin Iversen,,Kjetil Ragde,"21/17,21/15",Aleksej Roman Kustrin Iversen,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Gøran Olsen,,Kjetil Ragde,"21/10,21/14",Gøran Olsen,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herresingle,,Mats Lervåg,,Apurva Jain,"21/11,21/16",Mats Lervåg,
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herredouble,Gøran Olsen,Ivan Sundt,Svenja Tyrhardt,Lovise Krogsæter,"21/14,21/14",Gøran Olsen,Ivan Sundt
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herredouble,Mats Lervåg,Randi Selle,Vijay Ramaswamy,Yahya Januarilham,"21/19,17/21,21/14",Mats Lervåg,Randi Selle
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herredouble,Mats Lervåg,Randi Selle,Svenja Tyrhardt,Lovise Krogsæter,"21/9,21/6",Mats Lervåg,Randi Selle
2022/2023,Haugesund Viking Cup 2022,15.10.2022,SEN A,Herredouble,Vijay Ramaswamy,Yahya Januarilham,Svenja Tyrhardt,Lovise Krogsæter,"21/12,21/17",Vijay Ramaswamy,Yahya Januarilham
