Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,Haugesund Viking Cup,12.10.2024,SEN A,Herredouble,Mats Lervåg,Torstein Monsen,Simen Nærum,Christoffer Johannessen,"21/10,21/9",Mats Lervåg,Torstein Monsen
2024/2025,Haugesund Viking Cup,12.10.2024,SEN A,Herredouble,Mats Lervåg,Torstein Monsen,Gøran Olsen,Ivan Sundt,"10/21,21/11,21/16",Mats Lervåg,Torstein Monsen
2024/2025,Haugesund Viking Cup,12.10.2024,SEN A,Herredouble,Gøran Olsen,Ivan Sundt,Simen Nærum,Christoffer Johannessen,"21/10,21/17",Gøran Olsen,Ivan Sundt
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Herresingle,,Anders Bellesen,,Christoffer Johannessen,"21/14,21/15",Anders Bellesen,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Herresingle,,Christoffer Johannessen,,Jimmi Michelsen,"21/16,21/17",Christoffer Johannessen,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Herresingle,,Tor Egil Frøyland,,Ravikumar Bharate,"21/8,21/6",Tor Egil Frøyland,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Herresingle,,Anders Bellesen,,Ravikumar Bharate,"21/2,21/6",Anders Bellesen,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Damesingle,,Sara Bellesen,,Magnhild Stokka,"21/12,21/10",Sara Bellesen,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Damesingle,,Linn Duong,,Srividya Vairavel,"21/4,21/2",Linn Duong,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Damesingle,,Sara Bellesen,,Linn Duong,"21/12,21/18",Sara Bellesen,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Damesingle,,Sara Bellesen,,Srividya Vairavel,"21/7,21/5",Sara Bellesen,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Damesingle,,Magnhild Stokka,,Nora Lindanger,"21/19,21/7",Magnhild Stokka,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Damesingle,,Magnhild Stokka,,Lena Gloppen,"21/17,21/18",Magnhild Stokka,
2024/2025,Haugesund Viking Cup,12.10.2024,SEN C,Damesingle,,Lena Gloppen,,Nora Lindanger,"16/21,21/19,21/13",Lena Gloppen,
