Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Emil Pettersen,,Elias Lenning,"9/21,21/19,21/15",Emil Pettersen,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Emil Pettersen,,Jonas J Grande,"21/18,21/10",Emil Pettersen,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Håvard Soløy,,Markus Måøy,"21/12,21/6",Håvard Soløy,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Elias Lenning,,Håvard Soløy,"17/21,21/14,21/11",Elias Lenning,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Elias Lenning,,Markus Måøy,"21/10,21/11",Elias Lenning,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Emil Pettersen,,Espen Bakkelid,"21/11,21/6",Emil Pettersen,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Emil Pettersen,,Reidar Bråten,"21/11,21/5",Emil Pettersen,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Espen Bakkelid,,Reidar Bråten,"21/12,21/18",Espen Bakkelid,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Jonas J Grande,,Ole Christoffer Olsen,"21/10,21/8",Jonas J Grande,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Ole Christoffer Olsen,,Sander Johansen,"21/15,21/10",Ole Christoffer Olsen,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herresingle,,Jonas J Grande,,Sander Johansen,"21/14,21/14",Jonas J Grande,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Damesingle,,Louise Prestø,,Mirjam Finanger,"21/7,21/15",Louise Prestø,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Damesingle,,Sara Buvik,,Marte Aasen Jensen,"21/10,21/13",Sara Buvik,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Damesingle,,Mirjam Finanger,,Marte Aasen Jensen,"21/12,21/19",Mirjam Finanger,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Damesingle,,Louise Prestø,,Sara Buvik,"21/19,21/13",Louise Prestø,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Damesingle,,Louise Prestø,,Marte Aasen Jensen,"21/10,21/9",Louise Prestø,
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herredouble,Benjamin Rølvåg,Reidar Bråten,Elias Lenning,Espen Bakkelid,"21/16,21/11",Benjamin Rølvåg,Reidar Bråten
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herredouble,Håvard Soløy,Tore Hansen,Emil Pettersen,Ole Christoffer Olsen,"21/15,21/11",Håvard Soløy,Tore Hansen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herredouble,Håvard Soløy,Tore Hansen,Elias Lenning,Espen Bakkelid,"21/18,21/15",Håvard Soløy,Tore Hansen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herredouble,Emil Pettersen,Ole Christoffer Olsen,Benjamin Rølvåg,Reidar Bråten,"21/14,17/21,21/15",Emil Pettersen,Ole Christoffer Olsen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herredouble,Emil Pettersen,Ole Christoffer Olsen,Elias Lenning,Espen Bakkelid,"21/14,20/22,21/16",Emil Pettersen,Ole Christoffer Olsen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Herredouble,Håvard Soløy,Tore Hansen,Benjamin Rølvåg,Reidar Bråten,"21/18,21/14",Håvard Soløy,Tore Hansen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Tha Thluai Hnem Nawl,Benjamin Rølvåg,Barbro Johnsen,Emil Pettersen,"21/12,18/21,23/21",Tha Thluai Hnem Nawl,Benjamin Rølvåg
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Reidar Bråten,Marte Aasen Jensen,Ole Christoffer Olsen,Sara Pettersen,"20/22,21/16,21/10",Reidar Bråten,Marte Aasen Jensen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Tha Thluai Hnem Nawl,Benjamin Rølvåg,Reidar Bråten,Marte Aasen Jensen,"21/13,23/21",Tha Thluai Hnem Nawl,Benjamin Rølvåg
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Tha Thluai Hnem Nawl,Benjamin Rølvåg,Ole Christoffer Olsen,Sara Pettersen,"21/14,21/7",Tha Thluai Hnem Nawl,Benjamin Rølvåg
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Mirjam Finanger,Tore Hansen,Sophie Larsen,Sander Johansen,"21/8,21/8",Mirjam Finanger,Tore Hansen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Barbro Johnsen,Emil Pettersen,Mirjam Finanger,Tore Hansen,"19/21,21/14,21/16",Barbro Johnsen,Emil Pettersen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Louise Prestø,Jonas J Grande,Sophie Larsen,Sander Johansen,"21/13,21/19",Louise Prestø,Jonas J Grande
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Barbro Johnsen,Emil Pettersen,Louise Prestø,Jonas J Grande,"19/21,21/17,23/21",Barbro Johnsen,Emil Pettersen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Barbro Johnsen,Emil Pettersen,Sophie Larsen,Sander Johansen,"21/14,21/6",Barbro Johnsen,Emil Pettersen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN A,Mixeddouble,Louise Prestø,Jonas J Grande,Mirjam Finanger,Tore Hansen,"21/13,22/20",Louise Prestø,Jonas J Grande
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Anne Berit Iversen,Louise Prestø,Mirjam Finanger,Tha Thluai Hnem Nawl,"21/14,21/16",Anne Berit Iversen,Louise Prestø
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Anne Berit Iversen,Louise Prestø,Sara Buvik,Elin Hansen,"22/20,21/12",Anne Berit Iversen,Louise Prestø
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Mirjam Finanger,Tha Thluai Hnem Nawl,Vivild Våbenø Berg,Amber Heggdal,"21/10,21/15",Mirjam Finanger,Tha Thluai Hnem Nawl
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Barbro Johnsen,Sara Pettersen,Linda Våbenø Berg,Line Eldegard,"21/10,21/10",Barbro Johnsen,Sara Pettersen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Mirjam Finanger,Tha Thluai Hnem Nawl,Linda Våbenø Berg,Line Eldegard,"21/8,21/13",Mirjam Finanger,Tha Thluai Hnem Nawl
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Barbro Johnsen,Sara Pettersen,Vivild Våbenø Berg,Amber Heggdal,"15/21,21/13,21/15",Barbro Johnsen,Sara Pettersen
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Mirjam Finanger,Tha Thluai Hnem Nawl,Barbro Johnsen,Sara Pettersen,"21/14,21/3",Mirjam Finanger,Tha Thluai Hnem Nawl
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,Vivild Våbenø Berg,Amber Heggdal,Linda Våbenø Berg,Line Eldegard,"21/16,21/9",Vivild Våbenø Berg,Amber Heggdal
2018/2019,Herøy Mowi Cup 2019,26.04.2019,SEN B,Damedouble,MARTE EGGEN,Victoria Bævre,Susanne Engseth,Marte Aasen Jensen,"21/15,19/21,21/10",MARTE EGGEN,Victoria Bævre
