Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Filip Bøhn,,Andreas Andersen Roksvåg,"21/17,15/21,21/19",Filip Bøhn,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Andreas Andersen Roksvåg,,Mattias Mørk,"21/12,21/12",Andreas Andersen Roksvåg,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Filip Bøhn,,Jonatan Broch Granum,"21/16,21/10",Filip Bøhn,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Jan Frode Neverdal,,Kristen Grødal,"12/21,22/20,21/15",Jan Frode Neverdal,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Andreas Andersen Roksvåg,,Jan Frode Neverdal,"21/19,21/13",Andreas Andersen Roksvåg,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Andreas Andersen Roksvåg,,Kristen Grødal,"21/10,21/14",Andreas Andersen Roksvåg,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Mattias Mørk,,Daniel Nguyen,"21/3,21/5",Mattias Mørk,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Andreas Sjursø,,Kenneth Rasmussen,"23/21,21/18",Andreas Sjursø,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Kenneth Rasmussen,,Daniel Nguyen,"21/16,21/14",Kenneth Rasmussen,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Mattias Mørk,,Andreas Sjursø,"21/10,21/14",Mattias Mørk,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Andreas Sjursø,,Daniel Nguyen,"21/6,21/12",Andreas Sjursø,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Mattias Mørk,,Kenneth Rasmussen,"21/14,19/21,21/13",Mattias Mørk,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Aslak Smith,,Sebastian Reijnen,"21/14,21/17",Aslak Smith,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Filip Bøhn,,Thomas Christian Malm,"21/23,21/9,21/4",Filip Bøhn,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Aslak Smith,,Thomas Christian Malm,"22/20,19/21,21/18",Aslak Smith,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Filip Bøhn,,Sebastian Reijnen,"21/9,21/16",Filip Bøhn,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Filip Bøhn,,Aslak Smith,"21/18,21/18",Filip Bøhn,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Thomas Christian Malm,,Sebastian Reijnen,"21/14,21/18",Thomas Christian Malm,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Joakim Harring,,Sander Hegseth,"21/17,19/21,23/21",Joakim Harring,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Jonatan Broch Granum,,Jakob Larsen,"21/17,21/13",Jonatan Broch Granum,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Jakob Larsen,,Sander Hegseth,"21/18,21/15",Jakob Larsen,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Jonatan Broch Granum,,Joakim Harring,"21/15,21/17",Jonatan Broch Granum,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Jonatan Broch Granum,,Sander Hegseth,"21/17,23/21",Jonatan Broch Granum,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herresingle,,Jakob Larsen,,Joakim Harring,"21/8,22/20",Jakob Larsen,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Mattias Mørk,Andreas Andersen Roksvåg,Jan Frode Neverdal,Jan Rasmussen,"21/11,21/9",Mattias Mørk,Andreas Andersen Roksvåg
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Mattias Mørk,Andreas Andersen Roksvåg,Torfinn Nesset,Andreas Haglund,"21/14,21/16",Mattias Mørk,Andreas Andersen Roksvåg
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Jan Frode Neverdal,Jan Rasmussen,Sebastian Reijnen,Sander Hegseth,"21/12,21/13",Jan Frode Neverdal,Jan Rasmussen
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Joakim Harring,Joachim Røynås,Andreas Sjursø,Tom Johnsen,"22/20,21/15",Joakim Harring,Joachim Røynås
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Torfinn Nesset,Andreas Haglund,Joakim Harring,Joachim Røynås,"21/14,21/14",Torfinn Nesset,Andreas Haglund
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Torfinn Nesset,Andreas Haglund,Andreas Sjursø,Tom Johnsen,"21/11,21/11",Torfinn Nesset,Andreas Haglund
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Mattias Mørk,Andreas Andersen Roksvåg,Daniel Nguyen,Robert Fjellanger,"21/8,21/8",Mattias Mørk,Andreas Andersen Roksvåg
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Filip Bøhn,Jonatan Broch Granum,Daniel Nguyen,Robert Fjellanger,"21/4,21/13",Filip Bøhn,Jonatan Broch Granum
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Mattias Mørk,Andreas Andersen Roksvåg,Filip Bøhn,Jonatan Broch Granum,"21/16,21/15",Mattias Mørk,Andreas Andersen Roksvåg
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Jan Frode Neverdal,Jan Rasmussen,Kenneth Rasmussen,Roger Fredriksen,"21/15,21/8",Jan Frode Neverdal,Jan Rasmussen
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Kristen Grødal,Eirik Sørstrand,Kenneth Rasmussen,Roger Fredriksen,"21/10,21/12",Kristen Grødal,Eirik Sørstrand
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Jan Frode Neverdal,Jan Rasmussen,Kristen Grødal,Eirik Sørstrand,"21/16,14/21,21/5",Jan Frode Neverdal,Jan Rasmussen
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Herredouble,Sebastian Reijnen,Sander Hegseth,Roger Morland,Thomas Christian Malm,"21/17,21/14",Sebastian Reijnen,Sander Hegseth
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Mixeddouble,Andreas Andersen Roksvåg,Marie Gade Brask,Aslak Smith,Stine Skjævesland Pedersen,"16/21,21/15,21/18",Andreas Andersen Roksvåg,Marie Gade Brask
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Mixeddouble,Andreas Andersen Roksvåg,Marie Gade Brask,Filip Bøhn,Selma Kvarenes Bjørnestøl,"12/21,21/17,23/21",Andreas Andersen Roksvåg,Marie Gade Brask
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Mixeddouble,Aslak Smith,Stine Skjævesland Pedersen,Sander Hegseth,Hedda Berg Angell,"21/12,21/13",Aslak Smith,Stine Skjævesland Pedersen
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Mixeddouble,Andreas Andersen Roksvåg,Marie Gade Brask,Mattias Mørk,Livia Romme Mørch,"21/9,23/21",Andreas Andersen Roksvåg,Marie Gade Brask
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Mixeddouble,Filip Bøhn,Selma Kvarenes Bjørnestøl,Emilie Alrek Eide,Maja Morvik Kragholm,"21/9,21/13",Filip Bøhn,Selma Kvarenes Bjørnestøl
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Mixeddouble,Sander Hegseth,Hedda Berg Angell,Daniel Nguyen,Maia Celine  Elgueta-Johannesen,"21/9,21/13",Sander Hegseth,Hedda Berg Angell
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN A,Mixeddouble,Aslak Smith,Stine Skjævesland Pedersen,Jonatan Broch Granum,Nicoline Wærsten,"21/9,21/13",Aslak Smith,Stine Skjævesland Pedersen
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN B,Herresingle,,Lars Kjørholt,,Joakim Haugebo,"24/22,24/22",Lars Kjørholt,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN B,Herresingle,,Lars Kjørholt,,Bernard Arntsen,"10/21,22/20,21/19",Lars Kjørholt,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN B,Herresingle,,Robert Fjellanger,,Norun R. Fosså,"21/14,21/11",Robert Fjellanger,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN B,Herresingle,,Joakim Haugebo,,Norun R. Fosså,"21/14,21/10",Joakim Haugebo,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN B,Herresingle,,Joakim Haugebo,,Robert Fjellanger,"21/10,21/14",Joakim Haugebo,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN B,Herresingle,,Lars Kjørholt,,Haavard Haugebo,"21/19,21/13",Lars Kjørholt,
2021/2022,Imås IL Mcdonalds Cup 2021,16.10.2021,SEN B,Herresingle,,Lars Kjørholt,,Tommy H. Abrahamsen,"21/9,21/14",Lars Kjørholt,
