Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN A,Herredouble,Christer Andersen,Jan Petter Lindland,Trond Atle Syvertsen,Carlo Alonzo Agustin,"21/10,17/21,21/14",Christer Andersen,Jan Petter Lindland
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN A,Herredouble,Tirakom Sonjamroen,Håvard Gustavsen,Andreas Sjursø,Jan Kirkedam,"21/15,21/19",Tirakom Sonjamroen,Håvard Gustavsen
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN A,Herredouble,Christer Andersen,Jan Petter Lindland,Andreas Sjursø,Jan Kirkedam,"21/11,21/10",Christer Andersen,Jan Petter Lindland
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN A,Herredouble,Christer Andersen,Jan Petter Lindland,Tirakom Sonjamroen,Håvard Gustavsen,"21/10,21/12",Christer Andersen,Jan Petter Lindland
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN A,Herredouble,Trond Atle Syvertsen,Carlo Alonzo Agustin,Roger Morland,Thomas Christian Malm,"21/19,21/14",Trond Atle Syvertsen,Carlo Alonzo Agustin
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN A,Herredouble,Bjørn Richard Osa,Joakim Harring,Roger Morland,Thomas Christian Malm,"21/13,15/21,21/15",Bjørn Richard Osa,Joakim Harring
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN A,Herredouble,Trond Atle Syvertsen,Carlo Alonzo Agustin,Bjørn Richard Osa,Joakim Harring,"21/19,21/15",Trond Atle Syvertsen,Carlo Alonzo Agustin
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Carlo Alonzo Agustin,,Christer Andersen,"21/19,21/17",Carlo Alonzo Agustin,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Jan Petter Lindland,,Roger Morland,"21/3,21/5",Jan Petter Lindland,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Tirakom Sonjamroen,,Trond Atle Syvertsen,"19/21,21/15,21/13",Tirakom Sonjamroen,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Tirakom Sonjamroen,,Roger Morland,"21/17,21/16",Tirakom Sonjamroen,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Carlo Alonzo Agustin,,Jan Petter Lindland,"21/19,21/18",Carlo Alonzo Agustin,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Carlo Alonzo Agustin,,Roger Morland,"21/7,21/7",Carlo Alonzo Agustin,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Jan Petter Lindland,,Trond Atle Syvertsen,"21/0,21/0",Jan Petter Lindland,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Trond Atle Syvertsen,,Roger Morland,"25/23,22/20",Trond Atle Syvertsen,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Carlo Alonzo Agustin,,Tirakom Sonjamroen,"21/12,21/7",Carlo Alonzo Agustin,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Jan Petter Lindland,,Tirakom Sonjamroen,"21/12,21/8",Jan Petter Lindland,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Carlo Alonzo Agustin,,Trond Atle Syvertsen,"21/0,21/0",Carlo Alonzo Agustin,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Christer Andersen,,Andreas Sjursø,"21/6,21/11",Christer Andersen,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Andreas Sjursø,,Øystein Vågsnes,"21/14,21/9",Andreas Sjursø,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN B,Herresingle,,Christer Andersen,,Øystein Vågsnes,"21/0,21/0",Christer Andersen,
2021/2022,Imås IL Mcdonals Cup 2022,19.03.2022,SEN C,Herresingle,,Fredrik Fjell,,Rune Voreland,"21/12,21/18",Fredrik Fjell,
