Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Thomas Barth,,Andreas Holmedal,"21/14,21/12",Thomas Barth,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Thomas Barth,,Elias Øyen Selsaas,"21/16,21/14",Thomas Barth,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Andreas Holmedal,,Andreas Andersen Roksvåg,"21/19,21/17",Andreas Holmedal,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Thomas Barth,,Aleksander Jakovlevs,"21/9,21/9",Thomas Barth,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Elias Øyen Selsaas,,Hermod Holte Haugland,"18/21,21/18,21/9",Elias Øyen Selsaas,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Andreas Andersen Roksvåg,,Filip Bøhn,"21/12,21/12",Andreas Andersen Roksvåg,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Andreas Holmedal,,Petter Tryland Laheld,"21/13,19/21,21/17",Andreas Holmedal,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Thomas Barth,,Christer Andersen,"21/10,21/7",Thomas Barth,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Aleksander Jakovlevs,,Vetle Vinnes Bråten,"21/10,21/14",Aleksander Jakovlevs,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Elias Øyen Selsaas,,Adit Sharma,"21/12,21/11",Elias Øyen Selsaas,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Hermod Holte Haugland,,Sander Bunes Kristensen,"23/25,21/16,21/13",Hermod Holte Haugland,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Filip Bøhn,,Aldrin Nelson,"21/17,21/16",Filip Bøhn,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Andreas Andersen Roksvåg,,Jonatan Broch Granum,"21/10,21/19",Andreas Andersen Roksvåg,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Petter Tryland Laheld,,David Nguyen,"22/20,18/21,21/9",Petter Tryland Laheld,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Andreas Holmedal,,Elias Ausen,"21/14,21/12",Andreas Holmedal,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Thomas Barth,,Jakob Langeland Risa,"21/9,21/6",Thomas Barth,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Christer Andersen,,Kristoffer Sveen Hjertholm,"24/22,21/14",Christer Andersen,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Aleksander Jakovlevs,,Sebastian Reijnen,"21/8,21/17",Aleksander Jakovlevs,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Vetle Vinnes Bråten,,Mattias Mørk,"14/21,21/17,21/17",Vetle Vinnes Bråten,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Elias Øyen Selsaas,,Brede Stenfeldt,"21/8,21/7",Elias Øyen Selsaas,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Adit Sharma,,Zhongyan Yu,"18/21,21/19,21/15",Adit Sharma,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Hermod Holte Haugland,,Herman Dalan  Eidissen,"21/16,21/7",Hermod Holte Haugland,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Sander Bunes Kristensen,,Sander Hegseth,"18/21,21/15,21/10",Sander Bunes Kristensen,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Aldrin Nelson,,Aslak Smith,"21/10,21/19",Aldrin Nelson,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Filip Bøhn,,Thomas Grüner Fjeldheim,"21/9,21/16",Filip Bøhn,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Jonatan Broch Granum,,Sondre Lie Foldnes,"21/17,21/14",Jonatan Broch Granum,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Andreas Andersen Roksvåg,,Jonathan Utne Madsøy,"21/5,21/16",Andreas Andersen Roksvåg,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,David Nguyen,,Ole Kristian Lie,"21/9,21/9",David Nguyen,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Petter Tryland Laheld,,Fredrik Hestenes,"21/17,21/13",Petter Tryland Laheld,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Elias Ausen,,Manas Dubey,"21/14,21/14",Elias Ausen,
2021/2022,Karmøy NM Junior,18.02.2022,U19 A,Herresingle,,Andreas Holmedal,,Mathias Wong,"21/11,21/6",Andreas Holmedal,
