Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Jarle Grann,,Dag Rune Vellene,"21/6,21/9",Jarle Grann,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Jarle Grann,,Joakim Andreassen,"21/17,21/8",Jarle Grann,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Dag Rune Vellene,,Adrian Olsen-Loe Pedersen,"17/21,21/11,21/16",Dag Rune Vellene,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Joakim Andreassen,,Bredo Møller,"21/15,21/9",Joakim Andreassen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Dag Rune Vellene,,Simen Eggøy Olson,"21/14,21/18",Dag Rune Vellene,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Simen Eggøy Olson,,Nikolai Korostel,"21/19,21/9",Simen Eggøy Olson,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Jarle Grann,,Nikolai Korostel,"21/11,21/6",Jarle Grann,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Jarle Grann,,Simen Eggøy Olson,"21/9,21/12",Jarle Grann,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Dag Rune Vellene,,Joakim Andreassen,"21/7,21/19",Dag Rune Vellene,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Joakim Andreassen,,Waqas Tariq,"21/10,21/17",Joakim Andreassen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Dag Rune Vellene,,Waqas Tariq,"21/10,21/13",Dag Rune Vellene,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Adrian Olsen-Loe Pedersen,,Bredo Møller,"21/15,21/10",Adrian Olsen-Loe Pedersen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Adrian Olsen-Loe Pedersen,,Bjørn Floer,"21/0,21/0",Adrian Olsen-Loe Pedersen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herresingle,,Bredo Møller,,Bjørn Floer,"21/0,21/0",Bredo Møller,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Damesingle,,Ingrid-Marie Bruvold,,Andrine-Mikaela Kristiansen,"21/15,21/15",Ingrid-Marie Bruvold,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Damesingle,,Regina May Halonen,,Mali Elise Eriksen,"21/13,23/21",Regina May Halonen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Damesingle,,Andrine-Mikaela Kristiansen,,Mali Elise Eriksen,"21/14,17/21,21/12",Andrine-Mikaela Kristiansen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Damesingle,,Regina May Halonen,,Ingrid-Marie Bruvold,"21/18,21/10",Regina May Halonen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Damesingle,,Regina May Halonen,,Andrine-Mikaela Kristiansen,"21/17,15/21,21/13",Regina May Halonen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Damesingle,,Mali Elise Eriksen,,Ingrid-Marie Bruvold,"21/16,21/18",Mali Elise Eriksen,
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herredouble,Simen Eggøy Olson,Adrian Olsen-Loe Pedersen,Waqas Tariq,Joakim Andreassen,"21/15,21/12",Simen Eggøy Olson,Adrian Olsen-Loe Pedersen
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herredouble,Dag Rune Vellene,Bjørn Floer,Paulius Bareika,Bjørn Inge Lund,"21/12,21/12",Dag Rune Vellene,Bjørn Floer
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herredouble,Simen Eggøy Olson,Adrian Olsen-Loe Pedersen,Dag Rune Vellene,Bjørn Floer,"18/21,21/14,21/17",Simen Eggøy Olson,Adrian Olsen-Loe Pedersen
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herredouble,Simen Eggøy Olson,Adrian Olsen-Loe Pedersen,Paulius Bareika,Bjørn Inge Lund,"21/10,21/11",Simen Eggøy Olson,Adrian Olsen-Loe Pedersen
2021/2022,Kirkenes Barents Open 2021,06.11.2021,SEN B,Herredouble,Waqas Tariq,Joakim Andreassen,Bredo Møller,Freddy Øien,"21/10,21/10",Waqas Tariq,Joakim Andreassen
