Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Jarle Grann,,Vegar Næss,"21/9,21/11",Jarle Grann,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Jarle Grann,,Marek Kwiatkowski,"21/3,21/5",Jarle Grann,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Vegar Næss,,Kim Andre Amundsen,"21/17,21/9",Vegar Næss,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Jarle Grann,,Benjamin Sivertsen Richardsen,"21/5,21/12",Jarle Grann,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Marek Kwiatkowski,,Jann-Hermod Røstad,"23/21,21/19",Marek Kwiatkowski,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Vegar Næss,,Ron Eilif Kristiansen,"21/12,21/16",Vegar Næss,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Kim Andre Amundsen,,Karina Elisabeth Andreassen,"21/19,21/13",Kim Andre Amundsen,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Ron Eilif Kristiansen,,Ingelin Espeseth,"16/21,21/14,22/20",Ron Eilif Kristiansen,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Jann-Hermod Røstad,,Marco Torgersen,"21/10,21/18",Jann-Hermod Røstad,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Kim Andre Amundsen,,Bjørn Floer,"21/14,21/14",Kim Andre Amundsen,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Benjamin Sivertsen Richardsen,,Nikolai Korostel,"21/18,21/12",Benjamin Sivertsen Richardsen,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Jarle Grann,,Ron Eilif Kristiansen,"21/8,21/14",Jarle Grann,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Ron Eilif Kristiansen,,Ken Robin Hansen,"21/14,21/7",Ron Eilif Kristiansen,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Jarle Grann,,Ken Robin Hansen,"21/1,21/4",Jarle Grann,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Benjamin Sivertsen Richardsen,,Michael Biedermann,"28/30,21/10,28/26",Benjamin Sivertsen Richardsen,
2017/2018,Kirkenes Kirkenes Finnmarkmesterskapet 2018,27.01.2018,SEN A,Herresingle,,Benjamin Sivertsen Richardsen,,Ingelin Espeseth,"12/21,21/13,21/16",Benjamin Sivertsen Richardsen,
