Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Martin Enghaug,"21/23,24/22,21/5",Carl Christian Møller Jacobsen,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Jørgen Rosenlund,"21/16,21/13",Carl Christian Møller Jacobsen,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Martin Enghaug,,Christian S. Johnsen,"18/21,21/11,21/15",Martin Enghaug,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Jørgen Rosenlund,,Christian S. Johnsen,"22/20,20/22,21/9",Jørgen Rosenlund,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Christian S. Johnsen,,Pelle Cornelius Nordeide,"21/11,21/19",Christian S. Johnsen,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Jørgen Rosenlund,,Pelle Cornelius Nordeide,"22/20,21/11",Jørgen Rosenlund,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Carl Christian Møller Jacobsen,,Pål Endre Pedersen,"21/7,21/9",Carl Christian Møller Jacobsen,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Martin Enghaug,,Pål Endre Pedersen,"21/18,21/17",Martin Enghaug,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN E,Herresingle,,Martin Enghaug,,Carl Christian Møller Jacobsen,"21/15,21/18",Martin Enghaug,
2024/2025,Klemetsrud Klemetsrud & Sangam Julesmash - Bygdøhus ,07.12.2024,SEN A,Damesingle,,Amal Mariia Elrozi,,Milaniia Petrina,"21/18,15/21,21/16",Amal Mariia Elrozi,
