Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Torjus Flåtten,,Vegard Rikheim,"21/15,19/21,21/18",Torjus Flåtten,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Torjus Flåtten,,Jørgen Rosenlund,"21/14,21/12",Torjus Flåtten,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Vegard Rikheim,,Carl Christian Mork,"21/8,22/20",Vegard Rikheim,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Jørgen Rosenlund,,Christian S. Johnsen,"21/6,21/13",Jørgen Rosenlund,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Carl Christian Mork,,Geir Storvik,"21/11,21/13",Carl Christian Mork,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Vegard Rikheim,,Pål Endre Pedersen,"21/10,21/6",Vegard Rikheim,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Deeptanshu Toka,,Jay Janaskar,"21/14,21/15",Deeptanshu Toka,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Torjus Flåtten,,Deeptanshu Toka,"21/12,21/8",Torjus Flåtten,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Torjus Flåtten,,Jay Janaskar,"21/6,21/4",Torjus Flåtten,
2023/2024,Klemetsrud Kretsmesterskap 2024 ,20.01.2024,SEN E,Herresingle,,Advait Mital,,Magnus Knapperholen,"21/14,21/9",Advait Mital,
