Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Barø,,Sondre Løvold,"21/16,21/8",Robert Barø,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Erik Måøy,"21/14,21/3",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Adrian Olsen-Loe Pedersen,"21/15,14/21,21/8",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Barø,,Adrian Olsen-Loe Pedersen,"21/19,21/9",Robert Barø,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Robert Hoeggen,"21/15,12/21,21/13",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Erik Måøy,,Sondre Løvold,"21/23,21/18,21/19",Erik Måøy,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Robert Barø,"21/12,21/13",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Sondre Løvold,,Adrian Olsen-Loe Pedersen,"21/17,21/18",Sondre Løvold,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Erik Måøy,"21/9,21/10",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Adrian Olsen-Loe Pedersen,"21/15,21/7",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Barø,,Erik Måøy,"21/10,21/15",Robert Barø,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Sondre Løvold,,Fredrik Lian,"21/14,21/16",Sondre Løvold,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Erik Måøy,,Adrian Olsen-Loe Pedersen,"21/15,19/21,21/13",Erik Måøy,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Sondre Løvold,"21/12,16/21,21/17",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Robert Barø,"21/18,10/21,21/16",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Barø,,Sondre Løvold,"21/16,21/8",Robert Barø,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Erik Måøy,"21/14,21/3",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Adrian Olsen-Loe Pedersen,"21/15,14/21,21/8",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Barø,,Adrian Olsen-Loe Pedersen,"21/19,21/9",Robert Barø,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Robert Hoeggen,"21/15,12/21,21/13",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Erik Måøy,,Sondre Løvold,"21/23,21/18,21/19",Erik Måøy,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Robert Barø,"21/12,21/13",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Sondre Løvold,,Adrian Olsen-Loe Pedersen,"21/17,21/18",Sondre Løvold,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Erik Måøy,"21/9,21/10",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Adrian Olsen-Loe Pedersen,"21/15,21/7",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Barø,,Erik Måøy,"21/10,21/15",Robert Barø,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Sondre Løvold,,Fredrik Lian,"21/14,21/16",Sondre Løvold,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Erik Måøy,,Adrian Olsen-Loe Pedersen,"21/15,19/21,21/13",Erik Måøy,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Robert Hoeggen,,Sondre Løvold,"21/12,16/21,21/17",Robert Hoeggen,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Fredrik Lian,,Robert Barø,"21/18,10/21,21/16",Fredrik Lian,
2017/2018,Klæbu TRØNDERDROPPEN 2017,13.10.2017,SEN A,,Helle Sofie Sagøy,,Majken Wærdahl,"17/21,21/7,21/18",Helle Sofie Sagøy,
